wavelength,intensity
198.91,3.19e-37
198.93,4.5410000000000005e-36
198.94,1.683e-35
198.96,2.229e-34
198.98,2.812e-33
198.99,5.407e-32
199.01,7.438e-31
199.03,9.798000000000001e-30
199.04,3.4979999999999997e-29
199.06,4.312000000000001e-28
199.08,5.082e-27
199.09,1.715e-26
199.11,1.8880000000000002e-25
199.12,6.159e-25
199.14,6.327e-24
199.16,6.203999999999999e-23
199.17,1.9089999999999997e-22
199.19,1.745e-21
199.21,1.522e-20
199.22,4.4150000000000003e-20
199.24,3.586e-19
199.26,2.778e-18
199.27,7.594e-18
199.29,5.476e-17
199.31,3.764e-16
199.32,9.693e-16
199.34,6.202e-15
199.36,3.782e-14
199.37,9.172e-14
199.39,5.205e-13
199.41,2.815e-12
199.42,6.428e-12
199.44,3.234e-11
199.46,1.551e-10
199.47,3.335e-10
199.49,1.488e-09
199.5,3.086e-09
199.52,1.281e-08
199.54,5.064e-08
199.55,9.89e-08
199.57,3.638e-07
199.59,1.275e-06
199.6,2.345e-06
199.62,7.647e-06
199.64,2.376e-05
199.65,4.113e-05
199.67,0.0001189
199.69,0.0003275
199.7,0.0005337
199.72,0.001367
199.74,0.003339
199.75,0.005123
199.77,0.01163
199.79,0.02518
199.8,0.03637
199.82,0.07321
199.84,0.1404
199.85,0.191
199.87,0.3408
199.88,0.447
199.9,0.7419
199.92,1.173
199.93,1.449
199.95,2.132
199.97,2.988
199.98,3.475
200.0,4.53
200.02,5.629
200.03,6.162
200.05,7.122
200.07,7.843
200.08,8.083
200.1,8.281
200.12,8.084
200.13,7.844
200.15,7.123
200.17,6.165
200.18,5.633
200.2,4.539
200.22,3.489
200.23,3.008
200.25,2.166
200.26,1.812
200.28,1.244
200.3,0.8523
200.31,0.7149
200.33,0.5389
200.35,0.4694
200.36,0.4656
200.38,0.5043
200.4,0.5863
200.41,0.6375
200.43,0.7503
200.45,0.8642
200.46,0.9175
200.48,1.01
200.5,1.077
200.51,1.099
200.53,1.121
200.55,1.116
200.56,1.107
200.58,1.083
200.59,1.074
200.61,1.07
200.63,1.106
200.64,1.144
200.66,1.27
200.68,1.464
200.69,1.585
200.71,1.868
200.73,2.182
200.74,2.339
200.76,2.632
200.78,2.864
200.79,2.946
200.81,3.028
200.83,2.995
200.84,2.937
200.86,2.753
200.88,2.51
200.89,2.382
200.91,2.148
200.93,1.99
200.94,1.956
200.96,2.001
200.97,2.088
200.99,2.396
201.01,2.874
201.02,3.166
201.04,3.82
201.06,4.505
201.07,4.831
201.09,5.398
201.11,5.783
201.12,5.889
201.14,5.908
201.16,5.674
201.17,5.472
201.19,4.937
201.21,4.293
201.22,3.957
201.24,3.305
201.26,2.736
201.27,2.497
201.29,2.124
201.31,1.896
201.32,1.832
201.34,1.797
201.35,1.821
201.37,1.941
201.39,2.157
201.4,2.304
201.42,2.691
201.44,3.233
201.45,3.576
201.47,4.439
201.49,5.572
201.5,6.25
201.52,7.839
201.54,9.724
201.55,10.76
201.57,12.98
201.59,15.28
201.6,16.42
201.62,18.53
201.64,20.29
201.65,20.98
201.67,21.87
201.69,22.05
201.7,21.86
201.72,20.95
201.73,20.26
201.75,18.52
201.77,16.47
201.78,15.4
201.8,13.31
201.82,11.43
201.83,10.61
201.85,9.244
201.87,8.237
201.88,7.854
201.9,7.271
201.92,6.852
201.93,6.674
201.95,6.34
201.97,5.999
201.98,5.823
202.0,5.472
202.02,5.147
202.03,5.008
202.05,4.792
202.06,4.72
202.08,4.651
202.1,4.667
202.11,4.699
202.13,4.787
202.15,4.876
202.16,4.91
202.18,4.942
202.2,4.908
202.21,4.862
202.23,4.71
202.25,4.475
202.26,4.328
202.28,3.981
202.3,3.578
202.31,3.364
202.33,2.928
202.35,2.518
202.36,2.336
202.38,2.053
202.4,1.927
202.41,1.942
202.43,2.176
202.44,2.413
202.46,3.174
202.48,4.371
202.49,5.147
202.51,7.057
202.53,9.401
202.54,10.7
202.56,13.44
202.58,16.16
202.59,17.42
202.61,19.57
202.63,20.99
202.64,21.36
202.66,21.37
202.68,20.4
202.69,19.59
202.71,17.46
202.73,14.87
202.74,13.49
202.76,10.75
202.78,8.228
202.79,7.097
202.81,5.158
202.82,4.358
202.84,3.087
202.86,2.209
202.87,1.893
202.89,1.455
202.91,1.206
202.92,1.129
202.94,1.034
202.96,0.9781
202.97,0.955
202.99,0.9059
203.01,0.8468
203.02,0.8139
203.04,0.7476
203.06,0.6943
203.07,0.679
203.09,0.6857
203.11,0.7619
203.12,0.833
203.14,1.052
203.16,1.38
203.17,1.585
203.19,2.068
203.2,2.339
203.22,2.912
203.24,3.484
203.25,3.749
203.27,4.202
203.29,4.503
203.3,4.584
203.32,4.594
203.34,4.405
203.35,4.244
203.37,3.817
203.39,3.299
203.4,3.025
203.42,2.483
203.44,1.99
203.45,1.773
203.47,1.412
203.49,1.158
203.5,1.072
203.52,0.9799
203.53,0.9717
203.55,1.025
203.57,1.162
203.58,1.257
203.6,1.487
203.62,1.751
203.63,1.886
203.65,2.142
203.67,2.35
203.68,2.427
203.7,2.509
203.72,2.486
203.73,2.435
203.75,2.26
203.77,2.008
203.78,1.862
203.8,1.554
203.82,1.252
203.83,1.114
203.85,0.8831
203.87,0.732
203.88,0.6936
203.9,0.7043
203.91,0.7585
203.93,0.9775
203.95,1.359
203.96,1.616
203.98,2.262
204.0,3.076
204.01,3.537
204.03,4.53
204.05,5.554
204.06,6.047
204.08,6.928
204.1,7.584
204.11,7.8
204.13,7.971
204.15,7.781
204.16,7.557
204.18,6.89
204.2,6.005
204.21,5.514
204.23,4.504
204.25,3.537
204.26,3.094
204.28,2.324
204.29,2.004
204.31,1.497
204.33,1.156
204.34,1.039
204.36,0.8917
204.38,0.8259
204.39,0.8121
204.41,0.8024
204.43,0.7954
204.44,0.7872
204.46,0.7546
204.48,0.6978
204.49,0.661
204.51,0.5746
204.53,0.4784
204.54,0.4296
204.56,0.3359
204.58,0.2533
204.59,0.2177
204.61,0.1596
204.62,0.1374
204.64,0.1067
204.66,0.09344
204.67,0.09294
