spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.0000,0.8070,0.0000,0.0000,0.0000,0.0000,0.0000,0.9571,0.8913,0.9656,0.0000,0.0000,0.0000,0.0000,0.0000,12744.9474
03124_95_random,0.9666,0.5839,0.0000,0.0000,0.0000,0.0000,0.0000,0.6938,0.0000,0.0000,0.6484,0.0000,0.0000,0.0000,0.0000,9387.0843
03130_95_random,0.9445,0.7940,0.0000,0.0000,0.0000,0.6926,0.0000,0.9362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9804.0819
03134_95_random,0.0000,0.0000,0.0000,0.0000,0.9857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7699.8667
070036_95_random,0.0000,0.9336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10026.9243
070099_95_random,0.7793,0.4484,0.0000,0.0000,0.0000,0.1708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7440.4942
070101_95_random,0.0000,0.1883,0.8482,0.0000,0.0000,0.0638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8417.9818
070159_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.6744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10592.2763
070171_95_random,0.9409,0.0000,0.0000,0.0000,0.7749,0.0000,0.0000,0.0000,0.0000,0.0000,0.7192,0.0000,0.0000,0.0000,0.0000,11815.9320
07103_95_random,0.9593,0.0000,0.0000,0.8660,0.0000,0.0000,0.0000,0.8169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13544.5801
07105_95_random,0.0000,0.0000,0.0000,0.0264,0.7386,0.6374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9534.4035
07106_95_random,0.9311,0.0825,0.8087,0.6756,0.9392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13824.9635
07107_95_random,0.0000,0.9741,0.2889,0.0000,0.8653,0.5563,0.0000,0.6684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11972.8935
07111_95_random,0.0000,0.0000,0.0000,0.0000,0.9741,0.0000,0.0000,0.0000,0.0000,0.6891,0.0000,0.0000,0.0000,0.0000,0.0000,10867.1837
07121_95_random,0.0000,0.0000,0.0000,0.9093,0.9673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9657.0023
07122_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.6711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10446.3122
07125_95_random,0.9332,0.6409,0.6470,0.0000,0.9904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12527.4992
07141_95_random,0.0000,0.0000,0.0000,0.8469,0.0000,0.6083,0.0000,0.8695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9540.5426
07145_95_random,0.0000,0.0000,0.8823,0.0000,0.0000,0.5982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11512.5518
07405_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8221.0196
07407_95_random,0.0000,0.0000,0.0000,0.0000,0.4023,0.1787,0.0000,0.0000,0.0000,0.0000,0.0237,0.0000,0.0000,0.0000,0.0000,8011.0215
07840_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.3344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13790.0479
