Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.6666666666666666,0.0,,0.2307063971744168
03124_95_random,0.4444444444444444,0.2,Dy,0.4195982833637129
03130_95_random,0.375,0.25,Gd,0.5876213582404168
03134_95_random,1.0,0.25,Tb,0.5288690427596899
070036_95_random,0.5,0.25,La,0.3523272535802021
070099_95_random,0.375,0.25,Yb,0.2649032362950478
070101_95_random,0.25,0.0,,0.8930411905950687
070159_95_random,0.5,0.0,,4.699194050321109
070171_95_random,0.5,0.0,,0.7192613725227316
07103_95_random,0.2,0.0,,1.274051685081301
07105_95_random,0.8,0.0,,0.1842679620404673
07106_95_random,0.6666666666666666,0.0,,0.160178759004666
07107_95_random,0.6666666666666666,0.0,,1.1286563681399544
07111_95_random,1.0,0.0,,0.625627431113974
07121_95_random,0.42857142857142855,0.25,La,0.7540727593559585
07122_95_random,1.0,0.0,,5.000000000000014
07125_95_random,1.0,0.3333333333333333,Yb,1.966693754543288
07141_95_random,1.0,0.5,Yb,5.00000095
07145_95_random,0.375,0.0,,0.9608060576487524
07405_95_random,0.5,0.0,,0.2563754862516562
07407_95_random,0.6666666666666666,0.3333333333333333,Yb;Gd,0.602806448112338
07840_95_random,1.0,0.5,Tb,5.000000000000014
