wavelength,intensity
199.18,4.961e-49
199.19,3.693e-48
199.21,1.904e-46
199.23,8.915999999999999e-45
199.24,5.884999999999999e-44
199.26,6.044e-39
199.28,3.259e-37
199.29,2.308e-36
199.31,1.078e-34
199.33,4.569e-33
199.34,2.87e-32
199.36,1.054e-30
199.38,3.515e-29
199.39,1.958e-28
199.41,5.654e-27
199.43,1.4830000000000002e-25
199.44,7.327e-25
199.46,1.664e-23
199.48,3.4329999999999996e-22
199.49,1.504e-21
199.51,2.6860000000000003e-20
199.53,4.358e-19
199.54,1.693e-18
199.56,2.378e-17
199.57,8.599e-17
199.59,1.046e-15
199.61,1.155e-14
199.62,3.704e-14
199.64,3.542e-13
199.66,3.078e-12
199.67,8.75e-12
199.69,6.582e-11
199.71,4.497e-10
199.72,1.134e-09
199.74,6.708e-09
199.76,3.605e-08
199.77,8.06e-08
199.79,3.75e-07
199.81,1.585e-06
199.82,3.143e-06
199.84,1.15e-05
199.86,3.822e-05
199.87,6.721e-05
199.89,0.0001934
199.91,0.0005055
199.92,0.0007884
199.94,0.001784
199.95,0.002589
199.97,0.005073
199.99,0.009029
200.0,0.01162
200.02,0.01791
200.04,0.02506
200.05,0.0286
200.07,0.03466
200.09,0.03816
200.1,0.03862
200.12,0.03681
200.14,0.03187
200.15,0.0286
200.17,0.02144
200.19,0.0146
200.2,0.01162
200.22,0.006852
200.24,0.003673
200.25,0.002597
200.27,0.001221
200.28,0.0008199
200.3,0.0003862
200.32,0.0002567
200.33,0.0002615
200.35,0.0003643
200.37,0.0005582
200.38,0.0006794
200.4,0.0009465
200.42,0.001204
200.43,0.001312
200.45,0.001452
200.47,0.001465
200.48,0.001423
200.5,0.001254
200.52,0.001015
200.53,0.0008862
200.55,0.0006438
200.57,0.0004561
200.58,0.0003933
200.6,0.0003511
200.62,0.0004596
200.63,0.0005923
200.65,0.001079
200.66,0.001466
200.68,0.002612
200.7,0.004353
200.71,0.005464
200.73,0.008125
200.75,0.01117
200.76,0.01272
200.78,0.01553
200.8,0.0175
200.81,0.01801
200.83,0.01795
200.85,0.01646
200.86,0.01527
200.88,0.01235
200.9,0.009209
200.91,0.007737
200.93,0.005271
200.95,0.003688
200.96,0.003286
200.98,0.003332
201.0,0.004594
201.01,0.005705
201.03,0.008883
201.04,0.01091
201.06,0.01559
201.08,0.02049
201.09,0.02274
201.11,0.02619
201.13,0.02754
201.14,0.0273
201.16,0.02506
201.18,0.02103
201.19,0.01864
201.21,0.01377
201.23,0.009529
201.24,0.007829
201.26,0.005433
201.28,0.004358
201.29,0.004254
201.31,0.004719
201.33,0.005759
201.34,0.006365
201.36,0.007494
201.38,0.008222
201.39,0.008362
201.41,0.008167
201.42,0.00787
201.44,0.007077
201.46,0.006407
201.47,0.006279
201.49,0.006723
201.51,0.008342
201.52,0.009612
201.54,0.01292
201.56,0.01677
201.57,0.01867
201.59,0.02189
201.61,0.02378
201.62,0.02411
201.64,0.02358
201.66,0.02185
201.67,0.02074
201.69,0.01842
201.71,0.01641
201.72,0.0156
201.74,0.01437
201.75,0.01392
201.77,0.01329
201.79,0.01307
201.8,0.01318
201.82,0.01407
201.84,0.01616
201.85,0.01771
201.87,0.02165
201.89,0.02612
201.9,0.02822
201.92,0.03141
201.94,0.03245
201.95,0.03203
201.97,0.02945
201.99,0.02536
202.0,0.02316
202.02,0.01931
202.04,0.01707
202.05,0.01673
202.07,0.01751
202.09,0.01962
202.1,0.02084
202.12,0.02286
202.13,0.0234
202.15,0.02315
202.17,0.02107
202.18,0.01947
202.2,0.01559
202.22,0.01153
202.23,0.009641
202.25,0.006449
202.27,0.004145
202.28,0.00331
202.3,0.002162
202.32,0.00155
202.33,0.001402
202.35,0.001446
202.37,0.002303
202.38,0.003411
202.4,0.008961
202.42,0.02525
202.43,0.04196
202.45,0.1102
202.47,0.2668
202.48,0.4014
202.5,0.8482
202.51,1.191
202.53,2.189
202.55,3.664
202.56,4.577
202.58,6.658
202.6,8.818
202.61,9.798
202.63,11.28
202.65,11.82
202.66,11.68
202.68,10.64
202.7,8.818
202.71,7.753
202.73,5.585
202.75,3.664
202.76,2.866
202.78,1.634
202.8,0.8486
202.81,0.5907
202.83,0.2673
202.85,0.111
202.86,0.06955
202.88,0.02659
202.89,0.01668
202.91,0.007776
202.93,0.005406
202.94,0.005143
202.96,0.005161
202.98,0.005177
202.99,0.005068
203.01,0.00457
203.03,0.003777
203.04,0.003322
203.06,0.002409
203.08,0.001631
203.09,0.001334
203.11,0.0009803
203.13,0.001031
203.14,0.001248
203.16,0.002181
203.18,0.003968
203.19,0.005248
203.21,0.008649
203.22,0.01074
203.24,0.0155
203.26,0.0204
203.27,0.02262
203.29,0.02594
203.31,0.02716
203.32,0.02685
203.34,0.02451
203.36,0.02046
203.37,0.01809
203.39,0.01329
203.41,0.009066
203.42,0.00733
203.44,0.004694
203.46,0.003069
203.47,0.002557
203.49,0.001947
203.51,0.001692
203.52,0.001649
203.54,0.001703
203.56,0.001985
203.57,0.002244
203.59,0.003078
203.6,0.003675
203.62,0.005237
203.64,0.007177
203.65,0.008203
203.67,0.01012
203.69,0.01147
203.7,0.01182
203.72,0.01174
203.74,0.01065
203.75,0.009803
203.77,0.007754
203.79,0.005595
203.8,0.004592
203.82,0.002889
203.84,0.001664
203.85,0.001225
203.87,0.0006446
203.89,0.0003791
203.9,0.0003441
203.92,0.0004719
203.94,0.0009502
203.95,0.001387
203.97,0.002872
203.98,0.004032
204.0,0.007501
204.02,0.01284
204.03,0.01627
204.05,0.02445
204.07,0.0336
204.08,0.03808
204.1,0.04568
204.12,0.05002
204.13,0.05057
204.15,0.04825
204.17,0.04198
204.18,0.03784
204.2,0.02868
204.22,0.01983
204.23,0.01594
204.25,0.009642
204.27,0.005405
204.28,0.00398
204.3,0.002235
204.32,0.001581
204.33,0.001539
204.35,0.001838
204.36,0.002117
204.38,0.002804
204.4,0.003494
204.41,0.003781
204.43,0.00414
204.45,0.004139
204.46,0.003999
204.48,0.003483
204.5,0.002767
204.51,0.002383
204.53,0.001649
204.55,0.001041
204.56,0.0007996
204.58,0.0004405
204.6,0.0002225
204.61,0.0001538
204.63,7.227e-05
204.65,4.008e-05
204.66,3.63e-05
204.68,4.804e-05
204.69,6.345e-05
204.71,0.0001168
204.73,0.0002083
204.74,0.0002721
204.76,0.0004418
204.78,0.000672
204.79,0.0008091
204.81,0.001118
204.83,0.00145
204.84,0.001612
204.86,0.001895
204.88,0.002082
204.89,0.002126
204.91,0.002102
204.93,0.001946
204.94,0.001837
204.96,0.001624
204.98,0.001555
204.99,0.001642
205.01,0.002225
205.03,0.003615
205.04,0.00471
205.06,0.007838
205.07,0.009886
205.09,0.01482
205.11,0.02036
205.12,0.02308
205.14,0.02771
205.16,0.03037
205.17,0.03073
205.19,0.02939
205.21,0.02567
