wavelength,intensity
198.63,5.228e-42
198.65,2.695e-35
198.66,8.368e-35
198.68,7.931000000000001e-34
198.7,7.221e-33
198.71,2.188e-32
198.73,1.9000000000000002e-31
198.75,1.596e-30
198.76,4.571e-30
198.78,3.657e-29
198.79,1.0220000000000001e-28
198.81,7.786e-28
198.83,5.742e-27
198.84,1.541e-26
198.86,1.0820000000000002e-25
198.88,7.357e-25
198.89,1.895e-24
198.91,1.2269999999999999e-23
198.93,7.696e-23
198.94,1.904e-22
198.96,1.138e-21
198.98,6.5810000000000005e-21
198.99,1.564e-20
199.01,8.623000000000001e-20
199.03,4.605e-19
199.04,1.052e-18
199.06,5.354e-18
199.08,2.641e-17
199.09,5.796e-17
199.11,2.727e-16
199.12,5.845e-16
199.14,2.623e-15
199.16,1.141e-14
199.17,2.353e-14
199.19,9.77e-14
199.21,3.933e-13
199.22,7.802e-13
199.24,3e-12
199.26,1.119e-11
199.27,2.136e-11
199.29,7.613e-11
199.31,2.632e-10
199.32,4.839e-10
199.34,1.599e-09
199.36,5.13e-09
199.37,9.085e-09
199.39,2.786e-08
199.41,8.295e-08
199.42,1.415e-07
199.44,4.03e-07
199.46,1.114e-06
199.47,1.831e-06
199.49,4.839e-06
199.5,7.78e-06
199.52,1.966e-05
199.54,4.822e-05
199.55,7.468e-05
199.57,0.0001751
199.59,0.0003983
199.6,0.000594
199.62,0.001291
199.64,0.002722
199.65,0.003908
199.67,0.007869
199.69,0.01536
199.7,0.02122
199.72,0.03955
199.74,0.07145
199.75,0.09491
199.77,0.1636
199.79,0.2732
199.8,0.3489
199.82,0.5557
199.84,0.8574
199.85,1.052
199.87,1.548
199.88,1.855
199.9,2.6
199.92,3.529
199.93,4.062
199.95,5.254
199.97,6.579
199.98,7.274
200.0,8.677
200.02,10.02
200.03,10.64
200.05,11.7
200.07,12.46
200.08,12.7
200.1,12.87
200.12,12.63
200.13,12.36
200.15,11.56
200.17,10.46
200.18,9.826
200.2,8.473
200.22,7.078
200.23,6.395
200.25,5.104
200.26,4.511
200.28,3.457
200.3,2.591
200.31,2.23
200.33,1.643
200.35,1.217
200.36,1.056
200.38,0.8175
200.4,0.6666
200.41,0.6156
200.43,0.5483
200.45,0.5134
200.46,0.5044
200.48,0.4995
200.5,0.5113
200.51,0.5246
200.53,0.5704
200.55,0.6507
200.56,0.7075
200.58,0.8627
200.59,0.9641
200.61,1.221
200.63,1.555
200.64,1.751
200.66,2.199
200.68,2.709
200.69,2.982
200.71,3.542
200.73,4.095
200.74,4.357
200.76,4.83
200.78,5.206
200.79,5.35
200.81,5.54
200.83,5.601
200.84,5.588
200.86,5.491
200.88,5.339
200.89,5.257
200.91,5.121
200.93,5.064
200.94,5.081
200.96,5.228
200.97,5.362
200.99,5.753
201.01,6.291
201.02,6.601
201.04,7.271
201.06,7.944
201.07,8.258
201.09,8.794
201.11,9.156
201.12,9.256
201.14,9.278
201.16,9.061
201.17,8.87
201.19,8.35
201.21,7.692
201.22,7.332
201.24,6.593
201.26,5.88
201.27,5.55
201.29,4.965
201.31,4.502
201.32,4.319
201.34,4.049
201.35,3.961
201.37,3.87
201.39,3.882
201.4,3.924
201.42,4.072
201.44,4.301
201.45,4.444
201.47,4.783
201.49,5.183
201.5,5.402
201.52,5.863
201.54,6.333
201.55,6.562
201.57,6.986
201.59,7.344
201.6,7.49
201.62,7.71
201.64,7.832
201.65,7.859
201.67,7.861
201.69,7.821
201.7,7.797
201.72,7.768
201.73,7.773
201.75,7.843
201.77,8.016
201.78,8.145
201.8,8.487
201.82,8.929
201.83,9.177
201.85,9.705
201.87,10.23
201.88,10.48
201.9,10.91
201.92,11.23
201.93,11.34
201.95,11.44
201.97,11.4
201.98,11.33
202.0,11.11
202.02,10.8
202.03,10.62
202.05,10.23
202.06,10.03
202.08,9.59
202.1,9.124
202.11,8.876
202.13,8.344
202.15,7.756
202.16,7.439
202.18,6.761
202.2,6.04
202.21,5.67
202.23,4.935
202.25,4.24
202.26,3.923
202.28,3.381
202.3,3.008
202.31,2.904
202.33,2.901
202.35,3.234
202.36,3.552
202.38,4.548
202.4,6.107
202.41,7.129
202.43,9.71
202.44,11.29
202.46,15.04
202.48,19.57
202.49,22.11
202.51,27.62
202.53,33.5
202.54,36.48
202.56,42.3
202.58,47.56
202.59,49.85
202.61,53.5
202.63,55.66
202.64,56.11
202.66,55.7
202.68,53.6
202.69,51.97
202.71,47.73
202.73,42.5
202.74,39.65
202.76,33.75
202.78,27.9
202.79,25.1
202.81,19.92
202.82,17.58
202.84,13.49
202.86,10.18
202.87,8.808
202.89,6.59
202.91,4.974
202.92,4.354
202.94,3.413
202.96,2.781
202.97,2.55
202.99,2.216
203.01,2.008
203.02,1.941
203.04,1.872
203.06,1.889
203.07,1.933
203.09,2.1
203.11,2.385
203.12,2.575
203.14,3.052
203.16,3.653
203.17,3.994
203.19,4.735
203.2,5.124
203.22,5.907
203.24,6.644
203.25,6.975
203.27,7.528
203.29,7.892
203.3,7.991
203.32,8.015
