spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.9517,0.0000,0.9845,0.9302,0.0000,0.3715,0.0000,0.0000,0.0000,0.0000,0.1265,0.0000,0.0000,0.0000,0.0000,11367.6318
03124_95_random,0.0000,0.9553,0.0000,0.0000,0.0000,0.6875,0.0000,0.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8181.7768
03130_95_random,0.0000,0.0000,0.9371,0.0000,0.8550,0.5025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13689.1188
03134_95_random,0.9710,0.0000,0.0000,0.0000,0.0000,0.4897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12163.8242
070036_95_random,0.0000,0.0000,0.0000,0.0000,0.9088,0.0000,0.0000,0.0000,0.5684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7819.7131
070099_95_random,0.0000,0.1261,0.0000,0.0000,0.0000,0.0000,0.0001,0.0757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7986.6472
070101_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8368.0189
070159_95_random,0.9715,0.0000,0.0000,0.0000,0.0000,0.6090,0.0000,0.4091,0.5757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11022.1052
070171_95_random,0.0000,0.7140,0.0000,0.0000,0.0000,0.0000,0.9137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7875.1736
07103_95_random,0.9281,0.4556,0.7979,0.9294,0.9461,0.0373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10362.4646
07105_95_random,0.0000,0.8730,0.0000,0.5676,0.0000,0.4449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9961.6453
07106_95_random,0.9374,0.0000,0.0000,0.0000,0.0000,0.0000,0.6997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10444.0008
07107_95_random,0.9629,0.0000,0.7718,0.0000,0.0000,0.4590,0.0000,0.6157,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10636.3258
07111_95_random,0.9543,0.0000,0.0000,0.0000,0.8696,0.0000,0.4398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10643.4771
07121_95_random,0.0000,0.0000,0.0000,0.0000,0.8748,0.0000,0.0000,0.5152,0.1750,0.8371,0.0000,0.0000,0.0000,0.0000,0.0000,10719.2584
07122_95_random,0.9286,0.0000,0.2809,0.0000,0.0000,0.5325,0.0000,0.5688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11664.5986
07125_95_random,0.9458,0.7310,0.3579,0.9578,0.9951,0.4947,0.0000,0.8028,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10380.8293
07141_95_random,0.9524,0.2862,0.0000,0.0000,0.0000,0.5403,0.0000,0.3885,0.0000,0.0000,0.1048,0.0000,0.0000,0.0000,0.0000,12949.9438
07145_95_random,0.0000,0.7596,0.0000,0.8856,0.8684,0.7168,0.7489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12271.6818
07405_95_random,0.0000,0.0000,0.0000,0.9372,0.9333,0.5426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11714.4763
07407_95_random,0.9218,0.0000,0.0000,0.4047,0.0000,0.3844,0.0000,0.0000,0.0000,0.0000,0.0314,0.0000,0.0000,0.0000,0.0000,16067.0318
07840_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.5872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7543.9414
