Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.5714285714285714,0.0,,0.0287307404723618
03124_95_random,0.4,0.0,,0.7702724685531173
03130_95_random,0.6,0.0,,1.0578176390255714
03134_95_random,0.6666666666666666,0.0,,1.054673672361378
070036_95_random,0.25,0.5,Tb,3.126051329172965
070099_95_random,0.75,0.0,,0.2469158630153
070101_95_random,0.0,0.001,,
070159_95_random,0.8,0.0,,0.5841472182813353
070171_95_random,0.25,0.0,,0.5872498317731096
07103_95_random,0.5454545454545454,0.0,,0.0800422042069783
07105_95_random,0.6,0.0,,0.2575382233946283
07106_95_random,1.0,0.0,,1.983374176476902
07107_95_random,0.3333333333333333,0.0,,0.2268914702941156
07111_95_random,0.2727272727272727,0.0,,0.5087232437134306
07121_95_random,0.8,0.0,,0.2827536578251104
07122_95_random,0.2,0.0,,0.1384078672586853
07125_95_random,0.5555555555555556,0.16666666666666666,Tb,0.1637620390039686
07141_95_random,0.2857142857142857,0.0,,1.4591642333007793
07145_95_random,0.8,0.0,,0.4470280148458118
07405_95_random,0.6,0.0,,0.2740009488131543
07407_95_random,0.2727272727272727,0.0,,0.2225665036761633
07840_95_random,0.0,0.001,,
