wavelength,intensity
198.87,6.628e-38
198.88,2.338e-37
198.9,2.8140000000000002e-36
198.92,3.242e-35
198.93,1.082e-34
198.95,2.305e-30
198.97,2.83e-29
198.98,9.753999999999999e-29
199.0,1.121e-27
199.02,1.233e-26
199.03,4.024e-26
199.05,4.144e-25
199.07,4.084e-24
199.08,1.261e-23
199.1,1.1629999999999998e-22
199.12,1.027e-21
199.13,3.002e-21
199.15,2.481e-20
199.17,1.962e-19
199.18,5.428e-19
199.2,4.019e-18
199.21,1.076e-17
199.23,7.454e-17
199.25,4.944e-16
199.26,1.252e-15
199.28,7.777e-15
199.3,4.621e-14
199.31,1.108e-13
199.33,6.162e-13
199.35,3.28e-12
199.36,7.444e-12
199.38,3.709e-11
199.4,1.769e-10
199.41,3.799e-10
199.43,1.696e-09
199.45,7.243e-09
199.46,1.473e-08
199.48,5.889e-08
199.5,2.253e-07
199.51,4.336e-07
199.53,1.553e-06
199.54,2.892e-06
199.56,9.697e-06
199.58,3.112e-05
199.59,5.484e-05
199.61,0.0001647
199.63,0.0004736
199.64,0.0007898
199.66,0.002126
199.68,0.005474
199.69,0.008642
199.71,0.02083
199.73,0.04807
199.74,0.07182
199.76,0.1551
199.78,0.3206
199.79,0.4534
199.81,0.8772
199.83,1.624
199.84,2.174
199.86,3.769
199.88,6.252
199.89,7.921
199.91,12.3
199.92,15.08
199.94,21.93
199.96,30.52
199.97,35.42
199.99,46.16
200.01,57.6
200.02,63.3
200.04,74.0
200.06,82.85
200.07,86.27
200.09,90.59
200.11,91.21
200.12,90.11
200.14,85.29
200.16,77.57
200.17,72.92
200.19,62.66
200.21,51.99
200.22,46.79
200.24,37.06
200.26,28.61
200.27,24.95
200.29,18.76
200.3,16.21
200.32,12.12
200.34,9.151
200.35,8.02
200.37,6.314
200.39,5.178
200.4,4.767
200.42,4.164
200.44,3.753
200.45,3.59
200.47,3.312
200.49,3.077
200.5,2.975
200.52,2.828
200.54,2.809
200.55,2.875
200.57,3.225
200.59,3.971
200.6,4.531
200.62,6.097
200.64,8.335
200.65,9.721
200.67,13.02
200.68,14.91
200.7,19.07
200.72,23.53
200.73,25.76
200.75,30.01
200.77,33.61
200.78,35.06
200.8,37.04
200.82,37.69
200.83,37.5
200.85,36.2
200.87,33.96
200.88,32.63
200.9,29.92
200.92,27.64
200.93,26.85
200.95,26.3
200.97,27.41
200.98,28.65
201.0,32.48
201.01,35.0
201.03,40.97
201.05,47.62
201.06,50.94
201.08,57.05
201.1,61.76
201.11,63.38
201.13,64.84
201.15,63.8
201.16,62.39
201.18,58.04
201.2,52.18
201.21,48.93
201.23,42.27
201.25,35.99
201.26,33.17
201.28,28.4
201.3,24.92
201.31,23.66
201.33,21.97
201.35,21.19
201.36,21.06
201.38,21.15
201.39,21.34
201.41,21.96
201.43,22.93
201.44,23.57
201.46,25.25
201.48,27.56
201.49,28.96
201.51,32.23
201.53,35.96
201.54,37.91
201.56,41.73
201.58,45.11
201.59,46.52
201.61,48.6
201.63,49.57
201.64,49.64
201.66,49.06
201.68,47.78
201.69,47.0
201.71,45.44
201.73,44.26
201.74,43.94
201.76,44.05
201.77,44.53
201.79,46.44
201.81,49.58
201.82,51.55
201.84,56.11
201.86,61.07
201.87,63.53
201.89,68.04
201.91,71.52
201.92,72.75
201.94,74.0
201.96,73.65
201.97,72.95
201.99,70.71
202.01,67.81
202.02,66.26
202.04,63.25
202.06,60.55
202.07,59.34
202.09,57.1
202.11,54.87
202.12,53.64
202.14,50.77
202.15,49.05
202.17,44.98
202.19,40.13
202.2,37.46
202.22,31.87
202.24,26.26
202.25,23.59
202.27,18.76
202.29,14.96
202.3,13.57
202.32,12.08
202.34,12.81
202.35,14.26
202.37,20.12
202.39,31.32
202.4,39.62
202.42,63.32
202.44,99.14
202.45,122.6
202.47,182.5
202.48,219.5
202.5,308.0
202.52,414.8
202.53,473.9
202.55,599.2
202.57,726.2
202.58,786.8
202.6,894.6
202.62,974.5
202.63,1001.0
202.65,1023.0
202.67,1001.0
202.68,974.8
202.7,895.0
202.72,787.5
202.73,727.0
202.75,600.2
202.77,475.2
202.78,416.4
202.8,310.1
202.82,222.2
202.83,185.6
202.85,126.4
202.86,103.3
202.88,68.28
202.9,45.17
202.91,37.05
202.93,25.81
202.95,19.22
202.96,17.05
202.98,14.12
203.0,12.27
203.01,11.58
203.03,10.49
203.05,9.729
203.06,9.501
203.08,9.464
203.1,10.17
203.11,10.88
203.13,13.14
203.15,16.6
203.16,18.8
203.18,24.05
203.2,30.21
203.21,33.5
203.23,40.15
203.24,43.35
203.26,49.07
203.28,53.36
203.29,54.8
203.31,56.06
203.33,55.06
203.34,53.76
203.36,49.76
203.38,44.38
203.39,41.37
203.41,35.16
203.43,29.31
203.44,26.74
203.46,22.72
203.48,20.84
203.49,20.97
203.51,24.1
203.53,32.32
