wavelength,intensity
198.84,8.503e-38
198.85,2.756e-37
198.87,2.8110000000000002e-36
198.89,2.7540000000000003e-35
198.9,8.491e-35
198.92,5.5430000000000004e-31
198.94,5.7550000000000006e-30
198.95,1.8269999999999998e-29
198.97,1.786e-28
198.98,5.501e-28
199.0,5.065e-27
199.02,4.4810000000000004e-26
199.03,1.313e-25
199.05,1.094e-24
199.07,8.758e-24
199.08,2.4409999999999997e-23
199.1,1.8399999999999998e-22
199.12,1.3330000000000001e-21
199.13,3.535e-21
199.15,2.4110000000000002e-20
199.17,1.58e-19
199.18,3.986e-19
199.2,2.46e-18
199.22,1.459e-17
199.23,3.5e-17
199.25,1.955e-16
199.27,1.049e-15
199.28,2.394e-15
199.3,1.21e-14
199.32,5.875e-14
199.33,1.275e-13
199.35,5.832e-13
199.36,1.228e-12
199.38,5.291e-12
199.4,2.189e-11
199.41,4.386e-11
199.43,1.709e-10
199.45,6.399e-10
199.46,1.22e-09
199.48,4.3e-09
199.5,1.457e-08
199.51,2.641e-08
199.53,8.427e-08
199.55,2.583e-07
199.56,4.455e-07
199.58,1.286e-06
199.6,3.566e-06
199.61,5.851e-06
199.63,1.528e-05
199.65,3.835e-05
199.66,5.985e-05
199.68,0.0001414
199.69,0.0002142
199.71,0.0004767
199.73,0.001019
199.74,0.001469
199.76,0.002958
199.78,0.005723
199.79,0.007842
199.81,0.01429
199.83,0.02502
199.84,0.03261
199.86,0.05376
199.88,0.08517
199.89,0.1056
199.91,0.1575
199.93,0.2258
199.94,0.2663
199.96,0.3595
199.98,0.4663
199.99,0.5231
200.01,0.639
200.03,0.7498
200.04,0.8002
200.06,0.8844
200.07,0.9159
200.09,0.9533
200.11,0.9533
200.12,0.9392
200.14,0.8846
200.16,0.8007
200.17,0.7505
200.19,0.6401
200.21,0.525
200.22,0.4688
200.24,0.3635
200.26,0.2724
200.27,0.2333
200.29,0.1685
200.31,0.1211
200.32,0.1033
200.34,0.07812
200.36,0.06415
200.37,0.06046
200.39,0.05793
200.41,0.05984
200.42,0.06181
200.44,0.06673
200.45,0.06935
200.47,0.07429
200.49,0.07837
200.5,0.08001
200.52,0.08263
200.54,0.08485
200.55,0.0861
200.57,0.08963
200.59,0.09575
200.6,0.1003
200.62,0.1131
200.64,0.1319
200.65,0.1438
200.67,0.1725
200.69,0.207
200.7,0.226
200.72,0.2657
200.74,0.305
200.75,0.3234
200.77,0.3554
200.79,0.3784
200.8,0.3858
200.82,0.3916
200.83,0.39
200.85,0.3791
200.87,0.3604
200.88,0.3495
200.9,0.3278
200.92,0.311
200.93,0.3062
200.95,0.3064
200.97,0.3224
200.98,0.3369
201.0,0.378
201.02,0.433
201.03,0.4642
201.05,0.5298
201.07,0.593
201.08,0.6213
201.1,0.6666
201.12,0.692
201.13,0.6961
201.15,0.6863
201.17,0.6542
201.18,0.631
201.2,0.5741
201.21,0.5422
201.23,0.4758
201.25,0.4119
201.26,0.3827
201.28,0.3323
201.3,0.2945
201.31,0.2806
201.33,0.2628
201.35,0.2574
201.36,0.2589
201.38,0.2699
201.4,0.2915
201.41,0.3064
201.43,0.3455
201.45,0.3985
201.46,0.431
201.48,0.5088
201.5,0.6045
201.51,0.6589
201.53,0.7793
201.54,0.8442
201.56,0.9799
201.58,1.117
201.59,1.184
201.61,1.307
201.63,1.408
201.64,1.449
201.66,1.505
201.68,1.526
201.69,1.523
201.71,1.491
201.73,1.43
201.74,1.391
201.76,1.303
201.78,1.21
201.79,1.164
201.81,1.08
201.83,1.01
201.84,0.9806
201.86,0.9349
201.88,0.9029
201.89,0.8906
201.91,0.8702
201.92,0.8607
201.94,0.8405
201.96,0.8165
201.97,0.8029
201.99,0.7729
202.01,0.7413
202.02,0.7258
202.04,0.6972
202.06,0.6732
202.07,0.6631
202.09,0.6465
202.11,0.6328
202.12,0.6262
202.14,0.6118
202.16,0.5936
202.17,0.5824
202.19,0.5552
202.21,0.5216
202.22,0.5026
202.24,0.4615
202.26,0.4181
202.27,0.3965
202.29,0.3558
202.3,0.3379
202.32,0.3102
202.34,0.2999
202.35,0.304
202.37,0.3387
202.39,0.4211
202.4,0.4858
202.42,0.6746
202.44,0.9605
202.45,1.146
202.47,1.612
202.49,2.211
202.5,2.559
202.52,3.342
202.54,4.208
202.55,4.656
202.57,5.541
202.59,6.346
202.6,6.693
202.62,7.234
202.64,7.521
202.65,7.558
202.67,7.414
202.68,7.237
202.7,6.698
202.72,5.964
202.73,5.548
202.75,4.664
202.77,3.777
202.78,3.351
202.8,2.569
202.82,1.904
202.83,1.619
202.85,1.149
202.87,0.7984
202.88,0.6632
202.9,0.4588
202.92,0.3242
202.93,0.2766
202.95,0.2096
202.97,0.1686
202.98,0.1544
203.0,0.1341
203.01,0.1268
203.03,0.116
203.05,0.1099
203.06,0.1088
203.08,0.1114
203.1,0.122
203.11,0.1309
203.13,0.1569
203.15,0.1944
203.16,0.2174
203.18,0.2711
203.2,0.3326
203.21,0.3649
203.23,0.4293
203.25,0.4886
203.26,0.5145
203.28,0.555
203.3,0.5773
203.31,0.5807
203.33,0.5716
203.35,0.5429
203.36,0.5221
203.38,0.4708
203.39,0.4417
203.41,0.3804
203.43,0.3197
203.44,0.2912
203.46,0.2402
203.48,0.1998
203.49,0.1841
203.51,0.1623
203.53,0.1529
203.54,0.1526
203.56,0.16
203.58,0.1762
203.59,0.1868
203.61,0.2114
203.63,0.2376
203.64,0.2503
203.66,0.2727
203.68,0.2887
203.69,0.2935
203.71,0.2958
203.73,0.2879
203.74,0.2804
203.76,0.259
203.77,0.2459
203.79,0.2165
203.81,0.1861
203.82,0.1716
203.84,0.1466
203.86,0.1299
203.87,0.1257
203.89,0.1277
203.91,0.1459
203.92,0.1618
203.94,0.2085
203.96,0.2755
203.97,0.3166
203.99,0.4123
204.01,0.5227
204.02,0.5814
204.04,0.7007
204.06,0.8143
204.07,0.8656
204.09,0.951
204.11,1.006
204.12,1.02
204.14,1.019
204.15,1.005
204.17,0.9489
204.19,0.8634
204.2,0.8124
204.22,0.7003
204.24,0.5837
204.25,0.5268
204.27,0.4206
204.29,0.3293
204.3,0.2903
204.32,0.2262
204.34,0.1797
204.35,0.1624
204.37,0.1372
204.39,0.1217
