wavelength,intensity
198.37,2.137e-31
198.38,5.036e-31
198.4,2.779e-30
198.41,6.449e-30
198.43,3.42e-29
198.45,1.962e-28
198.46,4.452e-28
198.48,2.258e-27
198.5,1.122e-26
198.51,2.4820000000000002e-26
198.53,1.197e-25
198.55,5.6550000000000005e-25
198.56,1.22e-24
198.58,5.593e-24
198.6,2.5129999999999998e-23
198.61,5.287e-23
198.63,2.3049999999999997e-22
198.65,9.852e-22
198.66,2.022e-21
198.68,8.385e-21
198.7,3.409e-20
198.71,6.823e-20
198.73,2.693e-19
198.75,1.042e-18
198.76,2.034e-18
198.78,7.639e-18
198.79,1.47e-17
198.81,5.358e-17
198.83,1.916e-16
198.84,3.595e-16
198.86,1.248e-15
198.88,4.248e-15
198.89,7.779e-15
198.91,2.571e-14
198.93,8.333e-14
198.94,1.489e-13
198.96,4.688e-13
198.98,1.447e-12
198.99,2.524e-12
199.01,7.566e-12
199.03,2.224e-11
199.04,3.787e-11
199.06,1.081e-10
199.08,3.028e-10
199.09,5.031e-10
199.11,1.368e-09
199.12,2.241e-09
199.14,5.919e-09
199.16,1.534e-08
199.17,2.451e-08
199.19,6.168e-08
199.21,1.522e-07
199.22,2.374e-07
199.24,5.689e-07
199.26,1.337e-06
199.27,2.035e-06
199.29,4.645e-06
199.31,1.04e-05
199.32,1.544e-05
199.34,3.355e-05
199.36,7.15e-05
199.37,0.0001036
199.39,0.0002143
199.41,0.0004347
199.42,0.0006145
199.44,0.00121
199.46,0.002336
199.47,0.003221
199.49,0.006035
199.5,0.008199
199.52,0.01491
199.54,0.02658
199.55,0.03522
199.57,0.06091
199.59,0.1033
199.6,0.1335
199.62,0.2195
199.64,0.354
199.65,0.4461
199.67,0.6977
199.69,1.07
199.7,1.314
199.72,1.954
199.74,2.848
199.75,3.412
199.77,4.822
199.79,6.679
199.8,7.801
199.82,10.48
199.84,13.79
199.85,15.71
199.87,20.05
199.88,22.48
199.9,27.83
199.92,33.76
199.93,36.9
199.95,43.41
199.97,50.03
199.98,53.3
200.0,59.57
200.02,65.22
200.03,67.72
200.05,71.91
200.07,74.8
200.08,75.71
200.1,76.37
200.12,75.49
200.13,74.48
200.15,71.4
200.17,67.08
200.18,64.53
200.2,58.83
200.22,52.59
200.23,49.37
200.25,42.89
200.26,39.7
200.28,33.57
200.3,27.93
200.31,25.33
200.33,20.64
200.35,16.66
200.36,14.94
200.38,12.01
200.4,9.733
200.41,8.817
200.43,7.393
200.45,6.455
200.46,6.151
200.48,5.84
200.5,5.895
200.51,6.052
200.53,6.615
200.55,7.501
200.56,8.063
200.58,9.423
200.59,10.22
200.61,12.02
200.63,14.09
200.64,15.21
200.66,17.59
200.68,20.09
200.69,21.37
200.71,23.9
200.73,26.35
200.74,27.51
200.76,29.68
200.78,31.61
200.79,32.47
200.81,33.98
200.83,35.26
200.84,35.82
200.86,36.86
200.88,37.86
200.89,38.38
200.91,39.51
200.93,40.86
200.94,41.63
200.96,43.39
200.97,44.37
200.99,46.54
201.01,48.88
201.02,50.08
201.04,52.44
201.06,54.61
201.07,55.57
201.09,57.13
201.11,58.11
201.12,58.34
201.14,58.26
201.16,57.43
201.17,56.74
201.19,54.89
201.21,52.49
201.22,51.14
201.24,48.23
201.26,45.2
201.27,43.7
201.29,40.83
201.31,38.26
201.32,37.13
201.34,35.22
201.35,34.47
201.37,33.39
201.39,32.87
201.4,32.83
201.42,33.15
201.44,33.96
201.45,34.54
201.47,35.96
201.49,37.69
201.5,38.63
201.52,40.63
201.54,42.69
201.55,43.72
201.57,45.72
201.59,47.59
201.6,48.47
201.62,50.09
201.64,51.53
201.65,52.2
201.67,53.44
201.69,54.62
201.7,55.21
201.72,56.41
201.73,57.05
201.75,58.42
201.77,59.94
201.78,60.77
201.8,62.53
201.82,64.4
201.83,65.36
201.85,67.25
201.87,69.03
201.88,69.85
201.9,71.27
201.92,72.32
201.93,72.68
201.95,73.04
201.97,72.88
201.98,72.59
202.0,71.63
202.02,70.17
202.03,69.25
202.05,67.1
202.06,65.87
202.08,63.16
202.1,60.19
202.11,58.63
202.13,55.45
202.15,52.32
202.16,50.82
202.18,48.14
202.2,46.12
202.21,45.47
202.23,45.2
202.25,46.75
202.26,48.42
202.28,54.01
202.3,63.29
202.31,69.59
202.33,86.13
202.35,108.7
202.36,122.5
202.38,155.7
202.4,196.7
202.41,220.2
202.43,273.3
202.44,302.8
202.46,366.8
202.48,436.6
202.49,473.0
202.51,547.3
202.53,621.2
202.54,656.9
202.56,723.9
202.58,782.2
202.59,807.0
202.61,846.3
202.63,870.0
202.64,875.5
202.66,873.5
202.68,854.4
202.69,838.7
202.71,796.1
202.73,740.9
202.74,709.5
202.76,641.1
202.78,568.0
202.79,530.8
202.81,456.9
202.82,420.9
202.84,352.2
202.86,289.4
202.87,260.6
202.89,208.8
202.91,164.7
202.92,145.5
202.94,112.7
202.96,86.66
202.97,75.92
202.99,58.47
203.01,45.68
203.02,40.77
203.04,33.43
203.06,28.85
203.07,27.41
203.09,25.92
203.11,25.92
203.12,26.37
203.14,27.96
203.16,30.23
203.17,31.54
203.19,34.37
203.2,35.82
203.22,38.68
203.24,41.29
203.25,42.45
203.27,44.36
203.29,45.65
203.3,46.03
203.32,46.23
203.34,45.71
203.35,45.19
203.37,43.7
203.39,41.71
203.4,40.58
203.42,38.15
203.44,35.64
203.45,34.41
203.47,32.11
203.49,30.1
203.5,29.25
203.52,27.87
203.53,27.35
203.55,26.66
203.57,26.39
203.58,26.38
203.6,26.59
203.62,27.0
203.63,27.24
203.65,27.73
203.67,28.14
203.68,28.29
203.7,28.46
203.72,28.42
203.73,28.33
203.75,28.04
203.77,27.67
203.78,27.49
203.8,27.22
203.82,27.22
203.83,27.36
203.85,28.04
203.87,29.36
203.88,30.29
203.9,32.77
203.91,34.31
203.93,38.02
