spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0.9738,0.0000,0.0000,0.9416,0.0000,0.0000,0.7066,0.0000,0.0000,0.0000,0.5068,0.0000,0.0000,0.0000,0.0000
03124_95_random,0.0000,0.9835,0.9196,0.0000,0.0000,0.5516,0.0000,0.7354,0.0000,0.0000,0.0000,0.0000,0.0000,0.7779,0.0000
03130_95_random,0.0000,0.0000,0.8883,0.0000,0.0000,0.6665,0.0000,0.0000,0.2085,0.0000,0.0000,0.0000,0.0000,0.0000,0.9731
03134_95_random,0.9729,0.0000,0.0000,0.0000,0.0000,0.7611,0.0000,0.7338,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070036_95_random,0.9523,0.0000,0.0000,0.0715,0.0000,0.4885,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070099_95_random,0.9528,0.6989,0.8440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070101_95_random,0.0000,0.0000,0.8645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070159_95_random,0.0000,0.0000,0.9608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070171_95_random,0.0000,0.0000,0.4447,0.0000,0.8372,0.4660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07103_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.5749,0.8646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07105_95_random,0.0000,0.9868,0.0000,0.0000,0.6166,0.5355,0.0000,0.0000,0.7661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07106_95_random,0.9314,0.6890,0.0000,0.8628,0.8947,0.5270,0.0000,0.6873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07107_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.5024,0.0000,0.8257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07111_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.7088,0.0000,0.0000,0.8378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07121_95_random,0.0000,0.9723,0.0000,0.0000,0.8729,0.6949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07122_95_random,0.0000,0.9680,0.0000,0.7326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07125_95_random,0.9400,0.7896,0.0000,0.8937,0.0000,0.0132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07141_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07145_95_random,0.0000,0.8150,0.0000,0.0000,0.0000,0.0000,0.0000,0.5553,0.1843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07405_95_random,0.0000,0.0000,0.0000,0.0000,0.6241,0.5272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07407_95_random,0.0000,0.0000,0.0000,0.0000,0.8141,0.0000,0.5727,0.0000,0.4058,0.0000,0.6536,0.0000,0.0000,0.0000,0.7457
07840_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8704,0.9345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
