Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
14,1025.9681,0.032,0,3s,2S,1/2,2
14,1025.9681,0.032,97468.92,5p,2P¡ã,3/2,4
12,1026.1134,0.032,0,3s,2S,1/2,2
12,1026.1134,0.032,97455.12,5p,2P¡ã,1/2,2
25,1239.9253,0.014,0,3s,2S,1/2,2
25,1239.9253,0.014,80650.02,4p,2P¡ã,3/2,4
20,1240.3946,0.015,0,3s,2S,1/2,2
20,1240.3946,0.015,80619.5,4p,2P¡ã,1/2,2
13,2790.7767,4,35669.31,3p,2P¡ã,1/2,2
13,2790.7767,4,71491.06,3d,2D,3/2,4
1000,2795.5301,2.6,0,3s,2S,1/2,2
1000,2795.5301,2.6,35760.88,3p,2P¡ã,3/2,4
15,2797.998,4.8,35760.88,3p,2P¡ã,3/2,4
15,2797.998,4.8,71490.19,3d,2D,5/2,6
600,2802.7056,2.6,0,3s,2S,1/2,2
600,2802.7056,2.6,35669.31,3p,2P¡ã,1/2,2
14,4481.126,2.23,71490.19,3d,2D,5/2,6
14,4481.126,2.23,93799.75,4f,2F¡ã,7/2,8
13,4481.325,2.08,71491.06,3d,2D,3/2,4
13,4481.325,2.08,93799.63,4f,2F¡ã,5/2,6
