Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
200.08,4.951e-14,4.951e-14,,
200.1,5.585e-13,5.585e-13,,
200.13,1.823e-11,1.823e-11,,
200.15,1.686e-10,1.686e-10,,
200.18,4.085e-9,4.085e-9,,
200.2,3.098e-8,3.098e-8,,
200.23,5.572e-7,5.572e-7,,
200.25,3.464e-6,3.464e-6,,
200.28,4.626e-5,4.626e-5,,
200.3,2.358e-4,2.358e-4,,
200.33,2.337e-3,2.337e-3,,
200.35,9.767e-3,9.767e-3,,
200.38,7.188e-2,7.188e-2,,
200.4,2.463e-1,2.463e-1,,
200.43,1.345e+0,1.345e+0,,
200.45,3.779e+0,3.779e+0,,
200.48,1.533e+1,1.533e+1,,
200.5,3.530e+1,3.530e+1,,
200.52,7.508e+1,7.508e+1,,
200.55,2.007e+2,2.007e+2,,
200.57,3.499e+2,3.499e+2,,
200.6,6.943e+2,6.943e+2,,
200.62,9.927e+2,9.927e+2,,
200.65,1.462e+3,1.462e+3,,
200.67,1.714e+3,1.714e+3,,
200.7,1.874e+3,1.874e+3,,
200.72,1.801e+3,1.801e+3,,
200.75,1.462e+3,1.462e+3,,
200.77,1.152e+3,1.152e+3,,
200.8,6.943e+2,6.943e+2,,
200.82,4.486e+2,4.486e+2,,
200.85,2.007e+2,2.007e+2,,
200.87,1.063e+2,1.063e+2,,
200.9,3.530e+1,3.530e+1,,
200.92,1.533e+1,1.533e+1,,
200.95,3.779e+0,3.779e+0,,
200.97,1.345e+0,1.345e+0,,
201,2.465e-1,2.465e-1,,
201.02,7.319e-2,7.319e-2,,
201.05,2.255e-2,2.255e-2,,
201.07,5.521e-2,5.521e-2,,
201.1,3.838e-1,3.838e-1,,
201.12,1.303e+0,1.303e+0,,
201.15,7.030e+0,7.030e+0,,
201.17,1.960e+1,1.960e+1,,
201.2,7.870e+1,7.870e+1,,
201.22,1.802e+2,1.802e+2,,
201.25,5.382e+2,5.382e+2,,
201.27,1.012e+3,1.012e+3,,
201.29,1.757e+3,1.757e+3,,
201.32,3.469e+3,3.469e+3,,
201.34,4.947e+3,4.947e+3,,
201.37,7.266e+3,7.266e+3,,
201.39,8.508e+3,8.508e+3,,
201.42,9.297e+3,9.297e+3,,
201.44,8.938e+3,8.938e+3,,
201.47,7.266e+3,7.266e+3,,
201.49,5.735e+3,5.735e+3,,
201.52,3.469e+3,3.469e+3,,
201.54,2.248e+3,2.248e+3,,
201.57,1.012e+3,1.012e+3,,
201.59,5.382e+2,5.382e+2,,
201.62,1.802e+2,1.802e+2,,
201.64,7.870e+1,7.870e+1,,
201.67,1.960e+1,1.960e+1,,
201.69,7.030e+0,7.030e+0,,
201.72,1.303e+0,1.303e+0,,
201.74,3.836e-1,3.836e-1,,
201.77,5.287e-2,5.287e-2,,
201.79,1.278e-2,1.278e-2,,
201.82,1.311e-3,1.311e-3,,
201.84,2.602e-4,2.602e-4,,
201.87,1.985e-5,1.985e-5,,
201.89,3.236e-6,3.236e-6,,
201.92,1.836e-7,1.836e-7,,
201.94,2.458e-8,2.458e-8,,
201.97,1.081e-9,1.081e-9,,
201.99,5.031e-10,5.031e-10,,
202.02,8.904e-9,8.904e-9,,
202.04,6.506e-8,6.506e-8,,
202.07,1.111e-6,1.111e-6,,
202.09,6.681e-6,6.681e-6,,
202.11,3.716e-5,3.716e-5,,
202.14,4.213e-4,4.213e-4,,
202.16,1.928e-3,1.928e-3,,
202.19,1.632e-2,1.632e-2,,
202.21,6.146e-2,6.146e-2,,
202.24,3.882e-1,3.882e-1,,
202.26,1.203e+0,1.203e+0,,
202.29,5.675e+0,5.675e+0,,
202.31,1.448e+1,1.448e+1,,
202.34,5.106e+1,5.106e+1,,
202.36,1.074e+2,1.074e+2,,
202.39,2.838e+2,2.838e+2,,
202.41,4.938e+2,4.938e+2,,
202.44,9.878e+2,9.878e+2,,
202.46,1.437e+3,1.437e+3,,
202.49,2.237e+3,2.237e+3,,
202.51,2.801e+3,2.801e+3,,
202.54,3.611e+3,3.611e+3,,
202.56,4.102e+3,4.102e+3,,
202.59,4.739e+3,4.739e+3,,
202.61,5.058e+3,5.058e+3,,
202.64,5.241e+3,5.241e+3,,
202.66,5.081e+3,5.081e+3,,
202.69,4.370e+3,4.370e+3,,
202.71,3.650e+3,3.650e+3,,
202.74,2.444e+3,2.444e+3,,
202.76,1.708e+3,1.708e+3,,
202.79,8.665e+2,8.665e+2,,
202.81,5.010e+2,5.010e+2,,
202.84,1.906e+2,1.906e+2,,
202.86,9.087e+1,9.087e+1,,
202.89,2.585e+1,2.585e+1,,
202.91,1.015e+1,1.015e+1,,
202.93,3.685e+0,3.685e+0,,
202.96,6.967e-1,6.967e-1,,
202.98,2.082e-1,2.082e-1,,
203.01,2.940e-2,2.940e-2,,
203.03,7.232e-3,7.232e-3,,
203.06,7.624e-4,7.624e-4,,
203.08,1.543e-4,1.543e-4,,
203.11,1.215e-5,1.215e-5,,
203.13,2.024e-6,2.024e-6,,
203.16,1.190e-7,1.190e-7,,
203.18,1.631e-8,1.631e-8,,
203.21,7.158e-10,7.158e-10,,
203.23,8.079e-11,8.079e-11,,
203.26,2.647e-12,2.647e-12,,
204.1,8.781e-14,8.781e-14,,
204.13,2.971e-12,2.971e-12,,
204.15,2.824e-11,2.824e-11,,
204.18,7.176e-10,7.176e-10,,
204.2,5.638e-9,5.638e-9,,
204.23,1.076e-7,1.076e-7,,
204.25,6.983e-7,6.983e-7,,
204.28,1.001e-5,1.001e-5,,
204.3,5.367e-5,5.367e-5,,
204.33,5.777e-4,5.777e-4,,
204.35,2.560e-3,2.560e-3,,
204.38,2.069e-2,2.069e-2,,
204.4,7.577e-2,7.577e-2,,
204.43,4.600e-1,4.600e-1,,
204.45,1.392e+0,1.392e+0,,
204.48,6.346e+0,6.346e+0,,
204.5,1.586e+1,1.586e+1,,
204.52,3.673e+1,3.673e+1,,
204.55,1.122e+2,1.122e+2,,
204.57,2.147e+2,2.147e+2,,
204.6,4.924e+2,4.924e+2,,
204.62,7.785e+2,7.785e+2,,
