Wavelength (nm),Sum(calc),Fe I (7.7e-2),Fe II (4.2e-1),Fe III (5.7e-5),Ni I (1.2e-1),Ni II (3.8e-1),Ni III (1.3e-5)
199.39,2.280e-21,,,2.280e-21,,,
199.42,2.759e-14,,2.759e-14,8.096e-20,,,
199.44,3.162e-13,,3.162e-13,7.915e-19,,,
199.47,1.056e-11,,1.056e-11,2.082e-17,,,
199.49,9.913e-11,,9.913e-11,1.667e-16,,,
199.52,2.453e-9,,2.453e-9,3.248e-15,,,
199.54,1.885e-8,,1.885e-8,2.128e-14,,,
199.57,3.457e-7,,3.457e-7,3.073e-13,,,
199.59,2.175e-6,,2.175e-6,1.649e-12,,,
199.62,2.955e-5,,2.955e-5,1.764e-11,,,
199.64,1.523e-4,,1.523e-4,7.748e-11,,,
199.67,1.533e-3,,1.533e-3,6.141e-10,,,
199.69,6.465e-3,,6.465e-3,2.209e-9,,,
199.72,4.821e-2,,4.821e-2,1.298e-8,,,
199.74,1.665e-1,,1.665e-1,3.826e-8,,,
199.77,9.201e-1,,9.201e-1,1.668e-7,,,
199.79,2.602e+0,,2.602e+0,4.035e-7,,,
199.82,1.065e+1,,1.065e+1,1.312e-6,,,
199.84,2.467e+1,,2.467e+1,2.617e-6,,,
199.87,7.482e+1,,7.482e+1,6.432e-6,,,
199.89,1.419e+2,,1.419e+2,1.076e-5,,,
199.92,3.188e+2,,3.188e+2,2.082e-5,,,
199.94,4.949e+2,,4.949e+2,3.043e-5,,,
199.97,8.240e+2,,8.240e+2,5.047e-5,,,
199.99,1.047e+3,,1.047e+3,6.873e-5,,,
200.01,1.229e+3,,1.229e+3,9.186e-5,,,
200.04,1.345e+3,,1.345e+3,1.358e-4,,,
200.06,1.292e+3,,1.292e+3,1.690e-4,,,
200.09,1.047e+3,,1.047e+3,2.150e-4,8.397e-14,,
200.11,8.240e+2,,8.240e+2,2.362e-4,9.103e-13,,
200.14,4.949e+2,,4.949e+2,2.462e-4,2.800e-11,,
200.16,3.188e+2,,3.188e+2,2.404e-4,2.488e-10,,
200.19,1.419e+2,,1.419e+2,2.296e-4,5.681e-9,,
200.21,7.482e+1,,7.482e+1,2.359e-4,4.139e-8,,
200.24,2.467e+1,,2.467e+1,2.884e-4,7.016e-7,,
200.26,1.065e+1,,1.065e+1,3.570e-4,4.191e-6,,
200.29,2.603e+0,,2.602e+0,4.938e-4,5.274e-5,,
200.31,9.210e-1,,9.202e-1,5.850e-4,2.583e-4,,
200.34,1.699e-1,,1.668e-1,6.769e-4,2.413e-3,,
200.36,5.985e-2,,4.947e-2,6.919e-4,9.689e-3,,
200.39,8.301e-2,,1.517e-2,6.504e-4,6.719e-2,,
200.41,2.520e-1,,3.020e-2,6.008e-4,2.212e-1,,
200.44,1.287e+0,,1.477e-1,5.349e-4,1.139e+0,,
200.46,3.473e+0,,3.984e-1,5.106e-4,3.074e+0,,
200.49,1.327e+1,,1.522e+0,4.995e-4,1.175e+1,,
200.51,2.937e+1,,3.369e+0,4.962e-4,2.600e+1,,
200.54,8.331e+1,,9.557e+0,4.768e-4,7.375e+1,,
200.56,1.512e+2,,1.734e+1,4.498e-4,1.338e+2,,
200.59,3.183e+2,,3.652e+1,3.949e-4,2.818e+2,,
200.61,4.736e+2,,5.433e+1,3.575e-4,4.193e+2,,
200.64,7.404e+2,,8.494e+1,3.174e-4,6.555e+2,,
200.66,9.031e+2,,1.036e+2,3.118e-4,7.995e+2,,
200.69,1.048e+3,,1.202e+2,3.504e-4,9.279e+2,,
200.71,1.048e+3,,1.202e+2,4.108e-4,9.279e+2,,
200.74,9.031e+2,,1.036e+2,5.399e-4,7.995e+2,,
200.76,7.405e+2,,8.501e+1,6.315e-4,6.555e+2,,
200.79,4.740e+2,,5.471e+1,7.318e-4,4.193e+2,,
200.81,3.194e+2,,3.761e+1,7.515e-4,2.818e+2,,
200.83,2.006e+2,,2.560e+1,7.253e-4,1.750e+2,,
200.86,9.445e+1,,2.070e+1,6.105e-4,7.375e+1,,
200.88,6.699e+1,,2.945e+1,5.023e-4,3.754e+1,,
200.91,8.274e+1,,7.099e+1,3.324e-4,1.175e+1,,
200.93,1.313e+2,,1.264e+2,2.332e-4,4.902e+0,,
200.96,2.655e+2,,2.643e+2,1.236e-4,1.139e+0,,
200.98,3.929e+2,,3.925e+2,7.828e-5,3.896e-1,,
201.01,6.126e+2,,6.125e+2,4.567e-5,6.748e-2,,
201.03,7.466e+2,,7.465e+2,4.199e-5,2.028e-2,,
201.06,8.660e+2,,8.660e+2,5.484e-5,1.554e-2,,
201.08,8.660e+2,,8.660e+2,7.133e-5,5.275e-2,,
201.11,7.469e+2,,7.465e+2,1.010e-4,3.570e-1,,
201.13,6.137e+2,,6.125e+2,1.202e-4,1.165e+0,,
201.16,3.984e+2,,3.924e+2,1.425e-4,5.928e+0,,
201.18,2.801e+2,,2.642e+2,1.512e-4,1.589e+1,,
201.21,1.859e+2,,1.258e+2,1.543e-4,6.013e+1,,
201.23,2.018e+2,,6.949e+1,1.501e-4,1.323e+2,,
201.26,3.973e+2,,2.472e+1,1.354e-4,3.726e+2,,
201.28,6.847e+2,,1.155e+1,1.208e-4,6.732e+2,,
201.31,1.415e+3,,4.771e+0,9.444e-5,1.410e+3,,
201.33,2.097e+3,,5.646e+0,7.689e-5,2.092e+3,,
201.36,3.275e+3,,1.551e+1,5.634e-5,3.260e+3,,
201.38,4.001e+3,,3.115e+1,4.904e-5,3.970e+3,,
201.41,4.681e+3,,7.768e+1,4.871e-5,4.603e+3,,
201.43,4.733e+3,,1.296e+2,5.397e-5,4.603e+3,,
201.46,4.211e+3,,2.410e+2,6.456e-5,3.970e+3,,
201.48,3.590e+3,,3.303e+2,6.988e-5,3.260e+3,,
201.51,2.549e+3,,4.571e+2,7.114e-5,2.092e+3,,
201.53,1.925e+3,,5.144e+2,6.723e-5,1.410e+3,,
201.56,1.203e+3,,5.299e+2,5.725e-5,6.732e+2,,
201.58,8.624e+2,,4.899e+2,5.063e-5,3.726e+2,,
201.6,6.093e+2,,4.187e+2,4.595e-5,1.906e+2,,
201.63,3.470e+2,,2.869e+2,4.386e-5,6.013e+1,,
201.65,2.301e+2,,2.049e+2,4.512e-5,2.525e+1,,
201.68,1.249e+2,,1.190e+2,4.818e-5,5.928e+0,,
201.7,9.758e+1,,9.554e+1,4.939e-5,2.044e+0,,
201.73,1.206e+2,,1.202e+2,4.876e-5,3.569e-1,,
201.75,1.807e+2,,1.805e+2,4.706e-5,1.010e-1,,
201.78,3.379e+2,,3.379e+2,4.408e-5,1.313e-2,,
201.8,4.782e+2,,4.782e+2,4.246e-5,3.051e-3,,
201.83,7.007e+2,,7.007e+2,4.039e-5,2.949e-4,,
201.85,8.214e+2,,8.214e+2,3.848e-5,5.628e-5,,
201.88,9.053e+2,,9.053e+2,3.351e-5,4.047e-6,,
201.9,8.840e+2,,8.840e+2,2.865e-5,6.341e-7,,
201.93,7.646e+2,,7.646e+2,2.009e-5,3.392e-8,,
201.95,6.658e+2,,6.658e+2,1.453e-5,4.366e-9,,
201.98,5.577e+2,,5.577e+2,7.814e-6,2.396e-10,,
202,5.346e+2,,5.346e+2,4.778e-6,5.815e-10,,
202.03,5.629e+2,,5.629e+2,2.269e-6,1.215e-8,,
202.05,5.959e+2,,5.959e+2,1.693e-6,8.541e-8,,
202.08,6.112e+2,,6.112e+2,2.040e-6,1.375e-6,,
202.1,5.785e+2,,5.785e+2,2.921e-6,7.956e-6,,
202.13,4.666e+2,,4.666e+2,5.092e-6,9.562e-5,,
202.15,3.680e+2,,3.680e+2,7.107e-6,4.551e-4,,
202.18,2.230e+2,,2.230e+2,1.115e-5,4.083e-3,,
202.2,1.449e+2,,1.449e+2,1.473e-5,1.599e-2,,
202.23,6.562e+1,,6.552e+1,2.174e-5,1.071e-1,,
202.25,3.534e+1,,3.500e+1,2.736e-5,3.451e-1,,
202.28,1.352e+1,,1.180e+1,3.590e-5,1.725e+0,,
202.3,9.759e+0,,5.182e+0,4.036e-5,4.577e+0,,
202.33,1.840e+1,,1.302e+0,4.304e-5,1.710e+1,,
202.35,3.785e+1,,4.701e-1,4.178e-5,3.738e+1,,
202.38,1.047e+2,,8.805e-2,3.720e-5,1.046e+2,,
202.4,1.889e+2,,2.613e-2,3.486e-5,1.889e+2,,
202.42,3.167e+2,,7.172e-3,3.559e-5,3.167e+2,,
202.45,6.008e+2,,8.902e-4,4.656e-5,6.008e+2,,
202.47,8.455e+2,,2.008e-4,6.180e-5,8.455e+2,,
202.5,1.259e+3,,1.858e-5,9.472e-5,1.259e+3,,
202.52,1.539e+3,,3.446e-6,1.195e-4,1.539e+3,,
202.55,1.931e+3,,2.377e-7,1.508e-4,1.931e+3,,
202.57,2.165e+3,,3.624e-8,1.619e-4,2.165e+3,,
202.6,2.456e+3,,1.863e-9,1.580e-4,2.456e+3,,
202.62,2.583e+3,,2.335e-10,1.424e-4,2.583e+3,,
202.65,2.597e+3,,1.066e-11,1.065e-4,2.597e+3,,
202.67,2.452e+3,,1.712e-11,8.029e-5,2.452e+3,,
202.7,2.014e+3,,4.074e-10,4.591e-5,2.014e+3,,
202.72,1.625e+3,,3.174e-9,2.895e-5,1.625e+3,,
202.75,1.031e+3,,5.968e-8,1.298e-5,1.031e+3,,
202.77,6.942e+2,,3.831e-7,7.527e-6,6.942e+2,,
202.8,3.326e+2,,5.388e-6,4.722e-6,3.326e+2,,
202.82,1.851e+2,,2.849e-5,5.351e-6,1.851e+2,,
202.85,6.645e+1,,2.997e-4,8.849e-6,6.645e+1,,
202.87,3.047e+1,,1.306e-3,1.231e-5,3.047e+1,,
202.9,8.188e+0,,1.027e-2,1.794e-5,8.177e+0,,
202.92,3.124e+0,,3.689e-2,2.106e-5,3.087e+0,,
202.95,8.359e-1,,2.170e-1,2.340e-5,6.188e-1,,
202.97,8.343e-1,,6.419e-1,2.301e-5,1.923e-1,,
203,2.853e+0,,2.825e+0,1.996e-5,2.879e-2,,
203.02,6.892e+0,,6.884e+0,1.698e-5,7.362e-3,,
203.05,2.265e+1,,2.265e+1,1.239e-5,8.228e-4,,
203.07,4.549e+1,,4.549e+1,9.734e-6,1.732e-4,,
203.1,1.120e+2,,1.120e+2,6.580e-6,1.445e-5,,
203.12,1.852e+2,,1.852e+2,4.965e-6,2.504e-6,,
203.15,3.409e+2,,3.409e+2,3.100e-6,1.560e-7,,
203.17,4.648e+2,,4.648e+2,2.192e-6,2.224e-8,,
203.2,6.398e+2,,6.398e+2,1.405e-6,1.035e-9,,
203.22,7.186e+2,,7.186e+2,1.413e-6,1.214e-10,,
203.24,7.470e+2,,7.470e+2,2.101e-6,1.318e-11,,
203.27,6.847e+2,,6.847e+2,5.359e-6,4.073e-13,,
203.29,5.864e+2,,5.864e+2,1.003e-5,4.010e-13,,
203.32,4.020e+2,,4.020e+2,2.305e-5,3.916e-13,,
203.34,2.837e+2,,2.837e+2,3.700e-5,3.854e-13,,
203.37,1.458e+2,,1.458e+2,6.660e-5,3.760e-13,,
203.39,8.550e+1,,8.550e+1,9.110e-5,3.698e-13,,
203.42,3.612e+1,,3.612e+1,1.306e-4,3.604e-13,,
203.44,2.385e+1,,2.385e+1,1.552e-4,3.541e-13,,
203.47,2.873e+1,,2.873e+1,1.848e-4,3.448e-13,,
203.49,4.676e+1,,4.676e+1,1.984e-4,3.385e-13,,
203.52,9.868e+1,,9.868e+1,2.103e-4,3.291e-13,,
203.54,1.504e+2,,1.504e+2,2.144e-4,3.229e-13,,
203.57,2.458e+2,,2.458e+2,2.179e-4,3.135e-13,,
203.59,3.098e+2,,3.098e+2,2.206e-4,3.073e-13,,
203.62,3.793e+2,,3.793e+2,2.281e-4,2.979e-13,,
203.64,3.942e+2,,3.942e+2,2.362e-4,2.916e-13,,
203.67,3.615e+2,,3.615e+2,2.515e-4,2.822e-13,,
203.69,3.098e+2,,3.098e+2,2.610e-4,2.760e-13,,
203.72,2.127e+2,,2.127e+2,2.681e-4,2.666e-13,,
203.74,1.503e+2,,1.503e+2,2.660e-4,2.604e-13,,
203.77,7.749e+1,,7.749e+1,2.534e-4,2.510e-13,,
203.79,4.576e+1,,4.576e+1,2.416e-4,2.447e-13,,
203.82,2.080e+1,,2.080e+1,2.248e-4,2.354e-13,,
203.84,1.706e+1,,1.706e+1,2.166e-4,2.291e-13,,
203.87,3.258e+1,,3.258e+1,2.106e-4,2.197e-13,,
203.89,6.358e+1,,6.358e+1,2.104e-4,2.135e-13,,
203.92,1.623e+2,,1.623e+2,2.143e-4,2.041e-13,,
203.94,2.776e+2,,2.776e+2,2.188e-4,1.979e-13,,
203.97,5.385e+2,,5.385e+2,2.276e-4,1.885e-13,,
203.99,7.609e+2,,7.609e+2,2.334e-4,1.822e-13,,
204.02,1.107e+3,,1.107e+3,2.373e-4,1.729e-13,,
204.04,1.291e+3,,1.291e+3,2.330e-4,1.666e-13,,
204.06,1.394e+3,,1.394e+3,2.205e-4,1.604e-13,,
204.09,1.354e+3,,1.354e+3,1.858e-4,1.510e-13,,
204.11,1.207e+3,,1.207e+3,1.546e-4,1.447e-13,,
204.14,8.788e+2,,8.788e+2,1.046e-4,4.624e-12,,
204.16,6.463e+2,,6.463e+2,7.454e-5,4.232e-11,,
204.19,3.529e+2,,3.529e+2,4.080e-5,1.015e-9,,
204.21,2.141e+2,,2.141e+2,2.731e-5,7.678e-9,,
204.24,8.765e+1,,8.765e+1,2.077e-5,1.384e-7,,
204.26,4.389e+1,,4.389e+1,2.551e-5,8.644e-7,,
204.29,1.347e+1,,1.347e+1,4.745e-5,1.170e-5,,
204.31,5.566e+0,,5.566e+0,7.312e-5,6.039e-5,,
204.34,1.281e+0,,1.280e+0,1.291e-4,6.139e-4,,
204.36,4.394e-1,,4.366e-1,1.764e-4,2.618e-3,,
204.39,9.553e-2,,7.529e-2,2.550e-4,1.999e-2,,
204.41,9.194e-2,,2.119e-2,3.054e-4,7.044e-2,,
204.44,4.070e-1,,2.739e-3,3.644e-4,4.039e-1,,
204.46,1.177e+0,,6.361e-4,3.857e-4,1.176e+0,,
204.49,5.065e+0,,6.163e-5,3.844e-4,5.064e+0,,
204.51,1.219e+1,,1.181e-5,3.619e-4,1.218e+1,,
204.54,3.941e+1,,8.582e-7,3.034e-4,3.941e+1,,
204.56,7.834e+1,,1.365e-7,2.550e-4,7.834e+1,,
204.59,1.903e+2,,2.311e-8,1.811e-4,1.903e+2,,
204.61,3.126e+2,,1.062e-7,1.367e-4,3.126e+2,,
204.64,5.702e+2,,1.582e-6,8.329e-5,5.702e+2,,
204.66,7.738e+2,,8.761e-6,5.723e-5,7.738e+2,,
204.69,1.060e+3,,9.898e-5,3.108e-5,1.060e+3,,
204.71,1.189e+3,,4.532e-4,2.069e-5,1.189e+3,,
204.74,1.223e+3,,3.850e-3,1.316e-5,1.223e+3,,
204.76,1.134e+3,,1.457e-2,1.280e-5,1.133e+3,,
204.79,8.761e+2,,9.307e-2,1.965e-5,8.760e+2,,
204.81,6.709e+2,,2.913e-1,2.999e-5,6.706e+2,,
204.83,4.765e+2,,8.450e-1,4.539e-5,4.756e+2,,
204.86,2.498e+2,,3.620e+0,7.654e-5,2.462e+2,,
204.88,1.530e+2,,8.681e+0,9.953e-5,1.443e+2,,
204.91,8.430e+1,,2.796e+1,1.285e-4,5.634e+1,,
204.93,8.333e+1,,5.544e+1,1.386e-4,2.789e+1,,
204.96,1.455e+2,,1.342e+2,1.346e-4,1.123e+1,,
204.98,2.315e+2,,2.201e+2,1.201e-4,1.140e+1,,
205.01,4.294e+2,,4.007e+2,8.770e-5,2.870e+1,,
205.03,6.010e+2,,5.431e+2,6.466e-5,5.787e+1,,
205.06,8.910e+2,,7.433e+2,3.549e-5,1.477e+2,,
205.08,1.084e+3,,8.332e+2,2.163e-5,2.513e+2,,
205.11,1.341e+3,,8.573e+2,8.919e-6,4.840e+2,,
205.13,1.476e+3,,7.945e+2,4.493e-6,6.813e+2,,
205.16,1.601e+3,,6.146e+2,1.395e-6,9.868e+2,,
205.18,1.620e+3,,4.710e+2,5.882e-7,1.149e+3,,
205.21,1.525e+3,,2.739e+2,1.710e-7,1.251e+3,,
205.23,1.378e+3,,1.736e+2,1.327e-7,1.205e+3,,
205.26,1.063e+3,,7.629e+1,2.876e-7,9.871e+2,,
205.28,8.275e+2,,4.086e+1,5.628e-7,7.867e+2,,
205.31,5.057e+2,,1.729e+1,1.412e-6,4.884e+2,,
205.33,3.443e+2,,1.502e+1,2.440e-6,3.293e+2,,
205.36,2.099e+2,,2.817e+1,5.191e-6,1.818e+2,,
205.38,1.975e+2,,4.958e+1,8.450e-6,1.479e+2,,
