Wavelength (nm),Sum(calc),Na I (2.0e-5),Na II (4.3e-4),Na III (1.5e-22),Mg I (2.7e-2),Mg II (2.2e-1),Mg III (1.4e-4),Al I (1.2e-4),Al II (7.9e-4),Al III (2.3e-8),Si I (1.6e-3),Si II (3.1e-3),Si III (1.4e-7),K I (1.1e-5),K II (3.6e-4),K III (1.0e-14),Ca I (9.5e-3),Ca II (2.4e-1),Ca III (3.2e-3),Mn I (7.2e-6),Mn II (5.8e-5),Fe I (1.8e-4),Fe II (1.0e-3),Fe III (1.4e-7),Cu I (6.3e-6),Cu II (1.5e-5),Zn I (3.1e-6),Zn II (4.8e-6),Mo I (0.0e+0),Pb I (1.3e-7),Pb II (8.1e-7)
199.08,1.595e-23,,,,,,,,,,,,,,,,,,,,,,,1.595e-23,,,,,,,
199.1,7.405e-23,,,,,,,,,,,,,,,,,,,,,,,7.405e-23,,,,,,,
199.13,1.427e-15,,,,,,,,,,,,,,,,,,,,,,1.427e-15,6.955e-22,,,,,,,
199.15,6.511e-15,,,,,,,,,,,,,,,,,,,,,,6.511e-15,2.968e-21,,,,,,,
199.18,5.958e-14,,,,,,,,,,,,2.625e-30,,,,,,1.716e-29,,,,5.958e-14,2.457e-20,,,,,,,
199.2,2.499e-13,,,,,,,,,,,,1.238e-29,,,,,,7.824e-29,,,,2.499e-13,9.645e-20,,,,,,,
199.22,1.013e-12,,,,,,,,,,,,5.642e-29,,,,,,3.449e-28,,,,1.013e-12,3.659e-19,,,,,,,
199.25,7.769e-12,,,,,,,,,,,,5.155e-28,,,,,,2.997e-27,,,,7.769e-12,2.537e-18,,,,,,,
199.27,2.896e-11,,,,,,,,,,,,2.160e-27,,,,,,1.215e-26,,1.098e-18,,2.896e-11,8.847e-18,,,,,,,
199.3,1.956e-10,,,,,,,,,,,,1.739e-26,,,,,,9.301e-26,,1.081e-17,,1.956e-10,5.408e-17,,,,,,,
199.32,6.701e-10,,,,,,,,,,,,6.699e-26,,,,,,3.464e-25,,4.757e-17,,6.701e-10,1.733e-16,,,,,,,
199.35,3.988e-9,,,,,,,,,,,,4.753e-25,,,,,,2.338e-24,,4.125e-16,,3.988e-9,9.340e-16,,,,,,,
199.37,1.256e-8,,,,,,,,,,,,1.683e-24,,,,,,8.004e-24,,1.669e-15,,1.256e-8,2.753e-15,,,,,,,
199.4,6.587e-8,,,,,,,,,,,,1.052e-23,,,,,,4.760e-23,,1.276e-14,,6.587e-8,1.308e-14,,,,,,,
199.42,1.906e-7,,,,,,,,,,,,3.424e-23,,,,,,1.498e-22,,4.745e-14,,1.906e-7,3.545e-14,,,,,,,
199.45,8.810e-7,,,,,,,,,,,,1.887e-22,,,,,,7.849e-22,,3.196e-13,,8.810e-7,1.486e-13,,,,,,,
199.47,2.343e-6,,,,,,,,,,,,5.644e-22,,,,,,2.270e-21,,1.093e-12,,2.343e-6,3.705e-13,,,,,,,
199.49,6.027e-6,,,8.142e-59,,,,,,,,,1.632e-21,,,,,,6.349e-21,,3.613e-12,,6.027e-6,8.939e-13,,,,,,,
199.52,2.333e-5,,,8.172e-58,,,,,,,,,7.535e-21,,,,,,2.787e-20,,2.039e-11,,2.333e-5,3.149e-12,,,,,,,
199.54,5.515e-5,,,3.646e-57,,,,,,,,,2.003e-20,,,,,,7.165e-20,,6.197e-11,,5.515e-5,6.996e-12,,,,,,,
199.57,1.881e-4,,,3.226e-56,,,3.092e-41,,,,,7.576e-20,8.149e-20,,,,,,2.772e-19,,3.083e-10,,1.881e-4,2.180e-11,,,,,,,
199.59,4.088e-4,,,1.811e-55,,,1.425e-40,,,,,3.551e-19,1.991e-19,,,,,,6.549e-19,,8.612e-10,,4.088e-4,4.467e-11,,,,,,,
199.62,1.229e-3,,,1.520e-54,,,1.324e-39,,,,,3.383e-18,7.138e-19,,,,,,2.233e-18,,3.775e-9,,1.229e-3,1.235e-10,,,,,,,
199.64,2.454e-3,,,6.067e-54,,,5.613e-39,,,,,1.458e-17,1.603e-18,,,,,,4.849e-18,,9.695e-9,,2.454e-3,2.338e-10,,,,,,,
199.67,6.499e-3,,,4.596e-53,,,4.598e-38,,,,,1.225e-16,5.065e-18,,,,,,1.457e-17,,3.746e-8,,6.499e-3,5.753e-10,,,,,,,
199.69,1.193e-2,,,1.714e-52,,,1.792e-37,,,,,4.852e-16,1.046e-17,,,,,,2.908e-17,,8.842e-8,,1.193e-2,1.010e-9,,,,,,,
199.72,2.784e-2,,,1.175e-51,,,1.294e-36,,,,,3.593e-15,2.911e-17,,,,,,7.699e-17,,3.011e-7,,2.784e-2,2.225e-9,,,,,,,
199.74,4.697e-2,,,4.099e-51,,,4.638e-36,,,,,1.309e-14,5.524e-17,,,,,,1.413e-16,,6.533e-7,,4.696e-2,3.637e-9,,,,,,,
199.76,7.660e-2,,,1.393e-50,,,1.607e-35,,,,,4.612e-14,1.013e-16,,,,,,2.506e-16,,1.371e-6,,7.660e-2,5.786e-9,,,,,,,
199.79,1.498e-1,,,8.290e-50,,,9.730e-35,,,,,2.864e-13,2.364e-16,,,,,,5.559e-16,,3.911e-6,,1.498e-1,1.106e-8,,,,,,,
199.81,2.245e-1,,,2.632e-49,,,3.100e-34,,,,,9.277e-13,3.987e-16,,,,,,9.064e-16,,7.543e-6,,2.245e-1,1.650e-8,,,,,,,
199.84,3.868e-1,,,1.413e-48,,,1.655e-33,,,,,5.078e-12,8.195e-16,,,,,,1.772e-15,,1.897e-5,,3.868e-1,2.877e-8,,,,,,,
199.86,5.329e-1,,,4.182e-48,,,4.847e-33,,,,,1.513e-11,1.270e-15,,,,,,2.656e-15,,3.363e-5,,5.329e-1,4.050e-8,,,,,,,
199.89,8.091e-1,,,2.017e-47,,,2.282e-32,,,,,7.300e-11,2.301e-15,,,,,,4.578e-15,,7.453e-5,,8.090e-1,6.488e-8,,,,,,,
199.91,1.025e+0,,,5.551e-47,,,6.145e-32,,,,,1.999e-10,3.278e-15,,,,,,6.309e-15,,1.215e-4,,1.024e+0,8.643e-8,,,,,,,
199.94,1.371e+0,,,2.396e-46,,,2.550e-31,,,,,8.508e-10,5.234e-15,,,,,,9.588e-15,,2.372e-4,,1.370e+0,1.276e-7,,,,,,,
199.96,1.596e+0,,,6.116e-46,,,6.316e-31,,,,,2.142e-9,6.854e-15,,,,,,1.216e-14,,3.554e-4,,1.595e+0,1.611e-7,,,,,,,
199.99,1.881e+0,,,2.353e-45,,,2.311e-30,,,,,8.038e-9,9.642e-15,,,,,,1.631e-14,,6.118e-4,,1.880e+0,2.194e-7,,,,,,,
200.01,2.012e+0,,,5.557e-45,,,5.262e-30,,,,,1.861e-8,1.161e-14,,,,,,1.904e-14,,8.425e-4,,2.012e+0,2.626e-7,,,,,,,
200.03,2.082e+0,,,1.271e-44,,,1.159e-29,,,,,4.167e-8,1.351e-14,,,,,,2.151e-14,,1.122e-3,,2.081e+0,3.079e-7,,,,,,,
200.06,2.056e+0,,,4.144e-44,,,3.554e-29,,,,,1.311e-7,1.592e-14,,,,,,2.435e-14,,1.618e-3,,2.054e+0,3.774e-7,,,,,,,
