Wavelength (nm),Sum(calc),Na I (2.2e-5),Na II (4.7e-4),Na III (1.7e-22),Mg I (9.7e-4),Mg II (8.0e-3),Mg III (4.8e-6),Al I (8.7e-4),Al II (5.9e-3),Al III (1.7e-7),Si I (1.9e-2),Si II (3.7e-2),Si III (1.7e-6),K I (4.9e-5),K II (1.6e-3),K III (4.4e-14),Ca I (1.8e-2),Ca II (4.4e-1),Ca III (6.0e-3),Mn I (2.9e-6),Mn II (2.3e-5),Fe I (2.0e-4),Fe II (1.1e-3),Fe III (1.5e-7),Cu I (4.4e-7),Cu II (1.1e-6),Zn I (0.0e+0),Zn II (0.0e+0),Mo I (0.0e+0),Pb I (0.0e+0),Pb II (0.0e+0)
199.09,3.839e-23,,,,,,,,,,,,,,,,,,,,,,,3.839e-23,,,,,,,
199.11,3.363e-16,,,,,,,,,,,,,,,,,,,,,,3.363e-16,1.753e-22,,,,,,,
199.14,3.405e-15,,,,,,,,,,,,,,,,,,,,,,3.405e-15,1.605e-21,,,,,,,
199.16,1.528e-14,,,,,,,,,,,,,,,,,,6.797e-30,,,,1.528e-14,6.737e-21,,,,,,,
199.19,1.363e-13,,,,,,,,,,,,6.756e-29,,,,,,6.874e-29,,,,1.363e-13,5.441e-20,,,,,,,
199.21,5.623e-13,,,,,,,,,,,,3.132e-28,,,,,,3.082e-28,,,,5.623e-13,2.099e-19,,,,,,,
199.23,2.242e-12,,,,,,,,,,,,1.404e-27,,,,,,1.336e-27,,,,2.242e-12,7.828e-19,,,,,,,
199.26,1.676e-11,,,,,,,,,,,,1.251e-26,,,,,,1.132e-26,,2.015e-19,,1.676e-11,5.293e-18,,,,,,,
199.28,6.142e-11,,,,,,,,,,,,5.154e-26,,,,,,4.511e-26,,9.490e-19,,6.142e-11,1.815e-17,,,,,,,
199.31,4.045e-10,,,,,,,,,,,,4.046e-25,,,,,,3.368e-25,,9.104e-18,,4.045e-10,1.082e-16,,,,,,,
199.33,1.363e-9,,,,,,,,,,,,1.532e-24,,,,,,1.234e-24,,3.941e-17,,1.363e-9,3.409e-16,,,,,,,
199.36,7.907e-9,,,,,,,,,,,,1.060e-23,,,,,,8.116e-24,,3.332e-16,,7.907e-9,1.791e-15,,,,,,,
199.38,2.448e-8,,,,,,,,,,,,3.690e-23,,,,,,2.732e-23,,1.326e-15,,2.448e-8,5.192e-15,,,,,,,
199.41,1.252e-7,,,,,,,,,,,,2.250e-22,,,,,,1.584e-22,,9.879e-15,,1.252e-7,2.406e-14,,,,,,,
199.43,3.563e-7,,,,,,,,,,,,7.200e-22,,,,,,4.902e-22,,3.613e-14,,3.563e-7,6.412e-14,,,,,,,
199.46,1.605e-6,,,,,,,,,,,,3.868e-21,,,,,,2.505e-21,,2.373e-13,,1.605e-6,2.621e-13,,,,,,,
199.48,4.199e-6,,,,,,,,,,,,1.138e-20,,,,,,7.124e-21,,7.979e-13,,4.199e-6,6.430e-13,,,,,,,
199.5,1.062e-5,,,1.926e-58,,,,,,,,,3.235e-20,,,,,,1.959e-20,,2.594e-12,,1.062e-5,1.526e-12,,,,,,,
199.53,4.008e-5,,,1.885e-57,,,,,,,,,1.456e-19,,,,,,8.385e-20,,1.427e-11,,4.008e-5,5.243e-12,,,,,,,
199.55,9.315e-5,,,8.269e-57,,,2.318e-43,,,,,,3.806e-19,,,,,,2.119e-19,,4.265e-11,,9.315e-5,1.146e-11,,,,,,,
199.58,3.098e-4,,,7.135e-56,,,2.382e-42,,,,,1.944e-18,1.510e-18,,,,,,7.994e-19,,2.069e-10,,3.098e-4,3.486e-11,,,,,,,
199.6,6.619e-4,,,4.030e-55,,,1.080e-41,,,,,8.960e-18,3.628e-18,,,,,,1.857e-18,,5.683e-10,,6.619e-4,7.030e-11,,,,,,,
199.63,1.940e-3,,,3.314e-54,,,9.785e-41,,,,,8.324e-17,1.268e-17,,,,,,6.174e-18,,2.429e-9,,1.940e-3,1.898e-10,,,,,,,
199.65,3.809e-3,,,1.305e-53,,,4.078e-40,,,,,3.528e-16,2.800e-17,,,,,,1.318e-17,,6.134e-9,,3.809e-3,3.539e-10,,,,,,,
199.68,9.837e-3,,,9.686e-53,,,3.258e-39,,,,,2.889e-15,8.627e-17,,,,,,3.862e-17,,2.311e-8,,9.837e-3,8.512e-10,,,,,,,
199.7,1.775e-2,,,3.565e-52,,,1.248e-38,,,,,1.126e-14,1.751e-16,,,,,,7.580e-17,,5.363e-8,,1.775e-2,1.473e-9,,,,,,,
199.73,4.040e-2,,,2.394e-51,,,8.793e-38,,,,,8.131e-14,4.754e-16,,,,,,1.957e-16,,1.781e-7,,4.040e-2,3.176e-9,,,,,,,
199.75,6.701e-2,,,8.244e-51,,,3.098e-37,,,,,2.913e-13,8.870e-16,,,,,,3.530e-16,,3.800e-7,,6.701e-2,5.120e-9,,,,,,,
199.77,1.075e-1,,,2.763e-50,,,1.056e-36,,,,,1.009e-12,1.600e-15,,,,,,6.158e-16,,7.839e-7,,1.075e-1,8.039e-9,,,,,,,
199.8,2.049e-1,,,1.612e-49,,,6.233e-36,,,,,6.110e-12,3.639e-15,,,,,,1.332e-15,,2.181e-6,,2.049e-1,1.507e-8,,,,,,,
199.82,3.020e-1,,,5.046e-49,,,1.952e-35,,,,,1.946e-11,6.034e-15,,,,,,2.136e-15,,4.136e-6,,3.020e-1,2.223e-8,,,,,,,
199.85,5.072e-1,,,2.653e-48,,,1.016e-34,,,,,1.039e-10,1.209e-14,,,,,,4.071e-15,,1.014e-5,,5.072e-1,3.809e-8,,,,,,,
199.87,6.872e-1,,,7.739e-48,,,2.928e-34,,,,,3.043e-10,1.843e-14,,,,,,6.000e-15,,1.768e-5,,6.872e-1,5.301e-8,,,,,,,
199.9,1.017e+0,,,3.652e-47,,,1.344e-33,,,,,1.432e-9,3.256e-14,,,,,,1.008e-14,,3.820e-5,,1.017e+0,8.354e-8,,,,,,,
199.92,1.267e+0,,,9.904e-47,,,3.559e-33,,,,,3.857e-9,4.561e-14,,,,,,1.367e-14,,6.122e-5,,1.267e+0,1.101e-7,,,,,,,
199.95,1.652e+0,,,4.179e-46,,,1.440e-32,,,,,1.600e-8,7.100e-14,,,,,,2.025e-14,,1.166e-4,,1.652e+0,1.599e-7,,,,,,,
199.97,1.891e+0,,,1.050e-45,,,3.507e-32,,,,,3.963e-8,9.142e-14,,,,,,2.526e-14,,1.717e-4,,1.891e+0,1.997e-7,,,,,,,
200,2.173e+0,,,3.948e-45,,,1.251e-31,,,,,1.450e-7,1.254e-13,,,,,,3.305e-14,,2.883e-4,,2.173e+0,2.677e-7,,,,,,,
200.02,2.286e+0,,,9.177e-45,,,2.802e-31,,,,,3.301e-7,1.484e-13,,,,,,3.796e-14,,3.903e-4,,2.286e+0,3.171e-7,,,,,,,
200.04,2.325e+0,,,2.066e-44,,,6.067e-31,,,,,7.267e-7,1.698e-13,,,,,,4.222e-14,,5.111e-4,,2.325e+0,3.682e-7,,,,,,,
200.07,2.239e+0,,,6.576e-44,,,1.815e-30,,,,,2.229e-6,1.952e-13,,,,,,4.667e-14,,7.188e-4,,2.238e+0,4.456e-7,,,,,,,
200.09,2.093e+0,,,1.366e-43,,,3.612e-30,,,,,4.512e-6,2.053e-13,,,,,,4.805e-14,,8.651e-4,,2.092e+0,4.967e-7,,,,,,,
200.12,1.776e+0,,,3.850e-43,,,9.527e-30,,,,,1.220e-5,2.079e-13,,,,,,4.757e-14,,1.072e-3,,1.775e+0,5.732e-7,,,,,,,
200.14,1.526e+0,,,7.374e-43,,,1.744e-29,,,,,2.271e-5,2.010e-13,,,,,,4.572e-14,,1.186e-3,,1.525e+0,6.263e-7,,,,,,,
200.17,1.141e+0,,,1.838e-42,,,4.055e-29,,,,,5.415e-5,1.794e-13,,,,,,4.130e-14,,1.296e-3,,1.140e+0,7.145e-7,,,,,,,
200.19,9.015e-1,,,3.242e-42,,,6.824e-29,,,,,9.268e-5,1.594e-13,,,,,,3.771e-14,,1.318e-3,,9.001e-1,7.826e-7,,,,,,,
200.22,5.944e-1,,,7.137e-42,,,1.399e-28,,,,,1.948e-4,1.254e-13,,,,,,3.210e-14,,1.269e-3,,5.929e-1,9.019e-7,,,,,,,
200.24,4.318e-1,,,1.159e-41,,,2.165e-28,,,,,3.066e-4,1.024e-13,,,,,,2.853e-14,,1.186e-3,,4.303e-1,9.921e-7,,,,,,,
200.27,2.514e-1,,,2.253e-41,,,3.913e-28,,,,,5.682e-4,7.100e-14,,,,,,2.372e-14,,1.007e-3,,2.499e-1,1.136e-6,,,,,,,
200.29,1.685e-1,,,3.366e-41,,,5.567e-28,,,,,8.222e-4,5.331e-14,,,,,,2.090e-14,,8.651e-4,,1.668e-1,1.231e-6,,,,,,,
200.31,1.097e-1,,,4.863e-41,,,7.659e-28,,,,,1.150e-3,3.870e-14,,,,,,1.836e-14,,7.188e-4,,1.078e-1,1.317e-6,,,,,,,
200.34,5.547e-2,,,7.935e-41,,,1.161e-27,,,,,1.787e-3,2.247e-14,,,,,,1.491e-14,,5.111e-4,,5.317e-2,1.420e-6,,,,,,,
200.36,3.532e-2,,,1.055e-40,,,1.468e-27,,,,,2.299e-3,1.499e-14,,,,,,1.280e-14,,3.903e-4,,3.263e-2,1.464e-6,,2.308e-20,,,,,
200.39,2.041e-2,,,1.518e-40,,,1.962e-27,,,,,3.150e-3,7.675e-15,,,,,,9.868e-15,,2.446e-4,,1.702e-2,1.492e-6,,2.327e-19,,,,,
200.41,1.732e-2,,,1.856e-40,,,2.282e-27,,,,,3.726e-3,4.713e-15,,,,,,8.078e-15,,1.717e-4,,1.343e-2,1.487e-6,,1.042e-18,,,,,
200.44,1.969e-2,,,2.357e-40,,,2.687e-27,,,,,4.501e-3,2.145e-15,,,,,,5.707e-15,,9.485e-5,,1.510e-2,1.450e-6,,9.277e-18,,,,,
200.46,2.512e-2,,,2.650e-40,,,2.874e-27,,,,,4.895e-3,1.245e-15,,,,,,4.373e-15,,6.122e-5,,2.017e-2,1.412e-6,,3.822e-17,,,,,
200.49,3.879e-2,,,2.967e-40,,,2.985e-27,,,,,5.213e-3,6.219e-16,,,,,,2.774e-15,,2.980e-5,,3.355e-2,1.343e-6,,3.003e-16,,,,,
200.51,5.171e-2,,,3.068e-40,,,2.935e-27,,,,,5.213e-3,5.378e-16,,,,,,1.970e-15,,1.768e-5,,4.648e-2,1.294e-6,,1.138e-15,,,,,
200.54,7.681e-2,,,3.029e-40,,,2.687e-27,,,,,4.895e-3,8.552e-16,,,,,,1.110e-15,,7.584e-6,,7.190e-2,1.223e-6,,7.893e-15,,,,,
200.56,9.692e-2,,,2.880e-40,,,2.430e-27,,,,,4.501e-3,1.450e-15,,,,,,7.271e-16,,4.136e-6,,9.241e-2,1.181e-6,,2.753e-14,,,,,
200.58,1.189e-1,,,2.648e-40,,,2.124e-27,,,,,4.002e-3,2.516e-15,,,,,,4.609e-16,,2.181e-6,,1.149e-1,1.146e-6,,9.287e-14,,,,,
200.61,1.529e-1,,,2.193e-40,,,1.631e-27,,,,,3.150e-3,5.548e-15,,,,,,2.185e-16,,7.839e-7,,1.497e-1,1.116e-6,,5.406e-13,,,,,
200.63,1.740e-1,,,1.854e-40,,,1.311e-27,,,,,2.575e-3,9.053e-15,,,,,,1.275e-16,,3.800e-7,,1.714e-1,1.115e-6,,1.678e-12,,,,,
200.66,1.995e-1,,,1.355e-40,,,8.872e-28,,,,,1.787e-3,1.777e-14,,,,,,5.334e-17,,1.204e-7,,1.977e-1,1.147e-6,,8.621e-12,,,,,
200.68,2.104e-1,,,1.054e-40,,,6.558e-28,,5.161e-18,,,1.344e-3,2.674e-14,,,,,,2.861e-17,,5.363e-8,,2.091e-1,1.189e-6,,2.462e-11,,,,,
200.71,2.166e-1,,,6.803e-41,,,3.913e-28,,5.326e-17,,,8.222e-4,4.647e-14,,,,,,1.056e-17,,1.498e-8,,2.158e-1,1.276e-6,,1.116e-10,,,,,
200.73,2.149e-1,,,4.881e-41,,,2.659e-28,,2.350e-16,,,5.682e-4,6.451e-14,,,,,,5.207e-18,,6.134e-9,,2.143e-1,1.339e-6,,2.933e-10,,,,,
200.76,2.082e-1,,,2.800e-41,,,1.399e-28,,2.047e-15,,,3.066e-4,9.937e-14,,,,,,1.694e-18,,1.509e-9,,2.079e-1,1.419e-6,,1.174e-9,,,,,
200.78,2.059e-1,,,1.866e-41,,,8.742e-29,,8.313e-15,,,1.948e-4,1.274e-13,,,,,,7.681e-19,,5.683e-10,,2.057e-1,1.450e-6,,2.838e-9,,,,,
200.81,2.165e-1,,,9.731e-42,,,4.055e-29,,6.396e-14,,,9.268e-5,1.742e-13,,,,,,2.202e-19,,1.232e-10,,2.164e-1,1.445e-6,,1.002e-8,,,,,
200.83,2.401e-1,,,6.201e-42,,,2.330e-29,,2.392e-13,,,5.415e-5,2.063e-13,,,,,,9.182e-20,,4.265e-11,,2.400e-1,1.401e-6,,2.230e-8,,,,,
200.85,2.823e-1,,,3.961e-42,,,1.294e-29,,8.653e-13,,,3.060e-5,2.369e-13,,,,,,3.702e-20,,1.427e-11,,2.823e-1,1.324e-6,,4.797e-8,,,,,
200.88,3.891e-1,,,2.130e-42,,,5.033e-30,,5.597e-12,,,1.221e-5,2.750e-13,,,,,,8.895e-21,,2.594e-12,,3.891e-1,1.160e-6,,1.423e-7,,,,,
200.9,4.918e-1,,,1.523e-42,,,2.571e-30,,1.864e-11,,,6.349e-6,2.924e-13,,,,,,3.297e-21,,7.979e-13,,4.918e-1,1.028e-6,,2.816e-7,,,,,
200.93,6.900e-1,,,1.116e-42,,,8.815e-31,,1.065e-10,,,2.270e-6,3.028e-13,,,,,,6.983e-22,,1.278e-13,,6.900e-1,8.190e-7,,7.371e-7,,,,,
200.95,8.441e-1,,,1.055e-42,,,4.140e-31,,3.267e-10,,,1.167e-6,2.985e-13,,,,,,2.379e-22,,3.613e-14,,8.441e-1,6.865e-7,,1.343e-6,,,,,
200.98,1.086e+0,,,1.181e-42,,,1.251e-31,,1.649e-9,,,7.099e-7,2.763e-13,,,,,,4.443e-23,,5.100e-15,,1.086e+0,5.156e-7,,3.103e-6,,,,,
201,1.237e+0,,,1.391e-42,,,5.405e-32,,4.656e-9,,,1.017e-6,2.530e-13,,,,,,1.392e-23,,1.326e-15,,1.237e+0,4.268e-7,,5.203e-6,,,,,
201.03,1.416e+0,,,1.878e-42,,,1.440e-32,,2.077e-8,,,2.891e-6,2.097e-13,,,,,,2.299e-24,,1.649e-16,,1.416e+0,3.352e-7,,1.062e-5,,,,,
201.05,1.488e+0,,,2.303e-42,,,5.720e-33,,5.399e-8,,,6.043e-6,1.784e-13,,,,,,6.926e-25,,3.941e-17,,1.488e+0,3.003e-7,,1.640e-5,,,,,
201.08,1.506e+0,,,3.039e-42,,,1.344e-33,,2.127e-7,,,1.740e-5,1.326e-13,,,,,,3.407e-25,,4.321e-18,,1.506e+0,2.795e-7,,2.962e-5,,,,,
201.1,1.457e+0,,,3.549e-42,,,4.907e-34,,5.093e-7,,,3.385e-5,1.049e-13,,,,,,9.172e-25,,9.490e-19,,1.456e+0,2.809e-7,,4.222e-5,,,,,
