Wavelength (nm),Sum(calc),Na I (9.9e-6),Na II (2.1e-4),Na III (7.5e-23),Mg I (3.2e-4),Mg II (2.7e-3),Mg III (1.6e-6),Al I (1.9e-4),Al II (1.3e-3),Al III (3.7e-8),Si I (8.6e-4),Si II (1.6e-3),Si III (7.6e-8),K I (3.5e-6),K II (1.1e-4),K III (3.2e-15),Ca I (1.9e-2),Ca II (4.7e-1),Ca III (6.5e-3),Mn I (2.4e-5),Mn II (1.9e-4),Fe I (6.8e-5),Fe II (3.7e-4),Fe III (5.0e-8),Cu I (4.4e-7),Cu II (1.1e-6),Zn I (1.8e-6),Zn II (2.8e-6),Mo I (0.0e+0),Pb I (0.0e+0),Pb II (0.0e+0)
199.09,1.275e-23,,,,,,,,,,,,,,,,,,,,,,,1.275e-23,,,,,,,
199.11,1.117e-16,,,,,,,,,,,,,,,,,,,,,,1.117e-16,5.821e-23,,,,,,,
199.14,1.131e-15,,,,,,,,,,,,,,,,,,,,,,1.131e-15,5.331e-22,,,,,,,
199.16,5.074e-15,,,,,,,,,,,,,,,,,,7.306e-30,,,,5.074e-15,2.237e-21,,,,,,,
199.19,4.527e-14,,,,,,,,,,,,3.012e-30,,,,,,7.389e-29,,,,4.527e-14,1.807e-20,,,,,,,
199.21,1.867e-13,,,,,,,,,,,,1.397e-29,,,,,,3.313e-28,,,,1.867e-13,6.970e-20,,,,,,,
199.23,7.445e-13,,,,,,,,,,,,6.260e-29,,,,,,1.436e-27,,,,7.445e-13,2.599e-19,,,,,,,
199.26,5.565e-12,,,,,,,,,,,,5.577e-28,,,,,,1.217e-26,,1.639e-18,,5.565e-12,1.758e-18,,,,,,,
199.28,2.039e-11,,,,,,,,,,,,2.298e-27,,,,,,4.849e-26,,7.717e-18,,2.039e-11,6.027e-18,,,,,,,
199.31,1.343e-10,,,,,,,,,,,,1.804e-26,,,,,,3.620e-25,,7.403e-17,,1.343e-10,3.592e-17,,,,,,,
199.33,4.525e-10,,,,,,,,,,,,6.832e-26,,,,,,1.326e-24,,3.205e-16,,4.525e-10,1.132e-16,,,,,,,
199.36,2.626e-9,,,,,,,,,,,,4.727e-25,,,,,,8.724e-24,,2.709e-15,,2.626e-9,5.949e-16,,,,,,,
199.38,8.130e-9,,,,,,,,,,,,1.646e-24,,,,,,2.937e-23,,1.078e-14,,8.130e-9,1.724e-15,,,,,,,
199.41,4.157e-8,,,,,,,,,,,,1.003e-23,,,,,,1.703e-22,,8.033e-14,,4.157e-8,7.988e-15,,,,,,,
199.43,1.183e-7,,,,,,,,,,,,3.210e-23,,,,,,5.269e-22,,2.938e-13,,1.183e-7,2.129e-14,,,,,,,
199.46,5.331e-7,,,,,,,,,,,,1.725e-22,,,,,,2.692e-21,,1.930e-12,,5.331e-7,8.705e-14,,,,,,,
199.48,1.394e-6,,,,,,,,,,,,5.073e-22,,,,,,7.657e-21,,6.488e-12,,1.394e-6,2.135e-13,,,,,,,
199.5,3.526e-6,,,8.665e-59,,,,,,,,,1.443e-21,,,,,,2.105e-20,,2.109e-11,,3.526e-6,5.066e-13,,,,,,,
199.53,1.331e-5,,,8.480e-58,,,,,,,,,6.493e-21,,,,,,9.013e-20,,1.161e-10,,1.331e-5,1.741e-12,,,,,,,
199.55,3.093e-5,,,3.720e-57,,,7.720e-44,,,,,,1.697e-20,,,,,,2.278e-19,,3.469e-10,,3.093e-5,3.806e-12,,,,,,,
199.58,1.029e-4,,,3.210e-56,,,7.934e-43,,,,,8.668e-20,6.733e-20,,,,,,8.593e-19,,1.682e-9,,1.029e-4,1.158e-11,,,,,,,
199.6,2.198e-4,,,1.813e-55,,,3.596e-42,,,,,3.995e-19,1.617e-19,,,,,,1.996e-18,,4.621e-9,,2.198e-4,2.334e-11,,,,,,,
199.63,6.442e-4,,,1.491e-54,,,3.259e-41,,,,,3.712e-18,5.654e-19,,,,,,6.636e-18,,1.975e-8,,6.442e-4,6.301e-11,,,,,,,
199.65,1.265e-3,,,5.869e-54,,,1.358e-40,,,,,1.573e-17,1.249e-18,,,,,,1.417e-17,,4.988e-8,,1.265e-3,1.175e-10,,,,,,,
199.68,3.267e-3,,,4.358e-53,,,1.085e-39,,,,,1.288e-16,3.847e-18,,,,,,4.151e-17,,1.879e-7,,3.267e-3,2.827e-10,,,,,,,
199.7,5.896e-3,,,1.604e-52,,,4.157e-39,,,,,5.020e-16,7.808e-18,,,,,,8.147e-17,,4.362e-7,,5.895e-3,4.890e-10,,,,,,,
199.73,1.342e-2,,,1.077e-51,,,2.928e-38,,,,,3.625e-15,2.120e-17,,,,,,2.103e-16,,1.448e-6,,1.342e-2,1.055e-9,,,,,,,
199.75,2.226e-2,,,3.709e-51,,,1.032e-37,,,,,1.299e-14,3.955e-17,,,,,,3.794e-16,,3.090e-6,,2.225e-2,1.700e-9,,,,,,,
199.77,3.569e-2,,,1.243e-50,,,3.515e-37,,,,,4.500e-14,7.134e-17,,,,,,6.619e-16,,6.375e-6,,3.569e-2,2.669e-9,,,,,,,
199.8,6.805e-2,,,7.251e-50,,,2.076e-36,,,,,2.724e-13,1.623e-16,,,,,,1.432e-15,,1.773e-5,,6.803e-2,5.005e-9,,,,,,,
199.82,1.003e-1,,,2.270e-49,,,6.502e-36,,,,,8.678e-13,2.691e-16,,,,,,2.295e-15,,3.363e-5,,1.003e-1,7.381e-9,,,,,,,
199.85,1.685e-1,,,1.193e-48,,,3.385e-35,,,,,4.632e-12,5.393e-16,,,,,,4.375e-15,,8.246e-5,,1.684e-1,1.265e-8,,,,,,,
199.87,2.283e-1,,,3.482e-48,,,9.750e-35,,,,,1.357e-11,8.219e-16,,,,,,6.450e-15,,1.438e-4,,2.282e-1,1.760e-8,,,,,,,
199.9,3.381e-1,,,1.643e-47,,,4.475e-34,,,,,6.386e-11,1.452e-15,,,,,,1.084e-14,,3.106e-4,,3.378e-1,2.774e-8,,,,,,,
199.92,4.211e-1,,,4.456e-47,,,1.185e-33,,,,,1.720e-10,2.034e-15,,,,,,1.469e-14,,4.978e-4,,4.206e-1,3.656e-8,,,,,,,
199.95,5.495e-1,,,1.880e-46,,,4.797e-33,,,,,7.136e-10,3.166e-15,,,,,,2.177e-14,,9.481e-4,,5.486e-1,5.311e-8,,,,,,,
199.97,6.292e-1,,,4.725e-46,,,1.168e-32,,,,,1.767e-9,4.076e-15,,,,,,2.715e-14,,1.397e-3,,6.278e-1,6.632e-8,,,,,,,
200,7.239e-1,,,1.776e-45,,,4.168e-32,,,,,6.465e-9,5.591e-15,,,,,,3.553e-14,,2.344e-3,,7.216e-1,8.890e-8,,,,,,,
200.02,7.622e-1,,,4.129e-45,,,9.331e-32,,,,,1.472e-8,6.618e-15,,,,,,4.080e-14,,3.174e-3,,7.590e-1,1.053e-7,,,,,,,
200.04,7.761e-1,,,9.297e-45,,,2.020e-31,,,,,3.240e-8,7.573e-15,,,,,,4.538e-14,,4.156e-3,,7.719e-1,1.223e-7,,,,,,,
200.07,7.490e-1,,,2.958e-44,,,6.043e-31,,,,,9.939e-8,8.703e-15,,,,,,5.017e-14,,5.845e-3,,7.432e-1,1.480e-7,,,,,,,
200.09,7.017e-1,,,6.147e-44,,,1.203e-30,,,,,2.012e-7,9.155e-15,,,,,,5.164e-14,,7.035e-3,,6.947e-1,1.649e-7,,,,,,,
200.12,5.981e-1,,,1.732e-43,,,3.173e-30,,,,,5.441e-7,9.271e-15,,,,,,5.113e-14,,8.720e-3,,5.893e-1,1.903e-7,,,,,,,
200.14,5.160e-1,,,3.318e-43,,,5.807e-30,,,,,1.013e-6,8.964e-15,,,,,,4.914e-14,,9.647e-3,,5.063e-1,2.080e-7,,,,,,,
200.17,3.890e-1,,,8.268e-43,,,1.350e-29,,,,,2.415e-6,8.000e-15,,,,,,4.439e-14,,1.054e-2,,3.785e-1,2.373e-7,,,,,,,
200.19,3.096e-1,,,1.458e-42,,,2.273e-29,,,,,4.132e-6,7.109e-15,,,,,,4.053e-14,,1.072e-2,,2.989e-1,2.599e-7,,,,,,,
200.22,2.072e-1,,,3.211e-42,,,4.659e-29,,,,,8.687e-6,5.591e-15,,,,,,3.450e-14,,1.032e-2,,1.969e-1,2.995e-7,,,,,,,
