Wavelength (nm),Sum(calc),Na I (5.2e-4),Na II (1.1e-2),Na III (4.0e-21),Mg I (4.2e-3),Mg II (3.4e-2),Mg III (2.1e-5),Al I (1.3e-2),Al II (8.9e-2),Al III (2.5e-6),Si I (1.5e-1),Si II (2.9e-1),Si III (1.4e-5),K I (7.7e-4),K II (2.5e-2),K III (6.9e-13),Ca I (7.8e-3),Ca II (1.9e-1),Ca III (2.7e-3),Mn I (3.2e-4),Mn II (2.6e-3),Fe I (2.1e-2),Fe II (1.1e-1),Fe III (1.5e-5),Cu I (8.5e-3),Cu II (2.1e-2),Zn I (5.7e-4),Zn II (8.9e-4),Mo I (9.1e-6),Pb I (2.5e-5),Pb II (1.5e-4)
199.09,3.917e-21,,,,,,,,,,,,,,,,,,,,,,,3.917e-21,,,,,,,
199.11,3.431e-14,,,,,,,,,,,,,,,,,,,,,,3.431e-14,1.788e-20,,,,,,,
199.14,3.474e-13,,,,,,,,,,,,,,,,,,,,,,3.474e-13,1.638e-19,,,,,,,
199.16,1.559e-12,,,,,,,,,,,,,,,,,,2.989e-30,,,,1.559e-12,6.872e-19,,,,,,,
199.19,1.391e-11,,,,,,,,,,,,5.389e-28,,,,,,3.023e-29,,,,1.391e-11,5.550e-18,,,,,,,
199.21,5.736e-11,,,,,,,,,,,,2.498e-27,,,,,,1.355e-28,,,,5.736e-11,2.141e-17,,,,,,,
199.23,2.287e-10,,,,,,,,,,,,1.120e-26,,,,,,5.875e-28,,,,2.287e-10,7.986e-17,,,,,,,
199.26,1.710e-9,,,,,,,,,,,,9.977e-26,,,,,,4.978e-27,,2.265e-17,,1.710e-9,5.400e-16,,,,,,,
199.28,6.265e-9,,,,,,,,,,,,4.111e-25,,,,,,1.984e-26,,1.066e-16,,6.265e-9,1.851e-15,,,,,,,
199.31,4.126e-8,,,,,,,,,,,,3.227e-24,,,,,,1.481e-25,,1.023e-15,,4.126e-8,1.103e-14,,,,,,,
199.33,1.390e-7,,,,,,,,,,,,1.222e-23,,,,,,5.424e-25,,4.428e-15,,1.390e-7,3.478e-14,,,,,,,
199.36,8.067e-7,,,,,,,,,,,,8.456e-23,,,,,,3.569e-24,,3.744e-14,,8.067e-7,1.827e-13,,,,,,,
199.38,2.497e-6,,,,,,,,,,,,2.944e-22,,,,,,1.201e-23,,1.490e-13,,2.497e-6,5.296e-13,,,,,,,
199.41,1.277e-5,,,,,,,,,,,,1.795e-21,,,,,,6.966e-23,,1.110e-12,,1.277e-5,2.454e-12,,,,,,,
199.43,3.634e-5,,,,,,,,,,,,5.743e-21,,,,,,2.156e-22,,4.060e-12,,3.634e-5,6.541e-12,,,,,,,
199.46,1.638e-4,,,,,,,,,,,,3.086e-20,,,,,,1.101e-21,,2.667e-11,,1.638e-4,2.674e-11,,,,,,,
199.48,4.283e-4,,,,,,,,,,,,9.075e-20,,,,,,3.132e-21,,8.966e-11,,4.283e-4,6.559e-11,,,,,,,
199.5,1.083e-3,,,4.574e-57,,,,,,,,,2.581e-19,,,,,,8.613e-21,,2.915e-10,,1.083e-3,1.556e-10,,,,,,,
199.53,4.089e-3,,,4.477e-56,,,,,,,,,1.162e-18,,,,,,3.687e-20,,1.604e-9,,4.089e-3,5.349e-10,,,,,,,
199.55,9.503e-3,,,1.964e-55,,,9.941e-43,,,,,,3.036e-18,,,,,,9.319e-20,,4.793e-9,,9.503e-3,1.169e-9,,,,,,,
199.58,3.161e-2,,,1.695e-54,,,1.022e-41,,,,,1.551e-17,1.204e-17,,,,,,3.515e-19,,2.325e-8,,3.161e-2,3.556e-9,,,,,,,
199.6,6.752e-2,,,9.570e-54,,,4.631e-41,,,,,7.147e-17,2.894e-17,,,,,,8.167e-19,,6.386e-8,,6.752e-2,7.172e-9,,,,,,,
199.63,1.979e-1,,,7.870e-53,,,4.196e-40,,,,,6.640e-16,1.012e-16,,,,,,2.715e-18,,2.729e-7,,1.979e-1,1.936e-8,,,,,,,
199.65,3.886e-1,,,3.098e-52,,,1.749e-39,,,,,2.814e-15,2.234e-16,,,,,,5.797e-18,,6.892e-7,,3.886e-1,3.610e-8,,,,,,,
199.68,1.004e+0,,,2.300e-51,,,1.397e-38,,,,,2.305e-14,6.882e-16,,,,,,1.698e-17,,2.596e-6,,1.004e+0,8.684e-8,,,,,,,
199.7,1.811e+0,,,8.466e-51,,,5.353e-38,,,,,8.980e-14,1.397e-15,,,,,,3.333e-17,,6.027e-6,,1.811e+0,1.502e-7,,,,,,,
199.73,4.121e+0,,,5.687e-50,,,3.771e-37,,,,,6.486e-13,3.792e-15,,,,,,8.604e-17,,2.001e-5,,4.121e+0,3.240e-7,,,,,,,
199.75,6.836e+0,,,1.958e-49,,,1.328e-36,,,,,2.324e-12,7.075e-15,,,,,,1.552e-16,,4.270e-5,,6.836e+0,5.224e-7,,,,,,,
199.77,1.096e+1,,,6.563e-49,,,4.526e-36,,,,,8.049e-12,1.276e-14,,,,,,2.708e-16,,8.809e-5,,1.096e+1,8.201e-7,,,,,,,
199.8,2.090e+1,,,3.828e-48,,,2.673e-35,,,,,4.874e-11,2.903e-14,,,,,,5.856e-16,,2.451e-4,,2.090e+1,1.538e-6,,,,,,,
199.82,3.080e+1,,,1.198e-47,,,8.372e-35,,,,,1.552e-10,4.813e-14,,,,,,9.390e-16,,4.648e-4,,3.080e+1,2.267e-6,,,,,,,
199.85,5.175e+1,,,6.300e-47,,,4.359e-34,,,,,8.287e-10,9.647e-14,,,,,,1.790e-15,,1.140e-3,,5.175e+1,3.885e-6,,,,,,,
199.87,7.010e+1,,,1.838e-46,,,1.255e-33,,,,,2.427e-9,1.470e-13,,,,,,2.639e-15,,1.987e-3,,7.010e+1,5.408e-6,,,,,,,
199.9,1.038e+2,,,8.675e-46,,,5.763e-33,,,,,1.142e-8,2.597e-13,,,,,,4.434e-15,,4.293e-3,,1.038e+2,8.522e-6,,,,,,,
199.92,1.292e+2,,,2.352e-45,,,1.526e-32,,,,,3.076e-8,3.638e-13,,,,,,6.009e-15,,6.879e-3,,1.292e+2,1.123e-5,,,,,,,
199.95,1.685e+2,,,9.925e-45,,,6.177e-32,,,,,1.277e-7,5.663e-13,,,,,,8.906e-15,,1.310e-2,,1.685e+2,1.632e-5,,,,,,,
199.97,1.929e+2,,,2.494e-44,,,1.504e-31,,,,,3.161e-7,7.292e-13,,,,,,1.111e-14,,1.930e-2,,1.929e+2,2.037e-5,,,,,,,
200,2.217e+2,,,9.376e-44,,,5.366e-31,,,,,1.156e-6,1.000e-12,,,,,,1.453e-14,,3.239e-2,,2.217e+2,2.731e-5,,,,,,,
200.02,2.332e+2,,,2.180e-43,,,1.202e-30,,,,,2.633e-6,1.184e-12,,,,,,1.669e-14,,4.386e-2,,2.332e+2,3.235e-5,,,,,,,
200.04,2.372e+2,,,4.908e-43,,,2.601e-30,,,,,5.797e-6,1.355e-12,,,,,,1.856e-14,,5.743e-2,,2.371e+2,3.757e-5,,,,,,,
200.07,2.284e+2,,,1.562e-42,,,7.782e-30,,,,,1.778e-5,1.557e-12,,,,,,2.052e-14,,8.077e-2,,2.283e+2,4.546e-5,,,,,,,
200.09,2.135e+2,,,3.245e-42,,,1.549e-29,,,,,3.599e-5,1.638e-12,,,,,,2.113e-14,,9.721e-2,,2.134e+2,5.067e-5,,,,,,,
200.12,1.812e+2,,,9.144e-42,,,4.085e-29,,,,,9.733e-5,1.659e-12,,,,,,2.092e-14,,1.205e-1,,1.810e+2,5.848e-5,,,,,,,
200.14,1.557e+2,,,1.751e-41,,,7.478e-29,,,,,1.812e-4,1.604e-12,,,,,,2.011e-14,,1.333e-1,,1.555e+2,6.389e-5,,,,,,,
200.17,1.164e+2,,,4.365e-41,,,1.739e-28,,,,,4.320e-4,1.431e-12,,,,,,1.816e-14,,1.456e-1,,1.163e+2,7.289e-5,,,,,,,
200.19,9.197e+1,,,7.699e-41,,,2.926e-28,,,,,7.393e-4,1.272e-12,,,,,,1.658e-14,,1.481e-1,,9.182e+1,7.984e-5,,,,,,,
200.22,6.063e+1,,,1.695e-40,,,5.999e-28,,,,,1.554e-3,1.000e-12,,,,,,1.411e-14,,1.426e-1,,6.048e+1,9.201e-5,,,,,,,
200.24,4.404e+1,,,2.752e-40,,,9.283e-28,,,,,2.445e-3,8.171e-13,,,,,,1.255e-14,,1.333e-1,,4.390e+1,1.012e-4,,,,,,,
200.27,2.561e+1,,,5.350e-40,,,1.678e-27,,,,,4.533e-3,5.663e-13,,,,,,1.043e-14,,1.131e-1,,2.549e+1,1.159e-4,,,,,,,
200.29,1.712e+1,,,7.993e-40,,,2.387e-27,,,,,6.558e-3,4.252e-13,,,,,,9.192e-15,,9.721e-2,,1.702e+1,1.255e-4,,,,,,,
200.31,1.109e+1,,,1.155e-39,,,3.285e-27,,,,,9.175e-3,3.087e-13,,,,,,8.072e-15,,8.077e-2,,1.100e+1,1.344e-4,,,,,,,
