Wavelength (nm),Sum(calc),Na I (6.5e-5),Na II (1.4e-3),Na III (4.9e-22),Mg I (3.8e-2),Mg II (3.2e-1),Mg III (1.9e-4),Al I (1.8e-2),Al II (1.2e-1),Al III (3.4e-6),Si I (4.3e-2),Si II (8.2e-2),Si III (3.8e-6),K I (1.0e-5),K II (3.2e-4),K III (9.0e-15),Ca I (1.3e-4),Ca II (3.3e-3),Ca III (4.5e-5),Mn I (1.1e-4),Mn II (8.9e-4),Fe I (1.4e-2),Fe II (7.7e-2),Fe III (1.0e-5),Cu I (0.0e+0),Cu II (0.0e+0),Zn I (0.0e+0),Zn II (0.0e+0),Mo I (0.0e+0),Pb I (8.8e-4),Pb II (5.5e-3)
199.09,5.483e-21,,,,,,,,,,,,,,,,,,,,,,,5.483e-21,,,,,,,
199.13,2.266e-13,,,,,,,,,,,,,,,,,,,,,,2.266e-13,1.036e-19,,,,,,,
199.16,2.078e-12,,,,,,,,,,,,,,,,,,1.104e-31,,,,2.078e-12,8.612e-19,,,,,,,
199.2,3.554e-11,,,,,,,,,,,,6.764e-28,,,,,,2.223e-30,,,,3.554e-11,1.293e-17,,,,,,,
199.24,5.325e-10,,,,,,,,,,,,1.274e-26,,,,,,3.922e-29,,,,5.325e-10,1.700e-16,,,,,,,
199.28,6.991e-9,,,,,,,,,,,,2.104e-25,,,,,,6.065e-28,,7.663e-17,,6.991e-9,1.959e-15,,,,,,,
199.31,4.422e-8,,,,,,,,,,,,1.581e-24,,,,,,4.338e-27,,7.003e-16,,4.422e-8,1.124e-14,,,,,,,
199.35,4.609e-7,,,,,,,,,,,,2.072e-23,,,,,,5.325e-26,,1.192e-14,,4.609e-7,1.029e-13,,,,,,,
199.39,4.209e-6,,,,,,,,,,,,2.380e-22,,,,,,5.728e-25,,1.779e-13,,4.209e-6,8.261e-13,,,,,,,
199.43,3.368e-5,,,,,,,,,,,,2.396e-21,,,,,,5.401e-24,,2.327e-12,,3.368e-5,5.818e-12,,,,,,,
199.46,1.469e-4,,,,,,,,,,,,1.242e-20,,,,,,2.665e-23,,1.468e-11,,1.469e-4,2.309e-11,,,,,,,
199.5,9.333e-4,,,1.206e-57,,,,,,,,,9.922e-20,,,,,,1.994e-22,,1.524e-10,,9.333e-4,1.295e-10,,,,,,,
199.54,5.195e-3,,,2.327e-56,,,9.239e-42,,,,,,6.949e-19,,,,,,1.308e-21,,1.387e-9,,5.195e-3,6.387e-10,,,,,,,
199.58,2.534e-2,,,5.500e-55,,,1.963e-40,,,,,9.125e-18,4.265e-18,,,,,,7.516e-21,,1.107e-8,,2.534e-2,2.774e-9,,,,,,,
199.61,7.625e-2,,,4.539e-54,,,1.783e-39,,,,,8.490e-17,1.525e-17,,,,,,2.558e-20,,4.818e-8,,7.625e-2,7.690e-9,,,,,,,
199.65,2.951e-1,,,6.891e-53,,,3.010e-38,,,,,1.481e-15,7.429e-17,,,,,,1.167e-19,,3.051e-7,,2.951e-1,2.691e-8,,,,,,,
199.69,1.001e+0,,,9.409e-52,,,4.456e-37,,,,,2.265e-14,3.172e-16,,,,,,4.666e-19,,1.694e-6,,1.001e+0,8.364e-8,,,,,,,
199.73,2.976e+0,,,1.157e-50,,,5.784e-36,,,,,3.038e-13,1.187e-15,,,,,,1.635e-18,,8.242e-6,,2.976e+0,2.321e-7,,,,,,,
199.76,6.178e+0,,,7.087e-50,,,3.628e-35,,,,,1.953e-12,2.928e-15,,,,,,3.840e-18,,2.476e-5,,6.178e+0,4.650e-7,,,,,,,
199.8,1.457e+1,,,7.236e-49,,,3.742e-34,,,,,2.081e-11,8.698e-15,,,,,,1.068e-17,,9.566e-5,,1.457e+1,1.075e-6,,,,,,,
199.84,3.013e+1,,,6.622e-48,,,3.383e-33,,,,,1.944e-10,2.264e-14,,,,,,2.604e-17,,3.239e-4,,3.013e+1,2.258e-6,,,,,,,
