 samples,Si_at%,Al_at%,Fe_at%,Ca_at%,K_at%,Na_at%,Mg_at%,Cr_at%,Cu_at%,Mn_at%,Zn_at%,Ti_at%,Ni_at%,Mo_at%,C_at%,Li_at%,Pb_at%,
GBW03116,60.961919,20.201434,0.13168,0.749008,11.267515,6.581364,0.073911,0,0,0,0,0.033169,0,0,0,0,0,100
GBW03124,55.093319,21.46813,1.148571,0.505339,5.864155,15.799952,0,0,0,0.038431,0,0.082103,0,0,0,0,0,100
GBW03130,55.978924,0.087029,0.196128,0.366662,0.009706,0.03774,42.903954,0,0,0.001084,0,0.003416,0,0,0.415356,0,0,99.584643
GBW03134,59.776424,20.339201,0.065322,0.452289,0.109505,19.202031,0.019554,0,0,0,0,0.035674,0,0,0,0,0,100
GBW070036,5.068683,85.37462,4.75975,0.19934,0.940217,0.062161,0.185672,0,0,0.024527,0,3.101811,0,0,0.28322,0,0,99.716781
GBW070099,39.012632,14.457943,8.96396,1.476113,3.087334,0.126528,1.737302,0,0,31.138187,0,0,0,0,0,0,0,99.999999
GBW070101,27.410601,15.493601,11.39766,1.392057,2.618859,0.164077,2.259981,0,0,39.263164,,0,0,0,0,0,0,100
GBW070134,0.856013,18.569641,23.731064,0.061442,0.019351,0,15.824445,40.072453,0,0.185042,0.070759,0.507692,0.102099,0,0,0,0,59.75469
GBW070159,3.261095,0.444072,0.281221,48.8054,0.051106,0.03159,47.092474,0,0,0.019789,0,0.013253,0,0,0,0,0,100
GBW070171,6.277813,69.365988,18.810791,0.119581,0.039577,0.057124,0.066786,0.09214,0,0.029528,0.002164,3.832083,0,0,1.306425,0,0,98.599271
GBW07103,68.994892,14.961015,1.524778,1.572192,6.054828,5.748939,0.592482,0.000398,0.000285,0.045195,0.002448,0.204514,0.000228,0,0.189544,0.107408,0.000854,99.698835
GBW07104,56.858585,17.87496,3.458401,5.22536,2.260139,7.018244,2.404526,0.003494,0.004903,0.061542,0.006143,0.363784,0.001634,0,4.443407,0.014596,0.000282,95.525541
GBW07105,43.009331,15.703316,9.715441,9.094383,2.85028,6.312877,11.159077,0.014936,0.004458,0.138071,0.013257,1.717405,0.013836,0,0.245807,0.007526,0,99.700181
GBW07106,91.450003,4.196492,2.452256,0.32473,0.838338,0.119007,0.122595,0.002311,0.001824,0.017149,0.001885,0.200736,0.001642,0,0.262277,0.008757,0,99.721306
GBW07107,60.772468,22.757355,5.867524,0.658366,5.444787,0.694554,3.074264,0.011714,0.004069,0.01942,0.005179,0.50874,0.003884,0,0.13859,0.039086,0,99.797478
GBW07108,13.555426,5.150969,1.647341,33.210221,0.863977,0.133972,6.721508,0.003237,0.00188,0.041246,0.004177,0.213801,0.001619,0,38.43512,0.015037,0.00047,61.538461
GBW07110,60.480471,18.199217,3.407451,2.537896,6.324715,5.690169,1.199765,0.000749,0.000807,0.071344,0.144532,0.576687,0.001153,0,1.348216,0.014119,0.002709,98.487715
GBW07111,56.190019,18.375333,4.295228,4.761218,4.203354,7.392133,3.943006,0.004017,0.000735,0.074167,0.007354,0.544852,0.002319,0,0.19263,0.013068,0.000566,99.77931
GBW07114,0.477199,0.090941,0.119601,24.826001,0.037378,0.044798,25.08315,0,0.00218,0.006493,0.000788,0.008626,0.018967,0,49.282439,0.001345,0.000093,50.694187
