wavelength,intensity
198.79,2.865e-20
198.84,3.046e-13
198.89,5.742e-12
198.94,9.551e-11
198.99,1.402e-9
199.03,1.099e-8
199.08,1.289e-7
199.13,1.333e-6
199.18,1.217e-5
199.23,9.810e-5
199.28,6.977e-4
199.33,4.379e-3
199.38,2.426e-2
199.43,1.186e-1
199.47,3.857e-1
199.52,1.506e+0
199.57,5.188e+0
199.62,1.577e+1
199.67,4.233e+1
199.72,1.003e+2
199.77,2.095e+2
199.82,3.865e+2
199.86,5.766e+2
199.91,8.493e+2
199.96,1.104e+3
200.01,1.267e+3
200.06,1.283e+3
200.11,1.146e+3
200.16,9.042e+2
200.21,6.296e+2
200.25,4.312e+2
200.3,2.415e+2
200.35,1.232e+2
200.4,6.395e+1
200.45,4.545e+1
200.5,5.223e+1
200.55,7.312e+1
200.6,9.973e+1
200.65,1.261e+2
200.69,1.461e+2
200.74,1.751e+2
200.79,2.220e+2
200.84,3.040e+2
200.89,4.297e+2
200.94,5.865e+2
200.99,7.377e+2
201.04,8.352e+2
201.08,8.494e+2
201.13,7.812e+2
201.18,6.432e+2
201.23,4.858e+2
201.28,3.598e+2
201.33,2.976e+2
201.38,3.043e+2
201.43,3.610e+2
201.47,4.214e+2
201.52,4.900e+2
201.57,5.363e+2
201.62,5.662e+2
201.67,6.030e+2
201.72,6.701e+2
201.77,7.721e+2
201.82,8.885e+2
201.87,9.846e+2
201.91,1.026e+3
201.96,1.021e+3
202.01,9.560e+2
202.06,8.429e+2
202.11,6.981e+2
202.16,5.388e+2
202.21,3.835e+2
202.26,2.490e+2
202.3,1.640e+2
202.35,8.848e+1
202.4,4.275e+1
202.45,1.845e+1
202.5,7.107e+0
202.55,2.450e+0
202.6,7.840e-1
202.65,3.506e-1
202.7,6.137e-1
202.74,1.554e+0
202.79,4.861e+0
202.84,1.359e+1
202.89,3.369e+1
202.94,7.400e+1
202.99,1.440e+2
203.04,2.483e+2
203.09,3.795e+2
203.13,4.885e+2
203.18,6.015e+2
203.23,6.587e+2
203.28,6.454e+2
203.33,5.743e+2
203.38,4.802e+2
203.43,4.022e+2
203.48,3.644e+2
203.52,3.634e+2
203.57,3.825e+2
203.62,4.000e+2
203.67,3.999e+2
203.72,3.874e+2
203.77,3.896e+2
203.82,4.422e+2
203.87,5.690e+2
203.92,7.636e+2
203.96,9.393e+2
204.01,1.127e+3
204.06,1.216e+3
204.11,1.170e+3
204.16,9.996e+2
204.21,7.582e+2
204.26,5.101e+2
204.31,3.044e+2
204.35,1.847e+2
204.4,8.880e+1
204.45,3.789e+1
204.5,1.446e+1
204.55,5.368e+0
204.6,3.400e+0
204.65,6.472e+0
204.7,1.683e+1
204.74,3.450e+1
204.79,7.645e+1
204.84,1.505e+2
204.89,2.632e+2
204.94,4.086e+2
204.99,5.634e+2
205.04,6.904e+2
205.09,7.527e+2
205.14,7.328e+2
205.18,6.652e+2
205.23,5.465e+2
205.28,4.323e+2
205.33,3.579e+2
205.38,3.350e+2
205.43,3.503e+2
205.48,3.752e+2
205.53,3.816e+2
205.57,3.625e+2
205.62,3.086e+2
205.67,2.345e+2
205.72,1.585e+2
205.77,9.534e+1
205.82,5.122e+1
205.87,2.534e+1
205.92,1.386e+1
205.97,1.378e+1
206.01,2.194e+1
206.06,4.519e+1
206.11,8.764e+1
206.16,1.527e+2
206.21,2.379e+2
206.26,3.317e+2
206.31,4.163e+2
206.36,4.740e+2
206.4,4.950e+2
206.45,4.934e+2
206.5,4.752e+2
206.55,4.579e+2
206.6,4.532e+2
206.65,4.615e+2
206.7,4.731e+2
206.75,4.739e+2
206.79,4.591e+2
206.84,4.185e+2
206.89,3.585e+2
206.94,2.901e+2
206.99,2.243e+2
207.04,1.679e+2
207.09,1.232e+2
207.14,8.967e+1
207.19,6.628e+1
207.23,5.411e+1
207.28,4.556e+1
207.33,4.183e+1
207.38,3.967e+1
207.43,3.652e+1
207.48,3.140e+1
207.53,2.520e+1
207.58,2.019e+1
207.62,1.917e+1
207.67,2.483e+1
207.72,4.214e+1
207.77,7.482e+1
207.82,1.239e+2
207.87,1.849e+2
207.92,2.466e+2
207.97,2.931e+2
208.02,3.105e+2
208.06,2.992e+2
208.11,2.575e+2
208.16,1.976e+2
208.21,1.356e+2
208.26,8.463e+1
208.31,5.194e+1
208.36,4.059e+1
208.41,5.297e+1
208.45,8.254e+1
208.5,1.477e+2
208.55,2.445e+2
208.6,3.638e+2
208.65,4.836e+2
208.7,5.737e+2
208.75,6.071e+2
208.8,5.730e+2
208.84,5.039e+2
208.89,3.876e+2
208.94,2.671e+2
208.99,1.669e+2
209.04,9.899e+1
209.09,6.349e+1
209.14,5.414e+1
209.19,6.259e+1
209.24,8.056e+1
209.28,9.656e+1
209.33,1.128e+2
209.38,1.199e+2
209.43,1.157e+2
209.48,1.013e+2
209.53,8.063e+1
209.58,5.835e+1
209.63,3.848e+1
209.67,2.588e+1
209.72,1.472e+1
209.77,8.121e+0
209.82,4.999e+0
209.87,4.243e+0
209.92,4.961e+0
209.97,6.484e+0
210.02,8.290e+0
210.06,9.659e+0
210.11,1.103e+1
210.16,1.188e+1
210.21,1.228e+1
210.26,1.245e+1
210.31,1.288e+1
210.36,1.444e+1
210.41,1.860e+1
210.46,2.756e+1
210.5,4.001e+1
210.55,6.431e+1
210.6,9.955e+1
210.65,1.450e+2
210.7,1.974e+2
210.75,2.522e+2
210.8,3.046e+2
210.85,3.505e+2
210.89,3.799e+2
210.94,4.039e+2
210.99,4.090e+2
211.04,3.910e+2
211.09,3.494e+2
211.14,2.888e+2
211.19,2.195e+2
211.24,1.541e+2
211.29,1.048e+2
211.33,8.492e+1
211.38,9.679e+1
211.43,1.719e+2
211.48,3.483e+2
211.53,6.763e+2
211.58,1.200e+3
211.63,1.925e+3
211.68,2.783e+3
211.72,3.462e+3
211.77,4.133e+3
211.82,4.438e+3
211.87,4.302e+3
211.92,3.816e+3
211.97,3.216e+3
212.02,2.811e+3
212.07,2.874e+3
212.11,3.364e+3
212.16,4.497e+3
212.21,5.977e+3
212.26,7.398e+3
212.31,8.306e+3
212.36,8.385e+3
212.41,7.593e+3
212.46,6.171e+3
212.51,4.529e+3
212.55,3.334e+3
212.6,2.239e+3
212.65,1.730e+3
212.7,1.843e+3
212.75,2.524e+3
212.8,3.630e+3
212.85,4.920e+3
212.9,6.078e+3
212.94,6.701e+3
212.99,6.941e+3
213.04,6.606e+3
213.09,5.947e+3
213.14,5.375e+3
213.19,5.314e+3
213.24,6.047e+3
213.29,7.594e+3
213.34,9.648e+3
213.38,1.128e+4
213.43,1.273e+4
213.48,1.306e+4
213.53,1.208e+4
213.58,1.005e+4
213.63,7.517e+3
213.68,5.054e+3
213.73,3.056e+3
213.77,1.896e+3
213.82,9.512e+2
213.87,4.320e+2
213.92,1.792e+2
213.97,7.164e+1
214.02,3.927e+1
214.07,5.693e+1
214.12,1.384e+2
214.16,2.834e+2
214.21,6.385e+2
214.26,1.293e+3
214.31,2.351e+3
214.36,3.835e+3
214.41,5.614e+3
214.46,7.377e+3
214.51,8.711e+3
214.56,9.266e+3
214.6,9.070e+3
214.65,8.196e+3
214.7,7.084e+3
214.75,6.368e+3
214.8,6.617e+3
214.85,8.129e+3
214.9,1.078e+4
214.95,1.398e+4
214.99,1.634e+4
215.04,1.824e+4
215.09,1.837e+4
215.14,1.664e+4
215.19,1.354e+4
215.24,9.889e+3
215.29,6.484e+3
215.34,3.816e+3
215.38,2.310e+3
215.43,1.119e+3
215.48,4.868e+2
215.53,1.901e+2
215.58,6.712e+1
215.63,2.275e+1
215.68,1.124e+1
215.73,1.569e+1
215.78,3.451e+1
215.82,6.429e+1
215.87,1.291e+2
215.92,2.347e+2
215.97,3.861e+2
216.02,5.748e+2
216.07,7.764e+2
216.12,9.584e+2
216.17,1.103e+3
216.21,1.211e+3
216.26,1.428e+3
216.31,1.933e+3
216.36,3.029e+3
216.41,5.047e+3
216.46,8.216e+3
216.51,1.249e+4
216.56,1.746e+4
216.61,2.235e+4
216.65,2.563e+4
216.7,2.832e+4
216.75,2.909e+4
216.8,2.798e+4
216.85,2.529e+4
216.9,2.155e+4
216.95,1.737e+4
217,1.343e+4
217.04,1.092e+4
217.09,9.177e+3
217.14,9.415e+3
217.19,1.178e+4
217.24,1.588e+4
217.29,2.078e+4
217.34,2.515e+4
217.39,2.765e+4
217.43,2.773e+4
217.48,2.535e+4
217.53,2.091e+4
217.58,1.557e+4
217.63,1.047e+4
217.68,6.370e+3
217.73,3.516e+3
217.78,1.765e+3
217.83,8.095e+2
217.87,4.081e+2
217.92,1.620e+2
217.97,6.137e+1
218.02,2.534e+1
218.07,1.673e+1
218.12,2.048e+1
218.17,3.081e+1
218.22,4.471e+1
218.26,5.644e+1
218.31,6.905e+1
218.36,7.647e+1
218.41,7.704e+1
218.46,7.136e+1
218.51,6.213e+1
218.56,5.337e+1
218.61,5.003e+1
218.65,5.622e+1
218.7,8.695e+1
218.75,1.694e+2
218.8,3.527e+2
218.85,7.086e+2
218.9,1.317e+3
218.95,2.228e+3
219,3.411e+3
219.05,4.715e+3
219.09,5.676e+3
219.14,6.536e+3
219.19,6.825e+3
219.24,6.514e+3
219.29,5.783e+3
219.34,4.941e+3
219.39,4.287e+3
219.44,3.979e+3
219.48,3.965e+3
219.53,4.095e+3
219.58,4.185e+3
219.63,4.082e+3
219.68,3.771e+3
219.73,3.376e+3
219.78,3.091e+3
219.83,3.079e+3
219.88,3.389e+3
219.92,3.818e+3
219.97,4.442e+3
220.02,5.018e+3
220.07,5.514e+3
220.12,6.100e+3
220.17,7.133e+3
220.22,9.007e+3
220.27,1.191e+4
220.31,1.484e+4
220.36,1.869e+4
220.41,2.185e+4
220.46,2.338e+4
220.51,2.285e+4
220.56,2.055e+4
220.61,1.749e+4
220.66,1.507e+4
220.7,1.448e+4
220.75,1.620e+4
220.8,2.083e+4
220.85,2.768e+4
220.9,3.516e+4
220.95,4.123e+4
221,4.402e+4
221.05,4.261e+4
221.1,3.736e+4
221.14,3.134e+4
221.19,2.313e+4
221.24,1.566e+4
221.29,9.899e+3
221.34,6.024e+3
221.39,3.699e+3
221.44,2.403e+3
221.49,1.687e+3
221.53,1.333e+3
221.58,1.044e+3
221.63,8.765e+2
221.68,8.253e+2
221.73,8.959e+2
221.78,1.085e+3
221.83,1.373e+3
221.88,1.716e+3
221.93,2.051e+3
221.97,2.265e+3
222.02,2.412e+3
222.07,2.397e+3
222.12,2.229e+3
222.17,1.957e+3
222.22,1.644e+3
222.27,1.343e+3
222.32,1.081e+3
222.36,9.032e+2
222.41,7.179e+2
222.46,5.696e+2
222.51,4.603e+2
222.56,3.947e+2
222.61,3.737e+2
222.66,3.897e+2
