Wavelength (nm),Sum(calc),Al I (1.2e-1),Al II (2.2e-1),Al III (1.7e-5),Ti I (5.1e-2),Ti II (2.8e-1),Ti III (6.0e-4),Fe I (1.0e-1),Fe II (2.3e-1),Fe III (5.1e-5)
198.79,2.865e-20,,,,,,,,,2.865e-20
198.84,3.046e-13,,,,,,,,3.046e-13,5.542e-19
198.89,5.742e-12,,,,,,,,5.742e-12,9.461e-18
198.94,9.551e-11,,,,,,,,9.551e-11,1.432e-16
198.99,1.402e-9,,,,,,,,1.402e-9,1.906e-15
199.03,1.099e-8,,,,,,,,1.099e-8,1.383e-14
199.08,1.289e-7,,,,,,,,1.289e-7,1.472e-13
199.13,1.333e-6,,,,,,,,1.333e-6,1.384e-12
199.18,1.217e-5,,,,,,,,1.217e-5,1.150e-11
199.23,9.810e-5,,,,,,,,9.810e-5,8.448e-11
199.28,6.977e-4,,,,,,,,6.977e-4,5.489e-10
199.33,4.379e-3,,,,,,,,4.379e-3,3.157e-9
199.38,2.426e-2,,,,,,,,2.426e-2,1.609e-8
199.43,1.186e-1,,,,,,,,1.186e-1,7.280e-8
199.47,3.857e-1,,,,,,,,3.857e-1,2.237e-7
199.52,1.506e+0,,,,,,5.459e-19,,1.506e+0,8.200e-7
199.57,5.188e+0,,,,,,1.176e-17,,5.188e+0,2.683e-6
199.62,1.577e+1,,,,,,2.027e-16,,1.577e+1,7.864e-6
199.67,4.233e+1,,,,,,3.085e-15,,4.233e+1,2.071e-5
199.72,1.003e+2,,,,,,4.148e-14,,1.003e+2,4.919e-5
199.77,2.095e+2,,,,,,4.929e-13,,2.095e+2,1.058e-4
199.82,3.865e+2,,,,,,5.174e-12,,3.865e+2,2.069e-4
199.86,5.766e+2,,,,,,3.104e-11,,5.766e+2,3.313e-4
199.91,8.493e+2,,,,,,2.608e-10,,8.493e+2,5.517e-4
199.96,1.104e+3,,,,,,1.936e-9,,1.104e+3,8.474e-4
200.01,1.267e+3,,,,,,1.269e-8,,1.267e+3,1.211e-3
200.06,1.283e+3,,,,,,7.355e-8,,1.283e+3,1.629e-3
200.11,1.146e+3,,,,,,3.766e-7,,1.146e+3,2.093e-3
200.16,9.042e+2,,,,,,1.704e-6,,9.041e+2,2.597e-3
200.21,6.296e+2,,,,,,6.810e-6,,6.296e+2,3.130e-3
200.25,4.312e+2,,,,,,1.887e-5,,4.312e+2,3.554e-3
200.30,2.415e+2,,,,,,6.038e-5,,2.415e+2,4.027e-3
200.35,1.232e+2,,,,,,1.707e-4,,1.232e+2,4.367e-3
200.40,6.395e+1,,2.589e-15,,,,4.265e-4,,6.394e+1,4.526e-3
200.45,4.545e+1,,5.091e-14,,,,9.417e-4,,4.545e+1,4.505e-3
200.50,5.223e+1,,8.407e-13,,,,1.838e-3,,5.223e+1,4.363e-3
200.55,7.312e+1,,1.228e-11,,,,3.174e-3,,7.312e+1,4.192e-3
200.60,9.973e+1,,1.587e-10,,,,4.852e-3,,9.972e+1,4.079e-3
200.65,1.261e+2,,1.815e-9,,,,6.587e-3,,1.261e+2,4.070e-3
200.69,1.461e+2,,1.167e-8,,,,7.750e-3,,1.461e+2,4.119e-3
200.74,1.751e+2,,1.070e-7,,,,8.659e-3,,1.750e+2,4.171e-3
200.79,2.220e+2,,8.677e-7,,,,8.916e-3,,2.219e+2,4.093e-3
200.84,3.040e+2,,6.226e-6,,,,8.794e-3,,3.040e+2,3.793e-3
200.89,4.297e+2,,3.952e-5,,,,8.738e-3,,4.297e+2,3.277e-3
200.94,5.865e+2,,2.219e-4,,,,9.048e-3,,5.864e+2,2.656e-3
200.99,7.377e+2,,1.103e-3,,,,9.647e-3,,7.377e+2,2.080e-3
201.04,8.352e+2,,4.847e-3,,,,1.011e-2,,8.352e+2,1.665e-3
201.08,8.494e+2,,1.451e-2,,,,1.004e-2,,8.494e+2,1.470e-3
201.13,7.812e+2,,5.116e-2,,,,9.169e-3,,7.811e+2,1.359e-3
201.18,6.432e+2,,1.596e-1,,,,7.519e-3,,6.431e+2,1.318e-3
201.23,4.858e+2,,4.406e-1,,,,5.488e-3,,4.853e+2,1.272e-3
201.28,3.598e+2,,1.076e+0,,,,3.551e-3,,3.587e+2,1.185e-3
201.33,2.976e+2,,2.326e+0,,,,2.033e-3,,2.953e+2,1.063e-3
201.38,3.043e+2,,4.447e+0,,,,1.030e-3,,2.998e+2,9.349e-4
201.43,3.610e+2,,7.525e+0,,,,4.608e-4,,3.535e+2,8.267e-4
201.47,4.214e+2,,1.050e+1,,,,2.216e-4,,4.109e+2,7.623e-4
201.52,4.900e+2,,1.425e+1,,,,7.938e-5,,4.757e+2,7.066e-4
201.57,5.363e+2,,1.712e+1,,,,2.513e-5,,5.191e+2,6.695e-4
201.62,5.662e+2,,1.820e+1,,,,7.032e-6,,5.480e+2,6.410e-4
201.67,6.030e+2,,1.713e+1,,,,1.739e-6,,5.859e+2,6.130e-4
201.72,6.701e+2,,1.427e+1,,,,3.799e-7,,6.559e+2,5.788e-4
201.77,7.721e+2,,1.054e+1,,,,7.334e-8,,7.616e+2,5.324e-4
201.82,8.885e+2,,6.943e+0,,,,1.251e-8,,8.816e+2,4.705e-4
201.87,9.846e+2,,4.179e+0,,,,1.887e-9,,9.804e+2,3.951e-4
201.91,1.026e+3,,2.754e+0,,,,3.799e-10,,1.023e+3,3.305e-4
201.96,1.021e+3,,1.906e+0,,,,4.585e-11,,1.019e+3,2.549e-4
202.01,9.560e+2,,1.874e+0,,,,4.889e-12,,9.541e+2,1.978e-4
202.06,8.429e+2,,2.357e+0,,,,4.608e-13,,8.406e+2,1.704e-4
202.11,6.981e+2,,3.033e+0,,,,3.837e-14,,6.950e+2,1.783e-4
202.16,5.388e+2,,3.597e+0,,,,2.824e-15,,5.352e+2,2.202e-4
202.21,3.835e+2,,3.811e+0,,,,1.836e-16,,3.797e+2,2.908e-4
202.26,2.490e+2,,3.583e+0,,,,1.055e-17,,2.454e+2,3.846e-4
202.30,1.640e+2,,3.124e+0,,,,1.049e-17,,1.609e+2,4.756e-4
202.35,8.848e+1,,2.358e+0,,,,1.042e-17,,8.613e+1,6.114e-4
202.40,4.275e+1,,1.575e+0,,,,1.034e-17,,4.117e+1,7.720e-4
202.45,1.845e+1,,9.308e-1,,,,1.026e-17,,1.752e+1,9.441e-4
202.50,7.107e+0,,4.868e-1,,,,1.019e-17,,6.619e+0,1.094e-3
202.55,2.450e+0,,2.253e-1,,,,1.011e-17,,2.224e+0,1.177e-3
202.60,7.840e-1,,9.228e-2,,,,1.003e-17,,6.906e-1,1.157e-3
202.65,3.506e-1,,3.345e-2,,,,9.958e-18,,3.161e-1,1.032e-3
202.70,6.137e-1,,1.073e-2,,,,9.882e-18,,6.021e-1,8.370e-4
202.74,1.554e+0,,3.954e-3,,,,9.821e-18,,1.550e+0,6.675e-4
202.79,4.861e+0,,1.018e-3,,,,9.745e-18,,4.859e+0,4.814e-4
202.84,1.359e+1,,2.317e-4,,,,9.669e-18,,1.359e+1,3.495e-4
202.89,3.369e+1,,4.670e-5,,,,9.593e-18,,3.369e+1,2.718e-4
202.94,7.400e+1,,8.326e-6,,,,9.516e-18,,7.400e+1,2.303e-4
