Wavelength (nm),Sum(calc),C I (3.5e-3),C II (4.7e-4),C III (1.1e-11),Na I (1.3e-5),Na II (3.5e-4),Na III (3.5e-21),Mg I (2.8e-2),Mg II (3.8e-1),Mg III (7.0e-4),Al I (7.1e-5),Al II (7.6e-4),Al III (8.6e-8),Si I (1.2e-1),Si II (4.1e-1),Si III (6.4e-5),K I (2.4e-6),K II (9.0e-5),K III (2.5e-14),Ca I (9.6e-5),Ca II (3.3e-3),Ca III (1.1e-4),Ti I (1.1e-6),Ti II (3.1e-5),Ti III (1.7e-7),Mn I (6.9e-7),Mn II (9.6e-6),Fe I (1.7e-4),Fe II (1.7e-3),Fe III (7.5e-7),Y I (5.6e-4),Y II (2.4e-2),Sm I (2.9e-5),Sm II (3.2e-3),Eu I (2.3e-4),Eu II (1.4e-2),Tb II (4.8e-3)
199.35,1.069e-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.069e-47,,,,,,,
199.36,1.948e-46,,4.201e-52,,,,,,,,,,,,,,,,,,,,,,,,,,,1.948e-46,,,,,,,
199.38,3.987e-42,,1.457e-49,,,,,,,,,,,,,,,,,,,,,,,,,,3.930e-42,5.647e-44,,,,,,,
199.40,1.375e-39,,4.221e-47,,,,,,,,,,,,,,,,,,,,,,,,,,1.362e-39,1.368e-41,,,,,,,
199.41,2.389e-38,,6.715e-46,,,,,,,,,,,,,,,,,,,,,,,,,,2.369e-38,1.990e-40,,,,,,,
199.43,6.304e-36,,1.485e-43,,,,,,,,,,,,,,,,,,,9.068e-57,,,,,,,6.267e-36,3.679e-38,,,,,,,
199.45,1.390e-33,,2.744e-41,,,,,,,,,,,,,4.593e-53,,,,,,3.132e-54,,,,,,,1.385e-33,5.681e-36,,,,,,,
199.46,1.931e-32,,3.486e-40,,,,,,,,,,,,,8.725e-52,,,,,,5.442e-53,,,,,,,1.924e-32,6.599e-35,,,,,,,
199.48,3.254e-30,,4.916e-38,,,,,,,,,,,,,2.752e-49,,,,,,1.435e-50,,,,,,,3.246e-30,7.780e-33,,,,,,,
199.50,4.581e-28,,5.792e-36,,,,,,,,,,,,,7.251e-47,,,,,,3.163e-48,,,,,,,4.574e-28,7.661e-31,,,,,,,
199.51,5.082e-27,,5.876e-35,,,,,,,,,,,,,1.100e-45,,,,,,4.389e-47,,,,,,,5.075e-27,7.106e-30,,,,,,,
199.53,5.465e-25,,5.285e-33,,,,,,,,,,,,,2.214e-43,,,,,,7.384e-45,,,,,9.518e-46,,5.460e-25,5.342e-28,,,,,,,
199.55,4.910e-23,,3.970e-31,,,,,,,,,,,,,3.721e-41,,,,,,1.038e-42,,,,,3.268e-43,,4.906e-23,3.354e-26,,,,,,,
199.56,4.350e-22,,3.216e-30,,,,,,,,,,,,,4.510e-40,,,,,,1.150e-41,,,,,5.662e-42,,4.348e-22,2.484e-25,,,,,,,
199.58,2.984e-20,,1.845e-28,,,,,,,,,,,,,5.789e-38,,,,,,1.234e-39,,,,,1.485e-39,,2.983e-20,1.191e-23,,,,,,,
199.59,2.310e-19,,1.306e-27,,,,,,,,,,,,,6.131e-37,,,,,,1.195e-38,,,,,2.248e-38,,2.309e-19,7.707e-23,,,,,,,
199.61,1.210e-17,,5.717e-26,,,,,,,,,,,,,6.009e-35,,,,,,9.798e-37,,,,,4.504e-36,,1.210e-17,2.820e-21,,,,,,,
199.63,5.294e-16,,2.091e-24,,,,,,,,,,,,,4.920e-33,,,,,,6.709e-35,,,,,7.539e-34,,5.293e-16,8.619e-20,,,,,,,
199.64,3.273e-15,,1.182e-23,,,,,,,,,,,,,4.162e-32,,,,,,5.190e-34,,,,,9.119e-33,,3.272e-15,4.454e-19,,,,,,,
199.66,1.093e-13,,3.300e-22,,,,,,,,,,,,,2.602e-30,,,,,,2.714e-32,,,,,1.166e-30,,1.093e-13,1.039e-17,,,,,,,
199.68,3.050e-12,,7.696e-21,,,,,,,,,,,,,1.359e-28,,,,,,1.186e-30,,,,,1.245e-28,,3.050e-12,2.025e-16,,,,,,,
199.69,1.506e-11,,3.474e-20,,,,,,,,,,,,,9.183e-28,,,,,,7.329e-30,,,,,1.203e-27,,1.506e-11,8.358e-16,,,,,,,
199.71,3.209e-10,,6.185e-19,,,,,,,,,,,,,3.663e-26,,,,,,2.447e-28,,,,,9.816e-26,,3.208e-10,1.244e-14,,,,,,,
199.73,5.710e-9,,9.198e-18,,,,,,,,,,,,,1.221e-24,,,,,,6.830e-27,,,,,6.692e-24,,5.709e-9,1.545e-13,,,,,,,
199.74,2.251e-8,,3.316e-17,,,,,,,,,,,,,6.586e-24,,,,,,3.375e-26,,,,,5.165e-23,,2.251e-8,5.092e-13,,,,,,,
199.76,3.059e-7,,3.764e-16,,,,5.666e-82,,,,,,,,8.122e-44,1.676e-22,,,,,,7.207e-25,,,,,2.689e-21,,3.059e-7,4.831e-12,,,,,,,
199.78,3.471e-6,,3.570e-15,,,,1.920e-79,,,,,,,,2.753e-41,3.563e-21,,,,,,1.289e-23,,,,,1.170e-19,,3.471e-6,3.828e-11,,,,,,,
199.79,1.093e-5,,1.028e-14,,,,3.303e-78,,,,,,,,4.738e-40,1.535e-20,,,,,,5.100e-23,,,,,7.213e-19,,1.093e-5,1.007e-10,,,,,,,
