Wavelength (nm),Sum(calc),Na I (1.7e-4),Na II (1.0e-3),Na III (1.6e-28),Mg I (9.3e-3),Mg II (7.2e-3),Mg III (3.3e-8),Al I (7.4e-2),Al II (6.4e-2),Al III (4.5e-9),Si I (3.3e-1),Si II (4.0e-2),Si III (9.4e-9),K I (2.1e-3),K II (2.7e-2),K III (3.7e-17),Ca I (2.3e-3),Ca II (1.2e-2),Ca III (3.8e-6),Mn I (1.7e-1),Mn II (1.2e-1),Fe I (6.0e-2),Fe II (2.5e-2),Fe III (1.9e-8),Y I (3.2e-4),Y II (1.2e-3),La I (6.8e-5),La II (5.0e-4),Pr II (8.0e-3),Sm I (6.6e-4),Sm II (7.1e-3),Eu I (7.9e-5),Eu II (6.1e-4),Tb II (2.4e-3),Ho I (1.6e-3),Ho II (4.6e-3),Er I (1.2e-3),Er II (4.7e-3),Tm I (1.4e-3),Tm II (5.8e-3),Yb I (3.4e-4),Yb II (1.4e-3),Lu I (1.9e-3),Lu II (4.6e-3)
199.36,9.275e-51,,,,,,,,,,,,,,,,,,,,,,,9.275e-51,,,,,,,,,,,,,,,,,,,,
199.38,2.689e-48,,,,,,,,,,,,,,,,,,,,,,,2.689e-48,,,,,,,,,,,,,,,,,,,,
199.40,1.004e-39,,,,,,,,,,,,,,,,,,,,,,1.004e-39,6.513e-46,,,,,,,,,,,,,,,,,,,,
199.41,1.747e-38,,,,,,,,,,,,,,,,,,,,,,1.747e-38,9.475e-45,,,,,,,,,,,,,,,,,,,,
199.43,4.620e-36,,,,,,,,,,,,,,,,,,,,,,4.620e-36,1.752e-42,,,,,,,,,,,,,,,,,,,,
199.45,1.021e-33,,,,,,,,,,,,,,,,,,3.071e-62,,,,1.021e-33,2.705e-40,,,,,,,,,,,,,,,,,,,,
199.46,1.418e-32,,,,,,,,,,,,1.344e-60,,,,,,5.336e-61,,,,1.418e-32,3.142e-39,,,,,,,,,,,,,,,,,,,,
199.48,2.393e-30,,,,,,,,,,,,4.240e-58,,,,,,1.407e-58,,,,2.393e-30,3.705e-37,,,,,,,,,,,,,,,,,,,,
199.50,3.372e-28,,,,,,,,,,,,1.117e-55,,,,,,3.102e-56,,,,3.372e-28,3.648e-35,,,,,,,,,,,,,,,,,,,,
199.51,3.741e-27,,,,,,,,,,,,1.695e-54,,,,,,4.305e-55,,,,3.741e-27,3.384e-34,,,,,,,,,,,,,,,,,,,,
199.53,4.025e-25,,,,,,,,,,,,3.411e-52,,,,,,7.245e-53,,,,4.025e-25,2.544e-32,,,,,,,,,,,,,,,,,,,,
199.55,3.617e-23,,,,,,,,,,,,5.733e-50,,,,,,1.019e-50,,4.052e-41,,3.617e-23,1.597e-30,,,,,,,,,,,,,,,,,,,,
199.56,3.205e-22,,,,,,,,,,,,6.949e-49,,,,,,1.129e-49,,7.020e-40,,3.205e-22,1.183e-29,,,,,,,,,,,,,,,,,,,,
199.58,2.199e-20,,,,,,,,,,,,8.919e-47,,,,,,1.213e-47,,1.841e-37,,2.199e-20,5.671e-28,,,,,,,,,,,,,,,,,,,,
199.59,1.703e-19,,,,,,,,,,,,9.446e-46,,,,,,1.175e-46,,2.788e-36,,1.703e-19,3.670e-27,,,,,,,,,,,,,,,,,,,,
199.61,8.918e-18,,,,,,,,,,,,9.258e-44,,,,,,9.644e-45,,5.584e-34,,8.918e-18,1.343e-25,,,,,,,,,,,,,,,,,,,,
199.63,3.902e-16,,,,,,,,,,,,7.581e-42,,,,,,6.617e-43,,9.347e-32,,3.902e-16,4.105e-24,,,,,,,,,,,,,,,,,,,,
199.64,2.412e-15,,,,,,,,,,,,6.412e-41,,,,,,5.126e-42,,1.130e-30,,2.412e-15,2.121e-23,,,,,,,,,,,,,,,,,,,,
199.66,8.059e-14,,,,,,,,,,,,4.009e-39,,,,,,2.692e-40,,1.445e-28,,8.059e-14,4.949e-22,,,,,,,,,,,,,,,,,,,,
199.68,2.249e-12,,,,,,,,,,,,2.094e-37,,,,,,1.184e-38,,1.544e-26,,2.249e-12,9.645e-21,,,,,,,,,,,,,,,,,,,,
199.69,1.110e-11,,,,,,,,,,,,1.415e-36,,,,,,7.349e-38,,1.492e-25,,1.110e-11,3.980e-20,,,,,,,,,,,,,,,,,,,,
199.71,2.365e-10,,,,,,,,,,,,5.644e-35,,,,,,2.484e-36,,1.217e-23,,2.365e-10,5.922e-19,,,,,,,,,,,,,,,,,,,,
199.73,4.209e-9,,,,,,,,,,,,1.881e-33,,,,,,7.067e-35,,8.296e-22,,4.209e-9,7.359e-18,,,,,,,,,,,,,,,,,,,,
