Wavelength (nm),Sum(calc),C I (1.2e-2),C II (2.4e-5),C III (8.4e-17),Na I (7.0e-5),Na II (4.7e-4),Na III (2.6e-28),Mg I (3.2e-4),Mg II (3.1e-4),Mg III (2.2e-9),Al I (3.2e-1),Al II (3.4e-1),Al III (4.0e-8),Si I (5.2e-2),Si II (8.1e-3),Si III (3.0e-9),K I (2.5e-5),K II (3.5e-4),K III (1.2e-18),Ca I (1.7e-4),Ca II (9.7e-4),Ca III (4.4e-7),Ti I (1.1e-2),Ti II (2.6e-2),Ti III (9.6e-7),Cr I (3.9e-4),Cr II (4.9e-4),Mn I (1.5e-4),Mn II (1.3e-4),Fe I (1.2e-1),Fe II (6.2e-2),Fe III (7.3e-8),Zn I (1.9e-5),Zn II (1.7e-6),La I (5.7e-4),La II (4.8e-3),Pr II (6.4e-3),Sm I (9.4e-5),Sm II (1.2e-3),Eu I (8.5e-4),Eu II (7.6e-3),Tb II (1.6e-4),Ho I (1.2e-3),Ho II (4.1e-3),Er I (8.2e-4),Er II (3.8e-3),Tm I (2.9e-3),Tm II (1.5e-2)
199.33,8.204e-54,,9.860e-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.204e-54,,,,,,,,,,,,,,,,
199.35,9.808e-46,,4.480e-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.808e-46,3.116e-51,,,,,,,,,,,,,,,,
199.36,2.137e-44,,8.925e-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.137e-44,5.677e-50,,,,,,,,,,,,,,,,
199.38,8.863e-42,,3.095e-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.863e-42,1.646e-47,,,,,,,,,,,,,,,,
199.40,3.071e-39,,8.968e-53,,,,,,,,,,,,,,,,,,,3.411e-69,,,,,,,,,3.071e-39,3.987e-45,,,,,,,,,,,,,,,,
199.41,5.343e-38,,1.427e-51,,,,,,,,,,,,,,,,,,,7.420e-68,,,,,,,,,5.343e-38,5.799e-44,,,,,,,,,,,,,,,,
199.43,1.413e-35,,3.155e-49,,,,,,,,,,,,,1.246e-64,,,,,,3.068e-65,,,,,,,,,1.413e-35,1.072e-41,,,,,,,,,,,,,,,,
199.45,3.123e-33,,5.829e-47,,,,,,,,,,,,,5.145e-62,,,,,,1.060e-62,,,,,,,,,3.123e-33,1.656e-39,,,,,,,,,,,,,,,,
199.46,4.339e-32,,7.406e-46,,,,,,,,,,,,,9.775e-61,,,,,,1.841e-61,,,,,,,,,4.339e-32,1.923e-38,,,,,,,,,,,,,,,,
199.48,7.319e-30,,1.045e-43,,,,,,,,,,,,,3.083e-58,,,,,,4.857e-59,,,,,,,,,7.319e-30,2.268e-36,,,,,,,,,,,,,,,,
199.50,1.031e-27,,1.231e-41,,,,,,,,,,,,,8.124e-56,,,,,,1.070e-56,,,,,,,2.002e-50,,1.031e-27,2.233e-34,,,,,,,,,,,,,,,,
199.51,1.144e-26,,1.248e-40,,,,,,,,,,,,,1.233e-54,,,,,,1.485e-55,,,,,,,4.341e-49,,1.144e-26,2.071e-33,,,,,,,,,,,,,,,,
199.53,1.231e-24,,1.123e-38,,,,,,,,,,,,,2.480e-52,,,,,,2.499e-53,,,,,,,1.784e-46,,1.231e-24,1.557e-31,,,,,,,,,,,,,,,,
199.55,1.106e-22,,8.435e-37,,,,,,,,,,,,,4.169e-50,,,,,,3.514e-51,,,,,,,6.127e-44,,1.106e-22,9.777e-30,,,,,,,,,,,,,,,,
199.56,9.804e-22,,6.834e-36,,,,,,,,,,,,,5.053e-49,,,,,,3.895e-50,,,,,,,1.061e-42,,9.804e-22,7.241e-29,,,,,,,,,,,,,,,,
