Wavelength (nm),Sum(calc),Li I (3.1e-6),Li II (6.8e-5),Li III (1.6e-38),C I (2.2e-3),C II (1.1e-4),C III (3.2e-13),Na I (2.8e-3),Na II (5.7e-2),Na III (1.1e-20),Mg I (1.2e-2),Mg II (9.4e-2),Mg III (4.6e-5),Al I (2.1e-2),Al II (1.3e-1),Al III (2.9e-6),Si I (1.5e-1),Si II (2.6e-1),Si III (9.5e-6),K I (8.5e-4),K II (2.6e-2),K III (4.9e-13),Ca I (3.5e-3),Ca II (8.2e-2),Ca III (9.6e-4),Ti I (9.7e-4),Ti II (1.5e-2),Ti III (2.6e-5),Cr I (1.4e-5),Cr II (1.3e-4),Mn I (1.6e-4),Mn II (1.2e-3),Fe I (1.5e-2),Fe II (7.7e-2),Fe III (8.3e-6),Ni I (3.5e-5),Ni II (9.7e-5),Ni III (2.6e-9),Cu I (1.3e-5),Cu II (2.9e-5),Zn I (5.3e-5),Zn II (7.3e-5),Pr II (1.6e-2),Eu I (7.7e-4),Eu II (3.0e-2),Tm I (1.7e-5),Tm II (4.9e-4)
199.30,7.736e-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.736e-54,,,,,,,,,,,,
199.31,1.765e-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.765e-52,,,,,,,,,,,,
199.33,1.914e-47,,,,,1.005e-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906e-47,8.025e-50,,,,,,,,,,,,
199.35,1.038e-44,,,,,4.564e-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035e-44,3.048e-47,9.726e-50,,,,,,,,,,,
199.36,2.261e-43,,,,,9.093e-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.256e-43,5.553e-46,2.216e-48,,,,,,,,,,,
199.38,9.371e-41,,,,,3.154e-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.355e-41,1.610e-43,1.005e-45,,,,,,,,,,,
199.40,3.245e-38,,,,,9.137e-49,,,,,,,,,,,,,1.141e-61,,,,,,3.372e-61,,,,,,,,,3.241e-38,3.900e-41,3.806e-43,,,,,,,,,,,
199.41,5.645e-37,,,,,1.454e-47,,,,,,,,,,,,,2.713e-60,,,,,,7.335e-60,,,,,,,,,5.640e-37,5.673e-40,6.925e-42,,,,,,,,,,,
199.43,1.493e-34,,,,,3.215e-45,,,,,,,,,,,,,1.341e-57,,,,,,3.033e-57,,,,,,,,,1.492e-34,1.049e-37,2.003e-39,,,,,,,,,,,
199.45,3.298e-32,,,,,5.939e-43,,,,,,,,,,,,,5.540e-55,,,,,,1.048e-54,,,,,,,,,3.296e-32,1.620e-35,4.839e-37,,,,,,,,,,,
