Wavelength (nm),Sum(calc),Na I (2.8e-3),Na II (3.6e-2),Na III (2.3e-23),Mg I (3.3e-2),Mg II (1.0e-1),Mg III (7.4e-6),Al I (3.5e-2),Al II (9.9e-2),Al III (2.1e-7),Si I (3.2e-1),Si II (1.9e-1),Si III (8.7e-7),K I (7.8e-4),K II (1.7e-2),K III (6.6e-15),Ca I (3.3e-3),Ca II (4.3e-2),Ca III (1.2e-4),Ti I (6.3e-6),Ti II (4.3e-5),Ti III (1.3e-8),Cr I (1.8e-4),Cr II (6.7e-4),Mn I (2.6e-4),Mn II (7.2e-4),Fe I (2.1e-2),Fe II (3.9e-2),Fe III (5.5e-7),Ni I (5.4e-4),Ni II (5.1e-4),Ni III (1.5e-9),Cu I (1.7e-4),Cu II (1.3e-4),Zn I (4.8e-5),Zn II (2.0e-5),Y I (2.7e-4),Y II (3.2e-3),La I (6.4e-4),La II (1.3e-2),Sm I (1.1e-4),Sm II (3.3e-3),Eu I (9.8e-5),Eu II (2.0e-3),Tb II (1.3e-3),Ho I (6.6e-4),Ho II (5.3e-3),Er I (6.7e-5),Er II (8.1e-4),Tm I (6.8e-5),Tm II (8.9e-4),Yb I (2.1e-4),Yb II (2.7e-3),Lu I (1.7e-3),Lu II (1.3e-2),Pb I (1.7e-6),Pb II (3.9e-6)
199.31,1.588e-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588e-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.33,7.221e-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.221e-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.35,2.023e-45,,,,,,,,,,,,,,,,,,,,,,,,,,,2.022e-45,2.743e-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.36,4.409e-44,,,,,,,,,,,,,,,,,,,,,,,,,,,4.406e-44,4.996e-48,1.740e-47,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.38,1.829e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,1.828e-41,1.449e-45,7.890e-45,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.40,6.335e-39,,,,,,,,,,,,,,,,,,3.292e-64,,,,,,,,,6.332e-39,3.509e-43,2.989e-42,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.41,1.102e-37,,,,,,,,,,,,6.477e-63,,,,,,7.161e-63,,,,,,,,,1.102e-37,5.104e-42,5.438e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.43,2.916e-35,,,,,,,,,,,,3.202e-60,,,,,,2.961e-60,,,,,,,,,2.914e-35,9.437e-40,1.573e-38,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.45,6.443e-33,,,,,,,,,,,,1.323e-57,,,,,,1.023e-57,,,,,,,,,6.439e-33,1.457e-37,3.800e-36,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.46,8.953e-32,,,,,,,,,,,,2.513e-56,,,,,,1.777e-56,,,,,,,,,8.947e-32,1.693e-36,5.521e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.48,1.510e-29,,,,,,,,,,,,7.925e-54,,,,,,4.687e-54,,,,,,,,,1.509e-29,1.996e-34,1.018e-32,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.50,2.128e-27,,,,,,,,,,,,2.088e-51,,,,,,1.033e-51,,,,,,,6.969e-49,,2.127e-27,1.965e-32,1.569e-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.51,2.362e-26,,,,,,,,,,,,3.168e-50,,,,,,1.433e-50,,,,,,,1.511e-47,,2.360e-26,1.823e-31,1.821e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.53,2.541e-24,,,,,,,,,,,,6.375e-48,,,,,,2.411e-48,,,,,,,6.211e-45,,2.539e-24,1.370e-29,2.142e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.55,2.284e-22,,,,,,,,,,,,1.072e-45,,,,,,3.389e-46,,,,,,,2.133e-42,,2.281e-22,8.605e-28,2.105e-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.56,2.024e-21,,,,,,,,,,,,1.299e-44,,,,,,3.757e-45,,,,,,,3.695e-41,,2.022e-21,6.373e-27,1.950e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.58,1.388e-19,,,,,,,,,,,,1.667e-42,,,,,,4.033e-43,,,,,,,9.692e-39,,1.387e-19,3.055e-25,1.463e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.59,1.075e-18,,,,,,,,,,,,1.765e-41,,,,,,3.906e-42,,,,,,,1.467e-37,,1.074e-18,1.977e-24,1.185e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.61,5.632e-17,,,,,,,,,,,,1.730e-39,,,,,,3.202e-40,,,,,,,2.940e-35,,5.625e-17,7.234e-23,6.786e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.63,2.464e-15,,,,,,,,,,,,1.417e-37,,,,,,2.194e-38,,,,,,,4.920e-33,,2.461e-15,2.211e-21,3.247e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
