粒子种类,拟合区间(nm),未去除旁峰的区间(nm),选线数据,RMSE,强度误差,强度误差比例(%)
CeII,393.980000-394.740000,393.980000-394.740000,CeII 394.274600 nm (target); NaI 394.283000 nm; AlI 394.400600 nm,64.02724547673436,1.2966981458019594e-05,inf
CeII,428.610000-429.290000,428.610000-429.290000,CaI 428.936700 nm; CeII 428.993500 nm (target); MnI 429.006600 nm,1.3444411251345534,0.026827589783074524,inf
CeII,446.210000-447.340000,446.210000-447.340000,MnI 446.468200 nm; MnI 447.014400 nm; CeII 447.124000 nm (target),11.765084337162609,0.0,0.0
CeII,354.980000-356.090000,354.980000-356.090000,FeI 355.492419 nm; FeI 355.851482 nm; CeII 356.080000 nm (target),62.9051296881792,1.2639999999999956,inf
DyII,396.510000-397.260000,396.510000-397.260000,DyII 396.838400 nm (target); CaII 396.846900 nm; FeI 396.925691 nm,192.09952352948784,47629.8338449344,inf
DyII,364.530000-365.150000,364.120000-365.150000,DyII 364.539600 nm (target); FeI 364.784225 nm; FeI 365.146668 nm,44.71927679820403,9.347226964190414,inf
DyII,393.980000-394.740000,393.980000-394.740000,NaI 394.283000 nm; AlI 394.400600 nm; DyII 394.467900 nm (target),27.978872490324505,191.94688494700875,inf
DyII,407.510000-408.220000,406.880000-408.220000,FeI 407.662889 nm; DyII 407.796500 nm (target); MnI 407.941200 nm,1.1220239070631175,12.654498513260117,inf
ErII,390.170000-391.000000,390.170000-391.000000,FeI 390.294512 nm; SiI 390.552310 nm; ErII 390.631100 nm (target),61.07350827234047,0.0,0.0
ErII,336.780000-337.590000,336.780000-337.590000,FeI 336.954710 nm; FeI 337.078304 nm; ErII 337.271000 nm (target),3.6070433368923616,233.6037009022288,inf
ErII,349.400000-350.270000,349.400000-350.270000,FeI 349.710322 nm; FeI 349.784032 nm; ErII 349.910400 nm (target),7.831210505539846,52.31680853547071,inf
ErII,389.130000-389.870000,389.130000-389.870000,FeI 389.338988 nm; FeI 389.565597 nm; ErII 389.623400 nm (target),8.39672644481165,71.00110813399577,inf
ErII,361.520000-362.100000,361.520000-362.100000,ErII 361.656500 nm (target); FeI 361.778596 nm; FeI 361.876750 nm,1.7393364916367924,3.024434089875219,inf
EuII,420.000000-420.830000,420.000000-420.830000,MnI 420.177000 nm; FeI 420.202885 nm; EuII 420.505000 nm (target),349.11581244604866,478.67499999961717,inf
EuII,381.810000-382.300000,381.810000-382.300000,EuII 381.967000 nm (target); FeI 382.042491 nm; FeI 382.117740 nm,0.7571282712420109,1.8632482926270308,inf
EuII,412.910000-413.420000,412.260000-413.420000,EuII 412.970000 nm (target); FeI 413.205785 nm; MnI 413.230100 nm,12.229823352096467,15.50917592821202,inf
EuII,392.870000-393.980000,392.870000-393.980000,FeI 393.029640 nm; EuII 393.048000 nm (target); CaII 393.366300 nm,1160.5825742541736,0.0,0.0
EuII,396.510000-397.260000,396.510000-397.260000,CaII 396.846900 nm; FeI 396.925691 nm; EuII 397.196000 nm (target),58.409878585664686,66.96699999993774,inf
GdI,422.350000-423.140000,422.350000-423.140000,GdI 422.585000 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,27.384687756078502,314.58762987765374,inf
GdI,377.800000-378.380000,377.800000-378.380000,FeI 377.850889 nm; GdI 378.305000 nm (target),11.753487330590437,2.3519999999969303,inf
GdI,418.340000-419.350000,418.340000-419.350000,FeI 418.703842 nm; FeI 418.779491 nm; GdI 419.078000 nm (target),2.288576961074956,11.332839190080016,inf
HoII,388.530000-389.130000,387.950000-389.130000,FeI 388.628183 nm; FeI 388.851317 nm; HoII 389.094000 nm (target),263.4472124562504,1.6956990976850945,inf
HoII,339.590000-340.090000,339.590000-340.090000,HoII 339.895000 nm (target); FeI 339.933299 nm,53.87921779658462,65.17250000001376,inf
HoII,347.240000-347.890000,347.240000-347.890000,MnII 347.403870 nm; MnII 347.412710 nm; HoII 347.425000 nm (target),155.4791391009634,14.614999999999998,inf
LaII,394.740000-395.370000,394.740000-395.370000,LaII 394.910000 nm (target); FeI 395.116320 nm; MnI 395.283400 nm,54.63734055415718,893.9872156272254,inf
