光谱名称,粒子种类,拟合区间(nm),未去除旁峰的区间(nm),选线数据,RMSE,RMSE/nm,真实强度,拟合强度,强度误差,强度误差比例(%)
03124_95_random.csv,PrII,417.490000-418.380000,417.490000-418.380000,FeI 417.563572 nm; PrII 417.939100 nm (target); FeI 418.175449 nm,837.467230795941,940.9744166246672,527.8,914.1635000000159,386.36350000001596,73.20263357332625
03124_95_random.csv,PrII,421.790000-423.100000,421.790000-423.100000,PrII 422.293100 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,124.1224236488541,94.74994171668236,438.3,468.79949999997655,30.499499999976535,6.958590006839273
03124_95_random.csv,PrII,421.790000-423.100000,421.790000-423.100000,PrII 422.534600 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,121.03340021435707,92.39190856057776,571.2,1121.0332759813589,549.8332759813588,96.2593270275488
03124_95_random.csv,PrII,406.030000-406.590000,406.030000-406.590000,FeIII 406.173000 nm; PrII 406.280400 nm (target); FeI 406.359365 nm,26.544178324139466,47.400318435963136,315.2,178.04783482147195,137.15216517852804,43.51274275968529
03124_95_random.csv,PrII,409.820000-410.700000,409.820000-411.210000,CaI 409.852820 nm; CaI 409.857510 nm; PrII 410.071700 nm (target),895.3418157509136,1017.4338815351343,503.9,729.0979992421845,225.19799924218455,44.69100997066572
03124_95_random.csv,TbII,350.240000-351.220000,350.240000-351.220000,FeI 350.847390 nm; TbII 350.914600 nm (target); NaI 351.093000 nm,137.67787990311697,140.4876325541984,1863.0,245.30838314206696,1617.691616857933,86.8326149682197
03124_95_random.csv,TbII,370.130000-370.510000,369.770000-370.510000,TbII 370.285600 nm (target); FeI 370.369071 nm; FeI 370.446079 nm,434.5582622649953,1143.5743743815801,1952.0,2238.3999999997086,286.3999999997086,14.672131147526054
03124_95_random.csv,TbII,367.280000-368.130000,367.280000-368.130000,TbII 367.636300 nm (target); FeI 367.762770 nm; FeI 367.991309 nm,15.981783916023517,18.802098724733046,3232.0,3244.3728463423804,12.372846342380399,0.3828232160389975
03124_95_random.csv,TbII,384.450000-385.380000,384.450000-385.380000,FeI 384.680010 nm; TbII 384.874000 nm (target); FeI 384.996631 nm,327.28471163250333,351.91904476613,2297.0,4743.411744460296,2446.411744460296,106.50464712495848
03124_95_random.csv,TbII,386.840000-387.700000,386.840000-387.700000,FeI 387.250102 nm; TbII 387.417200 nm (target); CaI 387.577640 nm,193.64866887359977,225.17287078325197,3811.0,3213.6793919694337,597.3206080305663,15.673592443730419
03130_95_random.csv,SmII,358.920000-359.650000,358.920000-359.650000,SmII 359.260300 nm (target); FeI 359.463208 nm; MnI 359.510700 nm,3.383640743811297,4.635124306591064,1084.0,1085.0,1.0,0.09225092250922509
03130_95_random.csv,SmII,360.560000-361.550000,360.560000-361.550000,MnI 360.848100 nm; FeI 360.885895 nm; SmII 360.949100 nm (target),14404.938444558202,14550.44287329098,924.3,9912.055000010152,8987.755000010153,972.3850481456402
03130_95_random.csv,SmII,363.060000-363.770000,363.060000-363.770000,CaI 363.075220 nm; FeI 363.146292 nm; SmII 363.429000 nm (target),11127.789704963874,15672.943246428444,838.9,15143.499999994805,14304.599999994805,1705.1615210388372
03130_95_random.csv,SmII,369.170000-369.880000,369.170000-369.880000,SmII 369.398900 nm (target); FeI 369.400589 nm; FeI 369.505245 nm,2.1024456166170564,2.961191009319883,70.21,78.7881383107052,8.5781383107052,12.217829811572711
070036_95_random.csv,PrII,417.420000-418.370000,417.420000-418.370000,MnI 417.659900 nm; PrII 417.939100 nm (target); FeI 418.175449 nm,4236.569351309904,4459.5466855894265,884.9,4161.035000000162,3276.1350000001617,370.2265792745126
070036_95_random.csv,PrII,422.010000-423.050000,422.010000-423.050000,PrII 422.293100 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,216.74588798246802,208.40950767544592,705.9,742.3884999999696,36.48849999996958,5.169074939788862
070036_95_random.csv,PrII,422.010000-423.050000,422.010000-423.050000,PrII 422.534600 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,240.67507010578936,231.41833664017753,911.4,1091.9349101496261,180.53491014962617,19.80852645925238
070036_95_random.csv,PrII,406.020000-406.690000,406.020000-406.690000,PrII 406.280400 nm (target); MnI 406.352800 nm; FeI 406.359365 nm,26.093252275275063,38.94515264966335,556.8,454.49362346506643,102.30637653493352,18.37399003860157
070036_95_random.csv,PrII,409.820000-410.770000,409.820000-410.770000,CaI 409.852820 nm; PrII 410.071700 nm (target); MnI 410.538000 nm,717.4290406806884,755.188463874418,907.3,1342.834999999794,435.5349999997941,48.003416730937296
070036_95_random.csv,TbII,369.720000-370.430000,369.720000-370.430000,FeI 369.742522 nm; FeI 370.108586 nm; TbII 370.285600 nm (target),325.0023843406766,457.7498370995577,637.5,0.0,637.5,100.0
070036_95_random.csv,TbII,367.340000-367.880000,367.340000-367.880000,TbII 367.636300 nm (target); MnI 367.692300 nm; FeI 367.762770 nm,12.91053665857094,23.90840121957491,1061.0,1021.5598986397891,39.44010136021086,3.7172574326306185
070036_95_random.csv,TbII,384.460000-385.430000,384.460000-385.430000,FeI 384.680010 nm; TbII 384.874000 nm (target); FeI 384.996631 nm,742.5227431847405,765.4873641079585,715.1,4511.146225137825,3796.0462251378253,530.8413124231332
070036_95_random.csv,TbII,387.020000-387.620000,387.020000-387.620000,FeI 387.250102 nm; TbII 387.417200 nm (target); CaI 387.577640 nm,21.043456340727545,35.07242723454458,1181.0,1231.6561098266582,50.65610982665817,4.289255700817796
070036_95_random.csv,YbII,369.140000-369.720000,369.140000-369.720000,FeI 369.400589 nm; YbII 369.419000 nm (target); FeI 369.505245 nm,21.929901785402233,37.81017549207015,4192.0,4333.23775191429,141.23775191429013,3.369221181161501
070036_95_random.csv,YbII,328.470000-329.480000,328.470000-329.480000,FeI 328.675278 nm; YbII 328.937000 nm (target); FeI 329.202060 nm,1164.931968670318,1153.3979887825035,7879.0,8341.200994591287,462.2009945912869,5.866239301831284
070036_95_random.csv,YbII,288.960000-289.260000,288.960000-289.840000,MnII 289.133790 nm; YbII 289.138400 nm (target); MnII 289.238370 nm,67.45905647871491,224.86352159570785,1059.0,1440.414034614644,381.4140346146439,36.016433863516895
070036_95_random.csv,YbII,211.470000-211.720000,211.470000-212.080000,FeIII 211.659800 nm; YbII 211.667000 nm (target); FeII 211.699120 nm,54.34954062504215,217.3981625001686,1300.0,35.218630066102556,1264.7813699338974,97.29087461029981
070036_95_random.csv,YbII,274.810000-275.200000,274.470000-275.200000,FeII 274.918070 nm; FeII 274.932122 nm; YbII 275.047700 nm (target),610.5910928689731,1565.6181868435756,1118.0,2025.2439543778494,907.2439543778494,81.14883312860907
070099_95_random.csv,ErII,390.130000-390.940000,390.130000-390.940000,FeI 390.294512 nm; SiI 390.552310 nm; ErII 390.631100 nm (target),27.32691055883878,33.73692661585025,857.6,1798.8768783786034,941.2768783786033,109.75709869153489
070099_95_random.csv,ErII,336.710000-337.460000,336.710000-337.460000,FeI 336.954710 nm; FeI 337.078304 nm; ErII 337.271000 nm (target),75.88708444869344,101.18277926492459,2554.0,2516.6677388526273,37.33226114737272,1.461717351110913
070099_95_random.csv,ErII,349.320000-350.280000,349.320000-350.280000,FeI 349.710322 nm; FeI 349.784032 nm; ErII 349.910400 nm (target),97.2209067190305,101.2717778323256,995.4,906.0759739709416,89.32402602905836,8.973681537980546
070099_95_random.csv,ErII,361.390000-362.210000,361.390000-362.210000,ErII 361.656500 nm (target); FeI 361.876750 nm; FeI 362.146050 nm,36.32105233543409,44.293966262724865,392.5,484.5231809114985,92.02318091149851,23.44539641057287
070099_95_random.csv,EuII,420.320000-421.490000,419.390000-421.490000,FeIII 420.383600 nm; EuII 420.505000 nm (target); FeIII 421.068100 nm,192.61879853177408,164.6314517365568,687.2,924.2323747275451,237.03237472754506,34.492487591319126
070099_95_random.csv,EuII,392.880000-393.990000,392.880000-393.990000,FeI 393.029640 nm; EuII 393.048000 nm (target); CaII 393.366300 nm,1115.7908907775204,1005.2170187184745,605.1,0.0,605.1,100.0
070099_95_random.csv,EuII,396.520000-397.550000,396.520000-397.550000,CaII 396.846900 nm; FeI 396.925691 nm; EuII 397.196000 nm (target),305.6713392247644,296.76829050947146,672.0,1321.924580246866,649.9245802468661,96.71496729864079
070099_95_random.csv,HoII,388.890000-389.400000,388.080000-389.400000,HoII 389.094000 nm (target); MgI 389.190600 nm; FeI 389.338988 nm,84.29415709998833,165.2826609803722,3581.0,3763.5511750764745,182.55117507647446,5.0977708761930876
070099_95_random.csv,HoII,339.460000-340.160000,339.460000-340.160000,HoII 339.895000 nm (target); FeI 339.933299 nm,237.33575169881777,339.0510738554319,2111.0,2109.9042269102383,1.0957730897616784,0.051907773082031185
070099_95_random.csv,HoII,347.130000-347.940000,347.130000-347.940000,MnII 347.403870 nm; MnII 347.412710 nm; HoII 347.425000 nm (target),469.9597998263964,580.1972837362903,1584.0,4447.910072222811,2863.9100722228113,180.8024035494199
070099_95_random.csv,LaII,398.440000-399.260000,398.440000-399.260000,MgI 398.675330 nm; MnI 398.681900 nm; LaII 398.852000 nm (target),326.24670228252097,397.86183205185813,194.9,3196.0477664335567,3001.1477664335566,1539.8397980674995
070099_95_random.csv,LaII,399.260000-399.930000,399.260000-401.090000,LaII 399.575000 nm (target); FeI 399.696350 nm; FeI 399.739170 nm,108.62287221540936,162.12368987374145,146.5,621.3500512989526,474.8500512989526,324.12972784911443
