Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
199.58,5.801e-15,,5.801e-15
199.6,6.366e-14,,6.366e-14
199.63,1.992e-12,,1.992e-12
199.65,1.791e-11,,1.791e-11
199.68,4.154e-10,,4.154e-10
199.7,3.057e-9,,3.057e-9
199.73,5.257e-8,,5.257e-8
199.75,3.170e-7,,3.170e-7
199.78,4.040e-6,,4.040e-6
199.8,1.995e-5,,1.995e-5
199.82,9.095e-5,,9.095e-5
199.85,7.622e-4,,7.622e-4
199.87,2.846e-3,,2.846e-3
199.9,1.768e-2,,1.768e-2
199.92,5.408e-2,,5.408e-2
199.95,2.490e-1,,2.490e-1
199.97,6.238e-1,,6.238e-1
200,2.129e+0,,2.129e+0
200.02,4.368e+0,,4.368e+0
200.05,1.105e+1,,1.105e+1
200.07,1.857e+1,,1.857e+1
200.1,3.483e+1,,3.483e+1
200.12,4.793e+1,,4.793e+1
200.14,6.091e+1,,6.091e+1
200.17,7.511e+1,,7.511e+1
200.19,7.817e+1,,7.817e+1
200.22,7.145e+1,,7.145e+1
200.24,6.091e+1,,6.091e+1
200.27,4.127e+1,,4.127e+1
200.29,2.881e+1,,2.881e+1
200.32,1.447e+1,,1.447e+1
200.34,8.274e+0,,8.274e+0
200.37,3.080e+0,,3.080e+0
200.39,1.443e+0,,1.443e+0
200.42,3.981e-1,,3.981e-1
200.44,1.527e-1,,1.527e-1
200.46,5.408e-2,,5.408e-2
200.49,9.813e-3,,9.813e-3
200.51,2.846e-3,,2.846e-3
200.54,3.828e-4,,3.828e-4
200.56,9.095e-5,,9.095e-5
200.59,9.067e-6,,9.067e-6
200.61,1.764e-6,,1.764e-6
200.64,1.304e-7,,1.304e-7
200.66,2.078e-8,,2.078e-8
200.69,1.138e-9,,1.138e-9
200.71,1.486e-10,,1.486e-10
200.74,6.033e-12,,6.033e-12
200.76,6.449e-13,,6.449e-13
200.78,6.366e-14,,6.366e-14
203.1,1.567e-13,,1.567e-13
203.12,1.711e-12,,1.711e-12
203.15,5.461e-11,,5.461e-11
203.17,4.928e-10,,4.928e-10
203.2,1.157e-8,,1.157e-8
203.22,8.619e-8,,8.619e-8
203.25,1.518e-6,,1.518e-6
203.27,9.336e-6,,9.336e-6
203.3,1.234e-4,,1.234e-4
203.32,6.268e-4,,6.268e-4
203.34,2.950e-3,,2.950e-3
203.37,2.611e-2,,2.611e-2
203.39,1.015e-1,,1.015e-1
203.42,6.755e-1,,6.755e-1
203.44,2.173e+0,,2.173e+0
203.47,1.088e+1,,1.088e+1
203.49,2.895e+1,,2.895e+1
203.52,1.091e+2,,1.091e+2
203.54,2.406e+2,,2.406e+2
203.57,6.843e+2,,6.843e+2
203.59,1.251e+3,,1.251e+3
203.62,2.686e+3,,2.686e+3
203.64,4.073e+3,,4.073e+3
203.66,5.734e+3,,5.734e+3
203.69,8.333e+3,,8.333e+3
203.71,9.746e+3,,9.746e+3
203.74,1.073e+4,,1.073e+4
203.76,1.044e+4,,1.044e+4
203.79,8.757e+3,,8.757e+3
203.81,7.151e+3,,7.151e+3
203.84,4.769e+3,,4.769e+3
203.86,3.555e+3,,3.555e+3
203.89,2.589e+3,,2.589e+3
203.91,2.496e+3,,2.496e+3
203.94,2.900e+3,,2.900e+3
203.96,3.297e+3,,3.297e+3
203.98,3.606e+3,,3.606e+3
204.01,3.666e+3,,3.666e+3
204.03,3.386e+3,,3.386e+3
204.06,2.609e+3,,2.609e+3
204.08,1.993e+3,,1.993e+3
204.11,1.152e+3,,1.152e+3
204.13,7.264e+2,,7.264e+2
204.16,3.148e+2,,3.148e+2
204.18,1.637e+2,,1.637e+2
204.21,5.318e+1,,5.318e+1
204.23,2.282e+1,,2.282e+1
204.26,5.556e+0,,5.556e+0
204.28,1.967e+0,,1.967e+0
204.3,6.452e-1,,6.452e-1
204.33,1.049e-1,,1.049e-1
204.35,2.838e-2,,2.838e-2
204.38,3.458e-3,,3.458e-3
204.4,7.719e-4,,7.719e-4
204.43,7.049e-5,,7.049e-5
204.45,1.299e-5,,1.299e-5
204.48,8.888e-7,,8.888e-7
204.5,1.351e-7,,1.351e-7
204.53,6.929e-9,,6.929e-9
204.55,8.690e-10,,8.690e-10
204.58,3.341e-11,,3.341e-11
204.6,3.457e-12,,3.457e-12
206.99,1.911e-13,,1.911e-13
207.01,1.908e-12,,1.908e-12
207.04,5.241e-11,,5.241e-11
207.06,4.347e-10,,4.347e-10
207.09,9.036e-9,,9.036e-9
207.11,6.226e-8,,6.226e-8
207.13,3.983e-7,,3.983e-7
207.16,5.607e-6,,5.607e-6
207.18,2.979e-5,,2.979e-5
207.21,3.175e-4,,3.175e-4
207.23,1.401e-3,,1.401e-3
207.26,1.131e-2,,1.131e-2
207.28,4.145e-2,,4.145e-2
207.31,2.531e-1,,2.531e-1
207.33,7.708e-1,,7.708e-1
207.36,3.563e+0,,3.563e+0
207.38,9.013e+0,,9.013e+0
207.41,3.154e+1,,3.154e+1
207.43,6.627e+1,,6.627e+1
207.45,1.293e+2,,1.293e+2
207.48,3.064e+2,,3.064e+2
207.5,4.964e+2,,4.964e+2
207.53,8.906e+2,,8.906e+2
207.55,1.199e+3,,1.199e+3
207.58,1.628e+3,,1.628e+3
207.6,1.820e+3,,1.820e+3
207.63,1.871e+3,,1.871e+3
207.65,1.737e+3,,1.737e+3
207.68,1.352e+3,,1.352e+3
207.7,1.043e+3,,1.043e+3
207.73,6.144e+2,,6.144e+2
207.75,3.936e+2,,3.936e+2
207.77,2.341e+2,,2.341e+2
207.8,9.341e+1,,9.341e+1
207.82,4.615e+1,,4.615e+1
207.85,1.394e+1,,1.394e+1
207.87,5.720e+0,,5.720e+0
207.9,1.308e+0,,1.308e+0
207.92,4.458e-1,,4.458e-1
207.95,7.718e-2,,7.718e-2
207.97,2.185e-2,,2.185e-2
208,2.865e-3,,2.865e-3
208.02,6.822e-4,,6.822e-4
208.05,1.705e-4,,1.705e-4
208.07,4.997e-4,,4.997e-4
208.09,2.124e-3,,2.124e-3
208.12,1.683e-2,,1.683e-2
208.14,6.104e-2,,6.104e-2
208.17,3.673e-1,,3.673e-1
208.19,1.108e+0,,1.108e+0
208.22,5.060e+0,,5.060e+0
208.24,1.270e+1,,1.270e+1
208.27,4.400e+1,,4.400e+1
208.29,9.187e+1,,9.187e+1
208.32,2.415e+2,,2.415e+2
208.34,4.195e+2,,4.195e+2
208.37,8.365e+2,,8.365e+2
208.39,1.209e+3,,1.209e+3
