Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
200.11,2.196e-20,,,2.196e-20
200.13,2.653e-19,,,2.653e-19
200.16,9.215e-18,,,9.215e-18
200.18,8.884e-17,,,8.884e-17
200.21,2.293e-15,,,2.293e-15
200.23,1.813e-14,,,1.813e-14
200.26,3.477e-13,,,3.477e-13
200.28,2.257e-12,,,2.257e-12
200.31,3.216e-11,,,3.216e-11
200.33,1.713e-10,,,1.713e-10
200.36,1.815e-9,,,1.815e-9
200.38,7.933e-9,,,7.933e-9
200.4,3.204e-8,,,3.204e-8
200.43,2.243e-7,,,2.243e-7
200.45,7.436e-7,,,7.436e-7
200.48,3.872e-6,,,3.872e-6
200.5,1.054e-5,,,1.054e-5
200.53,4.085e-5,,,4.085e-5
200.55,9.134e-5,,,9.134e-5
200.58,2.635e-4,,,2.635e-4
200.6,4.841e-4,,,4.841e-4
200.63,1.040e-3,,,1.040e-3
200.65,1.570e-3,,,1.570e-3
200.68,2.514e-3,,,2.514e-3
200.7,3.120e-3,,,3.120e-3
200.73,3.723e-3,,,3.723e-3
200.75,3.799e-3,,,3.799e-3
200.78,3.382e-3,,,3.382e-3
200.8,2.839e-3,,,2.839e-3
200.82,2.208e-3,,,2.208e-3
200.85,1.325e-3,,,1.325e-3
200.87,8.882e-4,,,8.882e-4
200.9,5.488e-4,,,5.488e-4
200.92,5.499e-4,,,5.499e-4
200.95,9.082e-4,,,9.082e-4
200.97,1.386e-3,,,1.386e-3
201,2.394e-3,,,2.394e-3
201.02,3.151e-3,,,3.151e-3
201.05,4.114e-3,,,4.114e-3
201.07,4.452e-3,,,4.452e-3
201.1,4.322e-3,,,4.322e-3
201.12,3.838e-3,,,3.838e-3
201.15,2.769e-3,,,2.769e-3
201.17,2.018e-3,,,2.018e-3
201.19,1.358e-3,,,1.358e-3
201.22,6.468e-4,,,6.468e-4
201.24,3.573e-4,,,3.573e-4
201.27,1.264e-4,,,1.264e-4
201.29,5.730e-5,,,5.730e-5
201.32,1.507e-5,,,1.507e-5
201.34,5.604e-6,,,5.604e-6
201.37,1.095e-6,,,1.095e-6
201.39,3.342e-7,,,3.342e-7
201.42,4.855e-8,,,4.855e-8
201.44,1.215e-8,,,1.215e-8
201.47,1.312e-9,,,1.312e-9
201.49,2.695e-10,,,2.695e-10
201.52,2.163e-11,,,2.163e-11
201.54,3.645e-12,,,3.645e-12
201.56,5.674e-13,,,5.674e-13
201.59,3.005e-14,,,3.005e-14
201.61,3.839e-15,,,3.839e-15
201.64,1.511e-16,,,1.511e-16
201.66,1.584e-17,,,1.584e-17
201.69,4.633e-19,,,4.633e-19
209.07,5.173e-20,,,5.173e-20
209.09,5.503e-19,,,5.503e-19
209.12,1.666e-17,,,1.666e-17
209.14,1.477e-16,,,1.477e-16
209.17,3.404e-15,,,3.404e-15
209.19,2.516e-14,,,2.516e-14
209.21,1.730e-13,,,1.730e-13
209.24,2.721e-12,,,2.721e-12
209.26,1.559e-11,,,1.559e-11
209.29,1.867e-10,,,1.867e-10
209.31,8.921e-10,,,8.921e-10
209.34,8.130e-9,,,8.130e-9
209.36,3.239e-8,,,3.239e-8
209.39,2.247e-7,,,2.247e-7
209.41,7.463e-7,,,7.463e-7
209.44,3.941e-6,,,3.941e-6
209.46,1.091e-5,,,1.091e-5
209.49,4.387e-5,,,4.387e-5
209.51,1.013e-4,,,1.013e-4
209.54,3.100e-4,,,3.100e-4
209.56,5.966e-4,,,5.966e-4
209.58,1.068e-3,,,1.068e-3
209.61,2.230e-3,,,2.230e-3
209.63,3.327e-3,,,3.327e-3
209.66,5.291e-3,,,5.291e-3
209.68,6.582e-3,,,6.582e-3
209.71,7.969e-3,,,7.969e-3
209.73,8.271e-3,,,8.271e-3
209.76,7.649e-3,,,7.649e-3
209.78,6.664e-3,,,6.664e-3
209.81,4.857e-3,,,4.857e-3
209.83,3.774e-3,,,3.774e-3
209.86,2.760e-3,,,2.760e-3
209.88,2.588e-3,,,2.588e-3
209.91,2.984e-3,,,2.984e-3
209.93,3.505e-3,,,3.505e-3
209.95,4.043e-3,,,4.043e-3
209.98,4.545e-3,,,4.545e-3
210,4.528e-3,,,4.528e-3
210.03,3.944e-3,,,3.944e-3
210.05,3.289e-3,,,3.289e-3
210.08,2.187e-3,,,2.187e-3
210.1,1.523e-3,,,1.523e-3
210.13,7.787e-4,,,7.787e-4
210.15,4.659e-4,,,4.659e-4
210.18,2.272e-4,,,2.272e-4
210.2,1.851e-4,,,1.851e-4
210.23,2.500e-4,,,2.500e-4
210.25,3.622e-4,,,3.622e-4
210.28,6.124e-4,,,6.124e-4
210.3,8.189e-4,,,8.189e-4
210.33,1.162e-3,,,1.162e-3
210.35,1.405e-3,,,1.405e-3
210.37,1.664e-3,,,1.664e-3
210.4,2.102e-3,,,2.102e-3
210.42,2.428e-3,,,2.428e-3
210.45,2.908e-3,,,2.908e-3
210.47,3.150e-3,,,3.150e-3
210.5,3.251e-3,,,3.251e-3
210.52,3.094e-3,,,3.094e-3
210.55,2.552e-3,,,2.552e-3
210.57,2.066e-3,,,2.066e-3
210.6,1.322e-3,,,1.322e-3
210.62,9.001e-4,,,9.001e-4
210.65,4.429e-4,,,4.429e-4
210.67,2.526e-4,,,2.526e-4
210.7,9.528e-5,,,9.528e-5
210.72,4.550e-5,,,4.550e-5
210.74,2.024e-5,,,2.024e-5
210.77,5.250e-6,,,5.250e-6
210.79,1.953e-6,,,1.953e-6
210.82,3.878e-7,,,3.878e-7
210.84,1.207e-7,,,1.207e-7
210.87,1.832e-8,,,1.832e-8
210.89,4.769e-9,,,4.769e-9
210.92,5.536e-10,,,5.536e-10
210.94,1.205e-10,,,1.205e-10
210.97,1.069e-11,,,1.069e-11
210.99,1.944e-12,,,1.944e-12
211.02,1.318e-13,,,1.318e-13
211.04,2.004e-14,,,2.004e-14
211.07,1.038e-15,,,1.038e-15
211.09,1.319e-16,,,1.319e-16
211.11,1.559e-17,,,1.559e-17
211.14,5.206e-19,,,5.206e-19
219.23,4.267e-20,,,4.267e-20
219.26,1.215e-18,,,1.215e-18
219.28,1.044e-17,,,1.044e-17
219.31,2.320e-16,,,2.320e-16
219.33,1.689e-15,,,1.689e-15
219.36,2.929e-14,,,2.929e-14
219.38,1.807e-13,,,1.807e-13
219.41,2.445e-12,,,2.445e-12
219.43,1.278e-11,,,1.278e-11
219.46,1.350e-10,,,1.350e-10
219.48,5.982e-10,,,5.982e-10
219.51,4.929e-9,,,4.929e-9
219.53,1.851e-8,,,1.851e-8
219.55,6.507e-8,,,6.507e-8
219.58,3.788e-7,,,3.788e-7
219.6,1.129e-6,,,1.129e-6
219.63,5.127e-6,,,5.127e-6
219.65,1.295e-5,,,1.295e-5
219.68,4.588e-5,,,4.588e-5
219.7,9.819e-5,,,9.819e-5
219.73,2.716e-4,,,2.716e-4
219.75,4.926e-4,,,4.926e-4
219.78,1.063e-3,,,1.063e-3
219.8,1.634e-3,,,1.634e-3
219.83,2.752e-3,,,2.752e-3
219.85,3.585e-3,,,3.585e-3
219.88,4.710e-3,,,4.710e-3
219.9,5.202e-3,,,5.202e-3
219.92,5.377e-3,,,5.377e-3
219.95,4.991e-3,,,4.991e-3
219.97,4.372e-3,,,4.372e-3
220,3.167e-3,,,3.167e-3
220.02,2.351e-3,,,2.351e-3
220.05,1.329e-3,,,1.329e-3
220.07,8.363e-4,,,8.363e-4
220.1,3.688e-4,,,3.688e-4
220.12,1.967e-4,,,1.967e-4
220.15,6.768e-5,,,6.768e-5
220.17,3.059e-5,,,3.059e-5
220.2,8.214e-6,,,8.214e-6
220.22,3.147e-6,,,3.147e-6
220.25,6.593e-7,,,6.593e-7
220.27,2.141e-7,,,2.141e-7
220.29,6.507e-8,,,6.507e-8
220.32,9.631e-9,,,9.631e-9
220.34,2.481e-9,,,2.481e-9
220.37,2.865e-10,,,2.865e-10
220.39,6.256e-11,,,6.256e-11
220.42,5.637e-12,,,5.637e-12
220.44,1.043e-12,,,1.043e-12
220.47,7.335e-14,,,7.335e-14
220.49,1.150e-14,,,1.150e-14
220.52,6.311e-16,,,6.311e-16
220.54,8.390e-17,,,8.390e-17
220.57,3.591e-18,,,3.591e-18
220.59,4.046e-19,,,4.046e-19
223.08,6.431e-20,,,6.431e-20
223.11,1.714e-18,,,1.714e-18
223.13,1.412e-17,,,1.412e-17
223.16,2.962e-16,,,2.962e-16
223.18,2.080e-15,,,2.080e-15
223.21,3.434e-14,,,3.434e-14
223.23,2.055e-13,,,2.055e-13
223.26,2.669e-12,,,2.669e-12
223.28,1.362e-11,,,1.362e-11
223.31,1.392e-10,,,1.392e-10
223.33,6.053e-10,,,6.053e-10
223.35,2.469e-9,,,2.469e-9
223.38,1.804e-8,,,1.804e-8
223.4,6.273e-8,,,6.273e-8
223.43,3.608e-7,,,3.608e-7
223.45,1.069e-6,,,1.069e-6
223.48,4.838e-6,,,4.838e-6
223.5,1.222e-5,,,1.222e-5
223.53,4.352e-5,,,4.352e-5
223.55,9.369e-5,,,9.369e-5
223.58,2.626e-4,,,2.626e-4
223.6,4.818e-4,,,4.818e-4
223.63,1.062e-3,,,1.062e-3
223.65,1.662e-3,,,1.662e-3
223.68,2.884e-3,,,2.884e-3
223.7,3.844e-3,,,3.844e-3
223.72,4.808e-3,,,4.808e-3
223.75,5.965e-3,,,5.965e-3
223.77,6.359e-3,,,6.359e-3
223.8,6.208e-3,,,6.208e-3
223.82,5.641e-3,,,5.641e-3
223.85,4.334e-3,,,4.334e-3
223.87,3.356e-3,,,3.356e-3
223.9,2.029e-3,,,2.029e-3
223.92,1.339e-3,,,1.339e-3
223.95,6.372e-4,,,6.372e-4
223.97,3.585e-4,,,3.585e-4
224,1.342e-4,,,1.342e-4
224.02,6.437e-5,,,6.437e-5
224.05,1.896e-5,,,1.896e-5
224.07,7.751e-6,,,7.751e-6
224.1,1.797e-6,,,1.797e-6
224.12,6.260e-7,,,6.260e-7
224.14,2.046e-7,,,2.046e-7
224.17,3.391e-8,,,3.391e-8
224.19,9.447e-9,,,9.447e-9
224.22,1.232e-9,,,1.232e-9
224.24,2.926e-10,,,2.926e-10
224.27,3.003e-11,,,3.003e-11
224.29,6.078e-12,,,6.078e-12
224.32,4.909e-13,,,4.909e-13
224.34,8.468e-14,,,8.468e-14
224.37,5.382e-15,,,5.382e-15
224.39,7.913e-16,,,7.913e-16
224.42,3.958e-17,,,3.958e-17
224.44,4.960e-18,,,4.960e-18
224.47,1.952e-19,,,1.952e-19
225.7,2.243e-14,2.243e-14,,5.806e-18
225.72,1.933e-13,1.933e-13,,5.898e-18
225.75,4.351e-12,4.351e-12,,6.035e-18
225.77,3.208e-11,3.208e-11,,6.126e-18
225.8,5.711e-10,5.711e-10,,6.263e-18
