Wavelength (nm),Sum(calc),Na I (1.2e-3),Na II (4.2e-2),Na III (4.2e-17),Mg I (1.6e-3),Mg II (4.1e-2),Mg III (3.6e-4),Al I (2.1e-3),Al II (4.1e-2),Al III (3.1e-5),Si I (4.7e-3),Si II (3.9e-2),Si III (3.2e-5),K I (8.8e-4),K II (4.3e-2),K III (2.6e-10),Ca I (7.4e-4),Ca II (3.9e-2),Ca III (4.0e-3),Cr I (1.2e-3),Cr II (4.2e-2),Mn I (1.4e-3),Mn II (4.2e-2),Fe I (1.9e-3),Fe II (4.1e-2),Fe III (9.4e-5),Cu I (3.7e-3),Cu II (4.0e-2),Zn I (4.9e-3),Zn II (3.8e-2),Y I (4.9e-4),Y II (3.9e-2),La I (3.0e-4),La II (3.6e-2),Ce I (2.5e-4),Ce II (3.8e-2),Pr II (3.1e-2),Nd I (1.6e-4),Nd II (3.9e-2),Eu I (3.2e-4),Eu II (3.4e-2),Dy I (3.5e-4),Dy II (4.2e-2),Ho I (6.1e-4),Ho II (3.1e-2),Er I (4.5e-4),Er II (3.9e-2),Tm I (4.1e-4),Tm II (3.9e-2),Yb I (4.1e-4),Yb II (4.0e-2),Lu I (7.5e-4),Lu II (4.1e-2)
198.9,4.437e-20,,,,,,,,,,,,,,,,,,,,,,,,,4.437e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.92,1.675e-19,,,,,,,,,,,,,,,,,,,,,,,,,1.675e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.94,2.583e-14,,,,,,,,,,,,,,,,,,,,,,,,2.583e-14,6.171e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.95,5.034e-14,,,,,,,,,,,,,,,,,,,,,,,,5.034e-14,1.174e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.97,1.876e-13,,,,,,,,,,,,,,,,,,,,,,,,1.876e-13,4.169e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.99,6.827e-13,,,,,,,,,,,,,,,,,,1.963e-27,,,,,,6.827e-13,1.445e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1.290e-12,,,,,,,,,,,,,,,,,,3.824e-27,,,,,,1.290e-12,2.666e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.02,4.526e-12,,,,,,,,,,,,9.917e-26,,,,,,1.425e-26,,,,,,4.526e-12,8.925e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.04,1.549e-11,,,,,,,,,,,,3.693e-25,,,,,,5.180e-26,,,,,,1.549e-11,2.912e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.05,2.840e-11,,,,,,,,,,,,7.063e-25,,,,,,9.786e-26,,,,,,2.840e-11,5.212e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.07,9.373e-11,,,,,,,,,,,,2.536e-24,,,,,,3.430e-25,,,,,,9.373e-11,1.640e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.08,1.687e-10,,,,,,,,,,,,4.762e-24,,,,,,6.364e-25,,,,,,1.687e-10,2.881e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.1,5.368e-10,,,,,,,,,,,,1.649e-23,,,,,,2.151e-24,,,,2.871e-15,,5.368e-10,8.739e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.12,1.667e-9,,,,,,,,,,,,5.571e-23,,,,,,7.093e-24,,,,1.068e-14,,1.667e-9,2.587e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.13,2.911e-9,,,,,,,,,,,,1.015e-22,,,,,,1.277e-23,,,,2.042e-14,,2.911e-9,4.410e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.15,8.714e-9,,,,,,,,,,,,3.305e-22,,,,,,4.059e-23,,,,7.324e-14,,8.714e-9,1.259e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.17,2.546e-8,,,,,,,,,,,,1.051e-21,,,,,,1.260e-22,,,,2.564e-13,,2.546e-8,3.507e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.18,4.312e-8,,,,,,,,,,,,1.857e-21,,,,,,2.199e-22,,,,4.754e-13,,4.312e-8,5.800e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.2,1.215e-7,,,,,,,,,,,,5.691e-21,,,,,,6.579e-22,,,,1.605e-12,,1.215e-7,1.558e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.22,3.339e-7,,,,,,,,,,,,1.702e-20,,,,,,1.921e-21,,,,5.286e-12,,3.339e-7,4.085e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
