Wavelength (nm),Sum(calc),Na I (5.9e-4),Na II (1.2e-2),Na III (4.5e-21),Mg I (2.5e-3),Mg II (2.0e-2),Mg III (1.2e-5),Al I (2.1e-2),Al II (1.4e-1),Al III (4.1e-6),Si I (2.1e-1),Si II (4.1e-1),Si III (1.9e-5),K I (1.5e-3),K II (4.7e-2),K III (1.3e-12),Ca I (6.2e-4),Ca II (1.5e-2),Ca III (2.1e-4),Cr I (0.0e+0),Cr II (0.0e+0),Mn I (1.1e-4),Mn II (8.7e-4),Fe I (7.6e-3),Fe II (4.2e-2),Fe III (5.7e-6),Cu I (7.1e-4),Cu II (1.7e-3),Zn I (2.9e-3),Zn II (4.6e-3),Y I (0.0e+0),Y II (0.0e+0),La I (1.1e-3),La II (4.9e-2),Ce I (0.0e+0),Ce II (0.0e+0),Pr II (0.0e+0),Nd I (0.0e+0),Nd II (0.0e+0),Eu I (0.0e+0),Eu II (0.0e+0),Dy I (0.0e+0),Dy II (0.0e+0),Ho I (0.0e+0),Ho II (0.0e+0),Er I (0.0e+0),Er II (0.0e+0),Tm I (0.0e+0),Tm II (0.0e+0),Yb I (0.0e+0),Yb II (0.0e+0),Lu I (0.0e+0),Lu II (0.0e+0)
198.89,1.534e-22,,,,,,,,,,,,,,,,,,,,,,,,,1.534e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.92,1.103e-21,,,,,,,,,,,,,,,,,,,,,,,,,1.103e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.94,1.232e-14,,,,,,,,,,,,,,,,,,,,,,,,1.232e-14,3.989e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.97,8.698e-14,,,,,,,,,,,,,,,,,,,,,,,,8.698e-14,2.622e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.99,3.106e-13,,,,,,,,,,,,8.857e-29,,,,,,2.310e-31,,,,,,3.106e-13,8.926e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.02,2.004e-12,,,,,,,,,,,,6.472e-28,,,,,,1.629e-30,,,,,,2.004e-12,5.378e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.04,6.738e-12,,,,,,,,,,,,2.365e-27,,,,,,5.813e-30,,,,,,6.738e-12,1.725e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.07,3.972e-11,,,,,,,,,,,,1.580e-26,,,,,,3.746e-29,,,,,,3.972e-11,9.477e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.09,1.258e-10,,,,,,,,,,,,5.436e-26,,,,,,1.259e-28,,,,7.448e-18,,1.258e-10,2.864e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.11,3.889e-10,,,,,,,,,,,,1.827e-25,,,,,,4.131e-28,,,,2.752e-17,,3.889e-10,8.448e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.14,2.021e-9,,,,,,,,,,,,1.075e-24,,,,,,2.347e-27,,,,1.868e-16,,2.021e-9,4.093e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.16,5.884e-9,,,,,,,,,,,,3.403e-24,,,,,,7.251e-27,,,,6.500e-16,,5.884e-9,1.138e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.19,2.795e-8,,,,,,,,,,,,1.831e-23,,,,,,3.765e-26,,,,4.034e-15,,2.795e-8,5.040e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.21,7.662e-8,,,,,,,,,,,,5.457e-23,,,,,,1.096e-25,,,,1.322e-14,,7.662e-8,1.320e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.24,3.326e-7,,,,,,,,,,,,2.684e-22,,,,,,5.199e-25,,,,7.497e-14,,3.326e-7,5.349e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.26,8.587e-7,,,,,,,,,,,,7.532e-22,,,,,,1.425e-24,,,,2.314e-13,,8.587e-7,1.320e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.29,3.406e-6,,,,,,,,,,,,3.386e-21,,,,,,6.180e-24,,,,1.199e-12,,3.406e-6,4.894e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.31,8.282e-6,,,1.196e-57,,,,,,,,,8.949e-21,,,,,,1.595e-23,,,,3.487e-12,,8.282e-6,1.139e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.34,3.002e-5,,,8.531e-57,,,,,,,,,3.676e-20,,,,,,6.321e-23,,,,1.652e-11,,3.002e-5,3.865e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.36,6.875e-5,,,3.068e-56,,,,,,,,,9.150e-20,,,,,,1.536e-22,,,,4.523e-11,,6.875e-5,8.480e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.38,1.537e-4,,,1.077e-55,,,6.550e-43,,,,,2.568e-18,2.224e-19,,,,,,3.646e-22,,,,1.209e-10,,1.537e-4,1.818e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.41,4.911e-4,,,1.394e-54,,,4.666e-42,,,,,1.862e-17,8.053e-19,,,,,,1.274e-21,,,,5.050e-10,,4.911e-4,5.461e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.43,1.034e-3,,,4.907e-54,,,1.677e-41,,,,,6.772e-17,1.843e-18,,,,,,2.847e-21,,,,1.271e-9,,1.034e-3,1.105e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.46,3.020e-3,,,3.120e-53,,,1.092e-40,,,,,4.489e-16,6.100e-18,,,,,,9.092e-21,,,,4.854e-9,,3.020e-3,3.046e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.48,5.987e-3,,,1.044e-52,,,3.696e-40,,,,,1.538e-15,1.315e-17,,,,,,1.913e-20,,,,1.151e-8,,5.987e-3,5.823e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.51,1.598e-2,,,6.144e-52,,,2.201e-39,,,,,9.320e-15,3.977e-17,,,,,,5.585e-20,,,,4.016e-8,,1.598e-2,1.476e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.53,2.983e-2,,,1.952e-51,,,7.017e-39,,,,,3.007e-14,8.074e-17,,,,,,1.107e-19,,,,8.968e-8,,2.983e-2,2.668e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.56,7.276e-2,,,1.063e-50,,,3.820e-38,,,,,1.666e-13,2.232e-16,,,,,,2.953e-19,,,,2.861e-7,,7.276e-2,6.227e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.58,1.279e-1,,,3.203e-50,,,1.147e-37,,,,,5.065e-13,4.267e-16,,,,,,5.511e-19,,,,6.016e-7,,1.279e-1,1.067e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.6,2.196e-1,,,9.454e-50,,,3.365e-37,,,,,1.503e-12,7.964e-16,,,,,,1.004e-18,,,,1.235e-6,,2.196e-1,1.789e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.63,4.722e-1,,,4.604e-49,,,1.616e-36,,,,,7.346e-12,1.941e-15,,,,,,2.362e-18,,,,3.474e-6,,4.722e-1,3.739e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.65,7.633e-1,,,1.288e-48,,,4.463e-36,,,,,2.053e-11,3.412e-15,,,,,,4.054e-18,,,,6.717e-6,,7.633e-1,5.957e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.68,1.500e+0,,,5.782e-48,,,1.959e-35,,,,,9.176e-11,7.600e-15,,,,,,8.713e-18,,,,1.727e-5,,1.500e+0,1.154e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.7,2.283e+0,,,1.531e-47,,,5.098e-35,,,,,2.416e-10,1.258e-14,,,,,,1.408e-17,,,,3.145e-5,,2.283e+0,1.751e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.73,4.100e+0,,,6.327e-47,,,2.046e-34,,,,,9.872e-10,2.561e-14,,,,,,2.767e-17,,,,7.389e-5,,4.100e+0,3.155e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.75,5.878e+0,,,1.585e-46,,,5.015e-34,,,,,2.449e-9,3.993e-14,,,,,,4.212e-17,,,,1.267e-4,,5.878e+0,4.566e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.78,9.646e+0,,,6.021e-46,,,1.840e-33,,,,,9.146e-9,7.429e-14,,,,,,7.565e-17,,,,2.722e-4,,9.645e+0,7.679e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.8,1.302e+1,,,1.425e-45,,,4.249e-33,,,,,2.137e-8,1.091e-13,,,,,,1.085e-16,,,,4.396e-4,,1.302e+1,1.062e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
