Wavelength (nm),Sum(calc),Na I (5.9e-4),Na II (1.2e-2),Na III (4.5e-21),Mg I (2.5e-3),Mg II (2.0e-2),Mg III (1.2e-5),Al I (2.1e-2),Al II (1.4e-1),Al III (4.1e-6),Si I (2.1e-1),Si II (4.1e-1),Si III (1.9e-5),K I (1.5e-3),K II (4.7e-2),K III (1.3e-12),Ca I (6.2e-4),Ca II (1.5e-2),Ca III (2.1e-4),Cr I (0.0e+0),Cr II (0.0e+0),Mn I (1.1e-4),Mn II (8.7e-4),Fe I (7.6e-3),Fe II (4.2e-2),Fe III (5.7e-6),Cu I (7.1e-4),Cu II (1.7e-3),Zn I (2.9e-3),Zn II (4.6e-3),Y I (0.0e+0),Y II (0.0e+0),La I (0.0e+0),La II (0.0e+0),Ce I (0.0e+0),Ce II (0.0e+0),Pr II (0.0e+0),Nd I (6.2e-4),Nd II (5.0e-2),Eu I (0.0e+0),Eu II (0.0e+0),Dy I (0.0e+0),Dy II (0.0e+0),Ho I (0.0e+0),Ho II (0.0e+0),Er I (0.0e+0),Er II (0.0e+0),Tm I (0.0e+0),Tm II (0.0e+0),Yb I (0.0e+0),Yb II (0.0e+0),Lu I (0.0e+0),Lu II (0.0e+0)
198.922,3.487e-22,,,,,,,,,,,,,,,,,,,,,,,,,3.487e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.932,6.782e-22,,,,,,,,,,,,,,,,,,,,,,,,,6.782e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.942,1.311e-21,,,,,,,,,,,,,,,,,,,,,,,,,1.311e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.952,2.519e-21,,,,,,,,,,,,,,,,,,,,,,,,,2.519e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.962,2.299e-14,,,,,,,,,,,,,,,,,,,,,,,,2.299e-14,4.809e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.972,4.451e-14,,,,,,,,,,,,,,,,,,,,,,,,4.451e-14,9.125e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.982,8.564e-14,,,,,,,,,,,,,,,,,,,,,,,,8.564e-14,1.721e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.992,1.638e-13,,,,,,,,,,,,,,,,,,,,,,,,1.638e-13,3.226e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.002,3.113e-13,,,,,,,,,,,,,,,,,,,,,,,,3.113e-13,6.008e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.011,5.520e-13,,,,,,,,,,,,,,,,,,3.529e-31,,,,,,5.520e-13,1.046e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
