Wavelength (nm),Sum(calc),Na I (5.9e-4),Na II (1.2e-2),Na III (4.5e-21),Mg I (2.5e-3),Mg II (2.0e-2),Mg III (1.2e-5),Al I (2.1e-2),Al II (1.4e-1),Al III (4.1e-6),Si I (2.1e-1),Si II (4.1e-1),Si III (1.9e-5),K I (1.5e-3),K II (4.7e-2),K III (1.3e-12),Ca I (6.2e-4),Ca II (1.5e-2),Ca III (2.1e-4),Cr I (0.0e+0),Cr II (0.0e+0),Mn I (1.1e-4),Mn II (8.7e-4),Fe I (7.6e-3),Fe II (4.2e-2),Fe III (5.7e-6),Cu I (7.1e-4),Cu II (1.7e-3),Zn I (2.9e-3),Zn II (4.6e-3),Y I (0.0e+0),Y II (0.0e+0),La I (0.0e+0),La II (0.0e+0),Ce I (0.0e+0),Ce II (0.0e+0),Pr II (4.8e-2),Nd I (0.0e+0),Nd II (0.0e+0),Eu I (0.0e+0),Eu II (0.0e+0),Dy I (0.0e+0),Dy II (0.0e+0),Ho I (0.0e+0),Ho II (0.0e+0),Er I (0.0e+0),Er II (0.0e+0),Tm I (0.0e+0),Tm II (0.0e+0),Yb I (0.0e+0),Yb II (0.0e+0),Lu I (0.0e+0),Lu II (0.0e+0)
198.906,1.269e-22,,,,,,,,,,,,,,,,,,,,,,,,,1.269e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.916,2.489e-22,,,,,,,,,,,,,,,,,,,,,,,,,2.489e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.926,4.853e-22,,,,,,,,,,,,,,,,,,,,,,,,,4.853e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.936,4.283e-15,,,,,,,,,,,,,,,,,,,,,,,,4.283e-15,9.405e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.946,8.417e-15,,,,,,,,,,,,,,,,,,,,,,,,8.417e-15,1.811e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.956,1.644e-14,,,,,,,,,,,,,,,,,,,,,,,,1.644e-14,3.467e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.966,3.191e-14,,,,,,,,,,,,,,,,,,,,,,,,3.191e-14,6.596e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.975,5.766e-14,,,,,,,,,,,,,,,,,,,,,,,,5.766e-14,1.170e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.985,1.106e-13,,,,,,,,,,,,,,,,,,,,,,,,1.106e-13,2.201e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.995,2.109e-13,,,,,,,,,,,,,,,,,,1.290e-31,,,,,,2.109e-13,4.113e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.005,3.997e-13,,,,,,,,,,,,1.167e-28,,,,,,2.523e-31,,,,,,3.997e-13,7.639e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.015,7.527e-13,,,,,,,,,,,,2.292e-28,,,,,,4.904e-31,,,,,,7.527e-13,1.416e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.025,1.409e-12,,,,,,,,,,,,4.475e-28,,,,,,9.474e-31,,,,,,1.409e-12,2.598e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.035,2.621e-12,,,,,,,,,,,,8.683e-28,,,,,,1.819e-30,,,,,,2.621e-12,4.739e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.045,4.846e-12,,,,,,,,,,,,1.674e-27,,,,,,3.472e-30,,,,,,4.846e-12,8.590e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.055,8.905e-12,,,,,,,,,,,,3.209e-27,,,,,,6.585e-30,,,,,,8.905e-12,1.548e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.065,1.626e-11,,,,,,,,,,,,6.111e-27,,,,,,1.241e-29,,,,,,1.626e-11,2.771e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.074,2.782e-11,,,,,,,,,,,,1.086e-26,,,,,,2.185e-29,,,,,,2.782e-11,4.656e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.084,5.021e-11,,,,,,,,,,,,2.044e-26,,,,,,4.071e-29,,,,,,5.021e-11,8.241e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.094,9.007e-11,,,,,,,,,,,,3.824e-26,,,,,,7.537e-29,,,,3.889e-18,,9.007e-11,1.450e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.104,1.606e-10,,,,,,,,,,,,7.111e-26,,,,,,1.387e-28,,,,7.607e-18,,1.606e-10,2.534e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.114,2.846e-10,,,,,,,,,,,,1.314e-25,,,,,,2.537e-28,,,,1.479e-17,,2.846e-10,4.404e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.124,5.011e-10,,,,,,,,,,,,2.414e-25,,,,,,4.612e-28,,,,2.857e-17,,5.011e-10,7.605e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.134,8.771e-10,,,,,,,,,,,,4.406e-25,,,,,,8.333e-28,,,,5.486e-17,,8.771e-10,1.305e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.144,1.526e-9,,,,,,,,,,,,7.994e-25,,,,,,1.496e-27,,,,1.047e-16,,1.526e-9,2.227e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.154,2.638e-9,,,,,,,,,,,,1.441e-24,,,,,,2.670e-27,,,,1.986e-16,,2.638e-9,3.776e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.163,4.295e-9,,,,,,,,,,,,2.438e-24,,,,,,4.473e-27,,,,3.514e-16,,4.295e-9,6.042e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.173,7.339e-9,,,,,,,,,,,,4.344e-24,,,,,,7.890e-27,,,,6.587e-16,,7.339e-9,1.013e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.183,1.246e-8,,,,,,,,,,,,7.695e-24,,,,,,1.383e-26,,,,1.227e-15,,1.246e-8,1.687e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.193,2.104e-8,,,,,,,,,,,,1.355e-23,,,,,,2.410e-26,,,,2.273e-15,,2.104e-8,2.793e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.203,3.529e-8,,,,,,,,,,,,2.370e-23,,,,,,4.173e-26,,,,4.182e-15,,3.529e-8,4.597e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
