Wavelength (nm),Sum(calc),Na I (8.5e-3),Na II (1.8e-1),Na III (6.5e-20),Mg I (2.1e-5),Mg II (1.7e-4),Mg III (1.0e-7),Al I (2.6e-2),Al II (1.7e-1),Al III (5.0e-6),Si I (2.0e-1),Si II (3.8e-1),Si III (1.8e-5),K I (3.3e-5),K II (1.0e-3),K III (2.9e-14),Ca I (1.7e-4),Ca II (4.2e-3),Ca III (5.8e-5),Ti I (1.9e-5),Ti II (3.3e-4),Ti III (6.6e-7),Fe I (9.8e-5),Fe II (5.4e-4),Fe III (7.3e-8),Sm I (9.0e-5),Sm II (6.4e-3),Gd I (1.9e-4),Tb II (6.2e-3)
199.284,2.669e-33,,,,,,,,,,,,,,,,,,,,,,,,2.669e-33,,,,
199.294,1.322e-32,,,,,,,,,,,,,,,,,,,,,,,,1.322e-32,,,,
199.304,6.401e-32,,,,,,,,,,,,,,,,,,,,,,,,6.401e-32,,,,
199.314,6.852e-26,,,,,,,,,,,,,,,,,,,,,,,6.852e-26,3.031e-31,,,,
199.324,3.414e-25,,,,,,,,,,,,,,,,,,,,,,,3.414e-25,1.404e-30,,,,
199.334,1.664e-24,,,,,,,,,,,,,,,,,,,,,,,1.664e-24,6.358e-30,,,,
199.344,7.928e-24,,,,,,,,,,,,,,,,,,,,,,,7.928e-24,2.816e-29,,,,
199.354,3.694e-23,,,,,,,,,,,,,,,,,,,,,,,3.694e-23,1.219e-28,,,,
199.364,1.684e-22,,,,,,,,,,,,,,,,,,,,,,,1.684e-22,5.165e-28,,,,
199.374,7.502e-22,,,,,,,,,,,,,,,,,,1.007e-40,,,,,7.502e-22,2.139e-27,,,,
199.384,3.269e-21,,,,,,,,,,,,1.629e-37,,,,,,4.924e-40,,,,,3.269e-21,8.663e-27,,,,
199.394,1.393e-20,,,,,,,,,,,,8.088e-37,,,,,,2.355e-39,,,,,1.393e-20,3.431e-26,,,,
199.404,5.806e-20,,,,,,,,,,,,3.928e-36,,,,,,1.101e-38,,,,,5.806e-20,1.329e-25,,,,
199.414,2.366e-19,,,,,,,,,,,,1.866e-35,,,,,,5.037e-38,,,,,2.366e-19,5.033e-25,,,,
199.424,9.431e-19,,,,,,,,,,,,8.664e-35,,,,,,2.253e-37,,,,,9.431e-19,1.864e-24,,,,
199.434,3.675e-18,,,,,,,,,,,,3.935e-34,,,,,,9.854e-37,,,,,3.675e-18,6.752e-24,,,,
199.444,1.401e-17,,,,,,,,,,,,1.748e-33,,,,,,4.215e-36,,,,,1.401e-17,2.391e-23,,,,
199.454,5.221e-17,,,,,,,,,,,,7.593e-33,,,,,,1.763e-35,,,,,5.221e-17,8.283e-23,,,,
199.464,1.903e-16,,,,,,,,,,,,3.225e-32,,,,,,7.213e-35,,,,,1.903e-16,2.805e-22,,,,
199.474,6.782e-16,,,,,,,,,,,,1.340e-31,,,,,,2.885e-34,,,,,6.782e-16,9.293e-22,,,,
199.483,2.089e-15,,,,,,,,,,,,4.736e-31,,,,,,9.858e-34,,,,,2.089e-15,2.679e-21,,,,
199.493,7.135e-15,,,,,,,,,,,,1.886e-30,,,,,,3.780e-33,,,,,7.135e-15,8.504e-21,,,,
199.503,2.384e-14,,,,,,,,,,,,7.342e-30,,,,,,1.417e-32,,,,,2.384e-14,2.640e-20,,,,
199.513,7.787e-14,,,,,,,,,,,,2.795e-29,,,,,,5.197e-32,,,,,7.787e-14,8.015e-20,,,,
199.523,2.488e-13,,,,,,,,,,,,1.041e-28,,,,,,1.863e-31,,,,,2.488e-13,2.380e-19,,,,
199.533,7.772e-13,,,,,,,,,,,,3.791e-28,,,,,,6.535e-31,,,,,7.772e-13,6.908e-19,,,,
199.543,2.374e-12,,,,,,,,,,,,1.350e-27,,,,,,2.241e-30,,,,,2.374e-12,1.961e-18,,,,
199.553,7.094e-12,,,,,,,,,,,,4.701e-27,,,,,,7.515e-30,,,,,7.094e-12,5.445e-18,,,,
199.563,2.073e-11,,,,,,,,,,,,1.601e-26,,,,,,2.464e-29,,,,,2.073e-11,1.478e-17,,,,
199.573,5.922e-11,,,,,,,,,,,,5.332e-26,,,,,,7.904e-29,,,,,5.922e-11,3.925e-17,,,,
199.583,1.655e-10,,,,,,,,,,,,1.737e-25,,,,,,2.479e-28,,,,,1.655e-10,1.019e-16,,,,
199.593,4.521e-10,,,,,,,,,,,,5.531e-25,,,,,,7.603e-28,,,,,4.521e-10,2.587e-16,,,,
199.603,1.208e-9,,,,,,,,,,,,1.723e-24,,,,,,2.280e-27,,,,,1.208e-9,6.424e-16,,,,
199.613,3.156e-9,,,,,,,,,,,,5.247e-24,,,,,,6.688e-27,,,,,3.156e-9,1.560e-15,,,,
199.623,8.065e-9,,,,,,,,,,,,1.563e-23,,,,,,1.918e-26,,,,,8.065e-9,3.703e-15,,,,
199.633,2.015e-8,,,,,,,,,,,,4.553e-23,,,,,,5.381e-26,,,,,2.015e-8,8.599e-15,,,,
199.643,4.924e-8,,,,,,,,,,,,1.297e-22,,,,,,1.476e-25,,,,,4.924e-8,1.952e-14,,,,
199.653,1.177e-7,,,,,,,,,,,,3.613e-22,,,,,,3.960e-25,,,,,1.177e-7,4.335e-14,,,,
199.663,2.750e-7,,,,,,,,,,,,9.844e-22,,,,,,1.039e-24,,,,,2.750e-7,9.414e-14,,,,
199.673,6.284e-7,,,,,,,,,,,,2.623e-21,,,,,,2.665e-24,,,,,6.284e-7,1.999e-13,,,,
199.683,1.404e-6,,,,,,,,,,,,6.833e-21,,,,,,6.686e-24,,,,,1.404e-6,4.151e-13,,,,
199.692,2.841e-6,,,,,,,,,,,,1.587e-20,,,,,,1.501e-23,,,,,2.841e-6,7.862e-13,,,,
199.702,6.085e-6,,,3.517e-65,,,,,,,,,3.963e-20,,,,,,3.609e-23,,,,,6.085e-6,1.565e-12,,,,
199.712,1.274e-5,,,1.723e-64,,,,,,,,,9.678e-20,,,,,,8.487e-23,,,,,1.274e-5,3.046e-12,,,,
199.722,2.611e-5,,,8.251e-64,,,,,,,,,2.311e-19,,,,,,1.952e-22,,,,,2.611e-5,5.798e-12,,,,
199.732,5.229e-5,,,3.865e-63,,,,,,,,,5.398e-19,,,,,,4.389e-22,,,,,5.229e-5,1.079e-11,,,,
199.742,1.024e-4,,,1.771e-62,,,,,,,,,1.233e-18,,,,,,9.652e-22,,,,,1.024e-4,1.965e-11,,,,
199.752,1.962e-4,,,7.934e-62,,,,,,,,,2.753e-18,,,,,,2.076e-21,,,,,1.962e-4,3.500e-11,,,,
199.762,3.675e-4,,,3.476e-61,,,5.079e-54,,,,,,6.014e-18,,,,,,4.365e-21,,,,,3.675e-4,6.096e-11,,,,
199.772,6.732e-4,,,1.490e-60,,,2.513e-53,,,,,5.116e-27,1.285e-17,,,,,,8.978e-21,,,,,6.732e-4,1.038e-10,,,,
199.782,1.206e-3,,,6.244e-60,,,1.216e-52,,,,,2.525e-26,2.683e-17,,,,,,1.806e-20,,,,,1.206e-3,1.730e-10,,,,
199.792,2.113e-3,,,2.559e-59,,,5.753e-52,,,,,1.219e-25,5.481e-17,,,,,,3.552e-20,,,,,2.113e-3,2.820e-10,,,,
199.802,3.619e-3,,,1.026e-58,,,2.662e-51,,,,,5.754e-25,1.095e-16,,,,,,6.832e-20,,,,,3.619e-3,4.497e-10,,,,
199.812,6.063e-3,,,4.023e-58,,,1.205e-50,,,,,2.656e-24,2.139e-16,,,,,,1.285e-19,,,,,6.063e-3,7.016e-10,,,,
199.822,9.933e-3,,,1.543e-57,,,5.334e-50,,,,,1.200e-23,4.086e-16,,,,,,2.364e-19,,,,,9.933e-3,1.071e-9,,,,
199.832,1.591e-2,,,5.785e-57,,,2.309e-49,,,,,5.297e-23,7.634e-16,,,,,,4.252e-19,,,,,1.591e-2,1.601e-9,,,,
199.842,2.493e-2,,,2.122e-56,,,9.778e-49,,,,,2.288e-22,1.395e-15,,,,,,7.480e-19,,,,,2.493e-2,2.342e-9,,,,
199.852,3.820e-2,,,7.611e-56,,,4.049e-48,,,,,9.665e-22,2.492e-15,,,,,,1.287e-18,,,,,3.820e-2,3.355e-9,,,,
199.862,5.723e-2,,,2.670e-55,,,1.640e-47,,,,,3.993e-21,4.354e-15,,,,,,2.165e-18,,,,,5.723e-2,4.709e-9,,,,
199.872,8.385e-2,,,9.161e-55,,,6.495e-47,,,,,1.613e-20,7.439e-15,,,,,,3.561e-18,,,,,8.385e-2,6.478e-9,,,,
199.882,1.201e-1,,,3.074e-54,,,2.516e-46,,,,,6.375e-20,1.243e-14,,,,,,5.730e-18,,,,,1.201e-1,8.740e-9,,,,
199.892,1.683e-1,,,1.009e-53,,,9.532e-46,,,,,2.464e-19,2.031e-14,,,,,,9.015e-18,,,,,1.683e-1,1.157e-8,,,,
199.901,2.237e-1,,,2.885e-53,,,3.101e-45,,,,,8.161e-19,3.100e-14,,,,,,1.330e-17,,,,,2.237e-1,1.467e-8,,,,
199.911,3.004e-1,,,9.079e-53,,,1.126e-44,,,,,3.023e-18,4.856e-14,,,,,,2.005e-17,,,,,3.004e-1,1.880e-8,,,,
199.921,3.945e-1,,,2.794e-52,,,4.001e-44,,,,,1.095e-17,7.437e-14,,,,,,2.957e-17,,,,,3.945e-1,2.371e-8,,,,
199.931,5.067e-1,,,8.412e-52,,,1.390e-43,,,,,3.882e-17,1.114e-13,,,,,,4.265e-17,,,,,5.067e-1,2.948e-8,,,,
199.941,6.363e-1,,,2.477e-51,,,4.721e-43,,,,,1.345e-16,1.632e-13,,,,,,6.015e-17,,,,,6.363e-1,3.620e-8,,,,
199.951,7.815e-1,,,7.135e-51,,,1.569e-42,,,,,4.560e-16,2.337e-13,,,,,,8.296e-17,,,,,7.815e-1,4.394e-8,,,,
199.961,9.386e-1,,,2.010e-50,,,5.098e-42,,,,,1.512e-15,3.274e-13,,,,,,1.119e-16,,,,,9.386e-1,5.284e-8,,,,
199.971,1.102e+0,,,5.541e-50,,,1.620e-41,,,,,4.901e-15,4.485e-13,,,,,,1.476e-16,,,,,1.102e+0,6.303e-8,,,,
199.981,1.266e+0,,,1.494e-49,,,5.036e-41,,,,,1.554e-14,6.008e-13,,,,,,1.903e-16,,,,,1.266e+0,7.467e-8,,,,
199.991,1.422e+0,,,3.944e-49,,,1.531e-40,,,,,4.819e-14,7.871e-13,,,,,,2.401e-16,,,,,1.422e+0,8.794e-8,,,,
200.001,1.562e+0,,,1.018e-48,,,4.552e-40,,,,,1.462e-13,1.008e-12,,,,,,2.962e-16,,,,,1.562e+0,1.030e-7,,,,
200.011,1.678e+0,,,2.574e-48,,,1.324e-39,,,,,4.335e-13,1.263e-12,,,,,,3.572e-16,,,5.045e-32,,1.678e+0,1.199e-7,,,,
200.021,1.762e+0,,,6.367e-48,,,3.764e-39,,,,,1.258e-12,1.548e-12,,,,,,4.214e-16,,,2.491e-31,,1.762e+0,1.387e-7,,,,
200.031,1.810e+0,,,1.542e-47,,,1.047e-38,,,,,3.568e-12,1.855e-12,,,,,,4.862e-16,,,1.203e-30,,1.810e+0,1.593e-7,,,,
200.041,1.818e+0,,,3.659e-47,,,2.847e-38,,,,,9.901e-12,2.173e-12,,,,,,5.485e-16,,,5.740e-30,,1.818e+0,1.813e-7,,,,
200.051,1.786e+0,,,8.505e-47,,,7.575e-38,,,,,2.687e-11,2.490e-12,,,,,,6.052e-16,,,2.654e-29,,1.786e+0,2.043e-7,,,,
200.061,1.716e+0,,,1.937e-46,,,1.971e-37,,,,,7.131e-11,2.791e-12,,,,,,6.531e-16,,,1.200e-28,,1.716e+0,2.276e-7,,,,
200.071,1.612e+0,,,4.327e-46,,,5.014e-37,,,,,1.851e-10,3.058e-12,,,,,,6.892e-16,,,5.306e-28,,1.612e+0,2.503e-7,,,,
200.081,1.480e+0,,,9.482e-46,,,1.248e-36,,,,,4.699e-10,3.277e-12,,,,,,7.115e-16,,,2.295e-27,,1.480e+0,2.715e-7,,,,
200.091,1.330e+0,,,2.040e-45,,,3.037e-36,,,,,1.167e-9,3.434e-12,,,,,,7.184e-16,,,9.711e-27,,1.330e+0,2.902e-7,,,,
200.101,1.168e+0,,,4.312e-45,,,7.229e-36,,,,,2.833e-9,3.520e-12,,,,,,7.098e-16,,,4.019e-26,,1.168e+0,3.054e-7,,,,
200.11,1.020e+0,,,8.337e-45,,,1.548e-35,,,,,6.177e-9,3.530e-12,,,,,,6.893e-16,,,1.416e-25,,1.020e+0,3.154e-7,,,,
200.12,8.589e-1,,,1.708e-44,,,3.533e-35,,,,,1.438e-8,3.468e-12,,,,,,6.539e-16,,,5.617e-25,,8.589e-1,3.221e-7,,,,
200.13,7.072e-1,,,3.449e-44,,,7.884e-35,,,,,3.274e-8,3.331e-12,,,,,,6.077e-16,,,2.180e-24,,7.072e-1,3.240e-7,,,,
200.14,5.694e-1,,,6.868e-44,,,1.721e-34,,,,,7.289e-8,3.129e-12,,,,,,5.539e-16,,,8.275e-24,,5.694e-1,3.213e-7,,,,
200.15,4.484e-1,,,1.350e-43,,,3.673e-34,,,,,1.587e-7,2.875e-12,,,,,,4.960e-16,,,3.072e-23,,4.484e-1,3.146e-7,,,,
200.16,3.453e-1,,,2.624e-43,,,7.668e-34,,,,,3.380e-7,2.583e-12,,,,,,4.373e-16,,,1.116e-22,,3.453e-1,3.052e-7,,,,
200.17,2.600e-1,,,5.042e-43,,,1.566e-33,,,,,7.041e-7,2.269e-12,,,,,,3.812e-16,,,3.962e-22,,2.600e-1,2.945e-7,,,,
200.18,1.914e-1,,,9.593e-43,,,3.126e-33,,,,,1.434e-6,1.950e-12,,,,,,3.302e-16,,,1.377e-21,,1.914e-1,2.842e-7,,,,
200.19,1.379e-1,,,1.807e-42,,,6.105e-33,,,,,2.857e-6,1.638e-12,,,,,,2.862e-16,,,4.678e-21,,1.379e-1,2.764e-7,,,,
200.2,9.709e-2,,,3.372e-42,,,1.166e-32,,,,,5.568e-6,1.346e-12,,,,,,2.505e-16,,,1.555e-20,,9.708e-2,2.731e-7,,,,
200.21,6.687e-2,,,6.228e-42,,,2.178e-32,,,,,1.061e-5,1.082e-12,,,,,,2.236e-16,,,5.054e-20,,6.686e-2,2.763e-7,,,,
200.22,4.504e-2,,,1.138e-41,,,3.979e-32,,,,,1.977e-5,8.498e-13,,,,,,2.050e-16,,,1.607e-19,,4.502e-2,2.878e-7,,,,
200.23,2.969e-2,,,2.058e-41,,,7.110e-32,,,,,3.604e-5,6.531e-13,,,,,,1.940e-16,,,4.999e-19,,2.965e-2,3.089e-7,,,,
200.24,1.916e-2,,,3.675e-41,,,1.242e-31,,,,,6.425e-5,4.908e-13,,,,,,1.892e-16,,,1.521e-18,,1.910e-2,3.406e-7,,,,
200.25,1.214e-2,,,6.478e-41,,,2.123e-31,,,,,1.120e-4,3.607e-13,,,,,,1.889e-16,,,4.525e-18,,1.203e-2,3.829e-7,,,,
200.26,7.598e-3,,,1.126e-40,,,3.549e-31,,,,,1.910e-4,2.592e-13,,,,,,1.914e-16,,,1.317e-17,,7.407e-3,4.352e-7,,,,
200.27,4.780e-3,,,1.927e-40,,,5.801e-31,,,,,3.185e-4,1.822e-13,,,,,,1.950e-16,,,3.750e-17,,4.461e-3,4.961e-7,,,,
200.28,3.147e-3,,,3.244e-40,,,9.274e-31,,,,,5.195e-4,1.252e-13,,,,,,1.982e-16,,,1.044e-16,,2.627e-3,5.632e-7,,,,
200.29,2.343e-3,,,5.370e-40,,,1.450e-30,,,,,8.286e-4,8.415e-14,,,,,,1.996e-16,,,2.844e-16,,1.513e-3,6.335e-7,,,,
200.3,2.146e-3,,,8.729e-40,,,2.217e-30,,,,,1.293e-3,5.531e-14,,,,,,1.982e-16,,,7.577e-16,,8.523e-4,7.033e-7,,,,
200.309,2.392e-3,,,1.330e-39,,,3.189e-30,,,,,1.893e-3,3.720e-14,,,,,,1.943e-16,,,1.796e-15,,4.988e-4,7.625e-7,,,,
200.319,3.100e-3,,,2.086e-39,,,4.674e-30,,,,,2.830e-3,2.343e-14,,,,,,1.867e-16,,,4.589e-15,,2.693e-4,8.207e-7,,,,
200.329,4.283e-3,,,3.206e-39,,,6.701e-30,,,,,4.140e-3,1.444e-14,,,,,,1.758e-16,,,1.147e-14,,1.422e-4,8.678e-7,,,,
