wavelength,intensity
198.55,1.961e-29
198.56,5.078e-29
198.58,3.3420000000000003e-28
198.6,2.142e-27
198.61,5.3709999999999996e-27
198.63,3.336e-26
198.65,2.006e-25
198.66,4.872e-25
198.68,2.818e-24
198.7,1.589e-23
198.71,3.737e-23
198.73,2.027e-22
198.75,1.072e-21
198.76,2.441e-21
198.78,1.242e-20
198.79,2.774e-20
198.81,1.358e-19
198.83,6.478e-19
198.84,1.401e-18
198.86,6.433e-18
198.88,2.879e-17
198.89,6.031e-17
198.91,2.597e-16
198.93,1.09e-15
198.94,2.211e-15
198.96,8.932e-15
198.98,3.517e-14
198.99,6.911e-14
199.01,2.619e-13
199.03,9.674e-13
199.04,1.842e-12
199.06,6.547e-12
199.08,2.269e-11
199.09,4.185e-11
199.11,1.396e-10
199.12,2.526e-10
199.14,8.115e-10
199.16,2.542e-09
199.17,4.456e-09
199.19,1.344e-08
199.21,3.951e-08
199.22,6.712e-08
199.24,1.901e-07
199.26,5.249e-07
199.27,8.641e-07
199.29,2.299e-06
199.31,5.964e-06
199.32,9.518e-06
199.34,2.379e-05
199.36,5.802e-05
199.37,8.976e-05
199.39,0.0002109
199.41,0.0004836
199.42,0.0007256
199.44,0.001604
199.46,0.003458
199.47,0.005033
199.49,0.01046
199.5,0.01495
199.52,0.02998
199.54,0.05868
199.55,0.08136
199.57,0.1536
199.59,0.2831
199.6,0.3809
199.62,0.6772
199.64,1.176
199.65,1.535
199.67,2.572
199.69,4.206
199.7,5.332
199.72,8.415
199.74,12.97
199.75,15.96
199.77,23.73
199.79,34.47
199.8,41.17
199.82,57.69
199.84,78.93
199.85,91.51
199.87,120.8
199.88,137.5
199.9,175.2
199.92,217.7
199.93,240.6
199.95,288.5
199.97,337.6
199.98,361.9
200.0,408.4
200.02,449.8
200.03,467.8
200.05,496.6
200.07,514.5
200.08,518.9
200.1,518.2
200.12,504.9
200.13,493.7
200.15,463.6
200.17,424.8
200.18,402.9
200.2,355.9
200.22,307.0
200.23,282.5
200.25,235.3
200.26,212.9
200.28,171.6
200.3,135.6
200.31,119.8
200.33,92.6
200.35,70.97
200.36,62.1
200.38,47.8
200.4,37.48
200.41,33.57
200.43,27.82
200.45,24.33
200.46,23.29
200.48,22.39
200.5,22.92
200.51,23.7
200.53,26.27
200.55,30.3
200.56,32.91
200.58,39.37
200.59,43.25
200.61,52.36
200.63,63.22
200.64,69.25
200.66,82.33
200.68,96.41
200.69,103.6
200.71,118.1
200.73,132.0
200.74,138.5
200.76,150.4
200.78,160.1
200.79,164.2
200.81,170.6
200.83,174.9
200.84,176.4
200.86,178.7
200.88,180.7
200.89,182.0
200.91,185.7
200.93,191.6
200.94,195.7
200.96,206.3
200.97,212.8
200.99,228.3
201.01,246.2
201.02,255.7
201.04,275.1
201.06,293.5
201.07,301.9
201.09,315.8
201.11,325.0
201.12,327.5
201.14,327.8
201.16,322.0
201.17,316.9
201.19,302.8
201.21,284.5
201.22,274.3
201.24,252.5
201.26,230.4
201.27,219.7
201.29,199.6
201.31,182.2
201.32,174.8
201.34,162.6
201.35,158.0
201.37,151.7
201.39,149.2
201.4,149.3
201.42,152.0
201.44,157.8
201.45,161.7
201.47,171.3
201.49,182.7
201.5,189.0
201.52,202.2
201.54,215.7
201.55,222.3
201.57,235.1
201.59,246.6
201.6,251.7
201.62,260.6
201.64,267.6
201.65,270.5
201.67,275.0
201.69,278.6
201.7,280.1
201.72,283.2
201.73,284.9
201.75,289.1
201.77,294.6
201.78,297.9
201.8,305.7
201.82,314.8
201.83,319.7
201.85,329.8
201.87,339.5
201.88,344.0
201.9,351.6
201.92,356.9
201.93,358.5
201.95,359.4
201.97,357.0
201.98,354.7
202.0,347.8
202.02,338.2
202.03,332.6
202.05,319.8
202.06,312.8
202.08,297.7
202.1,281.4
202.11,272.8
202.13,255.1
202.15,236.8
202.16,227.5
202.18,209.1
202.2,191.3
202.21,183.1
202.23,168.6
202.25,158.2
202.26,155.2
202.28,155.1
202.3,165.3
202.31,175.4
202.33,207.7
202.35,259.7
202.36,294.3
202.38,383.6
202.4,502.6
202.41,574.1
202.43,742.5
202.44,839.4
202.46,1058.0
202.48,1305.0
202.49,1437.0
202.51,1714.0
202.53,1996.0
202.54,2134.0
202.56,2398.0
202.58,2628.0
202.59,2727.0
202.61,2881.0
202.63,2971.0
202.64,2989.0
202.66,2970.0
202.68,2880.0
202.69,2810.0
202.71,2626.0
202.73,2396.0
202.74,2267.0
202.76,1995.0
202.78,1714.0
202.79,1574.0
202.81,1307.0
202.82,1180.0
202.84,948.2
202.86,746.7
202.87,658.1
202.89,505.4
202.91,383.5
202.92,333.1
202.94,251.1
202.96,190.6
202.97,167.1
202.99,131.3
203.01,107.6
203.02,99.47
203.04,89.16
203.06,85.51
203.07,85.81
203.09,90.1
203.11,98.77
203.12,104.6
203.14,118.7
203.16,135.6
203.17,144.9
203.19,164.4
203.2,174.3
203.22,193.8
203.24,211.8
203.25,219.8
203.27,233.1
203.29,242.2
203.3,245.0
203.32,246.8
203.34,243.7
203.35,240.5
203.37,231.2
203.39,219.2
203.4,212.6
203.42,199.0
203.44,186.2
203.45,180.5
203.47,171.3
203.49,165.7
203.5,164.4
203.52,165.1
203.53,167.1
203.55,174.2
203.57,184.7
203.58,191.1
203.6,205.1
203.62,219.9
203.63,227.2
203.65,240.8
203.67,252.1
203.68,256.5
203.7,262.6
203.72,264.6
203.73,263.9
203.75,259.7
203.77,251.8
203.78,246.8
203.8,235.4
203.82,223.4
203.83,217.5
203.85,207.4
203.87,200.4
203.88,198.5
203.9,198.8
203.91,201.2
203.93,210.8
203.95,226.7
203.96,236.9
203.98,261.3
204.0,289.7
204.01,304.9
204.03,335.7
204.05,365.1
204.06,378.6
204.08,401.6
204.1,417.9
204.11,423.0
204.13,426.6
204.15,421.3
204.16,415.3
204.18,397.5
204.2,373.2
204.21,359.2
204.23,328.8
204.25,297.0
204.26,281.3
204.28,251.1
204.29,237.0
204.31,211.6
204.33,190.3
204.34,181.2
