Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit,,
03116_95_random,0.5454545454545454,0,,0.0690990871637334,,
03124_95_random,1,0.2,Yb,0.7037403535077378,,置信度本身低，并且波动大
03130_95_random,0.6,0,,0.0566143067358865,,
03134_95_random,0.5714285714285714,0,,0.3495401400487744,,
070036_95_random,0.5,0.2,Tb,0.5256570635156456,,本身置信度低
070099_95_random,0.5,0.75,Eu;Yb;Ce,4.22628235264794,,Yb，Ce本身置信度低，Eu的置信度波动大
070101_95_random,0.4,0,,0.2337691587087221,,
070159_95_random,0.5714285714285714,0,,0.1736322453902737,,
070171_95_random,0.3333333333333333,0.3333333333333333,Yb,0.6471875451894306,,本身置信度低，但是不随温度波动
07103_95_random,0.3,0,,0.4815004888059249,,
07105_95_random,0.4,0,,0.113926531449988,,
07106_95_random,0.8571428571428571,0,,0.4059884809769006,,
07107_95_random,1,0.5,Yb,4.999999999999999,,本身置信度较低
07111_95_random,0.3333333333333333,0,,0.1797657885202432,,
07121_95_random,0.7777777777777778,0,,0.0421172751519782,,
07122_95_random,0.14285714285714285,0,,2.0550901324370665,,
07125_95_random,0.6666666666666666,0.3333333333333333,Gd,2.2047919653395867,,这个没办法
07141_95_random,0.3333333333333333,0,,1.214152725525104,,
07145_95_random,0.2222222222222222,0,,0.1919059367747426,,
07405_95_random,0.42857142857142855,0,,0.2697172091863056,,
07407_95_random,0.375,0,,0.8558065450599972,,
07840_95_random,0.3333333333333333,0,,0.0886123759608239,,
