spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0.9876,0.0000,0.9848,0.0000,0.9930,0.8587,0.0000,0.0000,0.0635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03124_95_random,0.0000,0.9826,0.9773,0.0000,0.9923,0.8160,0.9680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03130_95_random,0.9838,0.7334,0.9796,0.0000,0.0000,0.4776,0.0000,0.9411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03134_95_random,0.0000,0.9572,0.9863,0.0000,0.9244,0.0000,0.7956,0.0000,0.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.9502
070036_95_random,0.0000,0.0000,0.0000,0.0000,0.9501,0.8064,0.0000,0.9599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070099_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070101_95_random,0.9829,0.9363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070159_95_random,0.0000,0.0000,0.9783,0.0000,0.8737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070171_95_random,0.0000,0.0000,0.9268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07103_95_random,0.0000,0.8276,0.0000,0.9832,0.0000,0.1976,0.0000,0.9225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07105_95_random,0.6908,0.0000,0.9701,0.0000,0.0000,0.9342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07106_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.8039,0.6882,0.0000,0.0000,0.0000,0.7521,0.0000,0.0000,0.0000,0.0000
07107_95_random,0.9869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07111_95_random,0.0000,0.9516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6114,0.0000,0.0000,0.0000,0.0000
07121_95_random,0.9853,0.8876,0.0000,0.0000,0.0000,0.8728,0.0921,0.0000,0.0000,0.0000,0.8780,0.0000,0.0000,0.0000,0.0000
07122_95_random,0.9755,0.0000,0.0000,0.0000,0.9104,0.8488,0.0000,0.8844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07125_95_random,0.0000,0.0000,0.0000,0.0000,0.9830,0.3073,0.9283,0.8171,0.0000,0.9728,0.0000,0.0000,0.0000,0.0000,0.0000
07141_95_random,0.9774,0.0000,0.0000,0.5281,0.9713,0.0000,0.0000,0.8979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07145_95_random,0.0000,0.0000,0.0000,0.0000,0.9604,0.0000,0.0000,0.0000,0.9276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07405_95_random,0.0000,0.0000,0.0000,0.0000,0.9145,0.8352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07407_95_random,0.9758,0.9559,0.0000,0.0000,0.0000,0.7366,0.0000,0.0000,0.0000,0.0000,0.1398,0.0000,0.0000,0.0000,0.0000
07840_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.9145,0.4733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
