wavelength,intensity
298.82,7.057e-25
298.85,1.2719999999999999e-23
298.87,8.965e-23
298.9,1.441e-21
298.92,9.019e-21
298.95,1.285e-19
298.97,7.254e-19
299.0,9.17e-18
299.02,4.783e-17
299.05,5.37e-16
299.07,2.589e-15
299.1,2.584e-14
299.12,1.152e-13
299.15,1.024e-12
299.17,4.227e-12
299.2,3.348e-11
299.22,1.28e-10
299.25,9.051e-10
299.27,3.211e-09
299.29,1.105e-08
299.32,6.677e-08
299.34,2.134e-07
299.37,1.154e-06
299.39,3.428e-06
299.42,1.66e-05
299.44,4.582e-05
299.47,0.0001989
299.49,0.0005101
299.52,0.001983
299.54,0.004727
299.57,0.01645
299.59,0.03641
299.62,0.1133
299.64,0.2327
299.67,0.6471
299.69,1.232
299.72,3.056
299.74,5.391
299.77,11.92
299.79,19.47
299.82,38.35
299.84,57.99
299.87,101.8
299.89,142.5
299.92,223.3
299.94,290.2
299.97,407.4
299.99,493.4
300.02,626.0
300.04,711.6
300.07,827.4
300.09,892.8
300.12,969.7
300.14,1006.0
300.16,1031.0
300.19,1045.0
300.21,1038.0
300.24,1002.0
300.26,960.6
300.29,871.4
300.31,796.9
300.34,669.9
300.36,581.1
300.39,453.1
300.41,377.1
300.44,285.3
300.46,241.8
300.49,205.4
300.51,200.1
300.54,218.5
300.56,246.0
300.59,304.8
300.61,351.9
300.64,427.1
300.66,475.9
300.69,540.4
300.71,574.6
300.74,609.2
300.76,620.8
300.79,621.6
300.81,612.3
300.84,586.5
300.86,562.7
300.89,519.6
300.91,487.0
300.94,433.9
300.96,397.0
300.99,341.7
301.01,306.3
301.03,273.3
301.06,230.0
301.08,206.0
301.11,176.8
301.13,161.2
301.16,141.8
301.18,130.3
301.21,113.6
301.23,102.2
301.26,85.02
301.28,73.73
301.31,58.08
301.33,49.09
301.36,38.54
301.38,33.74
301.41,29.97
301.43,29.65
301.46,32.05
301.48,35.27
301.51,41.9
301.53,47.15
301.56,55.74
301.58,61.69
301.61,70.78
301.63,77.07
301.66,87.62
301.68,96.27
301.71,114.4
301.73,132.5
301.76,175.5
301.78,220.1
301.81,323.4
301.83,424.7
301.86,639.2
301.88,829.9
301.9,1060.0
301.93,1472.0
301.95,1777.0
301.98,2243.0
302.0,2529.0
302.03,2870.0
302.05,3010.0
302.08,3057.0
302.1,2975.0
302.13,2702.0
302.15,2441.0
302.18,1984.0
302.2,1667.0
302.23,1222.0
302.25,963.7
302.28,654.4
302.3,502.6
302.33,350.5
302.35,292.8
302.38,257.9
302.4,261.3
302.43,293.9
302.45,327.6
302.48,385.8
302.5,423.7
302.53,470.1
302.55,489.3
302.58,495.0
302.6,482.3
302.63,440.2
302.65,400.0
302.68,329.0
302.7,279.4
302.73,209.6
302.75,169.6
302.77,136.8
302.8,102.7
302.82,90.01
302.85,84.79
302.87,89.03
302.9,103.8
302.92,117.2
302.95,138.7
302.97,152.1
303.0,167.6
303.02,173.7
303.05,175.5
303.07,171.8
303.1,159.9
303.12,148.6
303.15,128.5
303.17,114.1
303.2,92.65
303.22,79.18
303.25,61.2
303.27,51.03
303.3,38.83
303.32,32.75
303.35,26.67
303.37,24.6
303.4,24.51
303.42,26.65
303.45,33.92
303.47,42.17
303.5,61.24
303.52,79.46
303.55,116.6
303.57,148.2
303.6,205.1
303.62,247.5
303.64,291.3
303.67,353.3
303.69,387.9
303.72,422.7
303.74,431.5
303.77,421.5
303.79,400.4
303.82,352.0
303.84,313.0
303.87,251.9
303.89,213.6
303.92,165.1
303.94,140.4
303.97,115.8
303.99,107.1
304.02,103.5
304.04,106.0
304.07,114.2
304.09,121.1
304.12,131.0
304.14,136.1
304.17,140.0
304.19,139.5
304.22,133.8
304.24,127.0
304.27,113.4
304.29,102.9
304.32,86.75
304.34,76.64
304.37,63.83
304.39,57.5
304.42,52.19
304.44,51.96
304.47,57.66
304.49,66.37
304.51,79.91
304.54,111.2
304.56,140.5
304.59,198.0
304.61,244.9
304.64,324.3
304.66,379.5
304.69,456.8
304.71,499.0
304.74,539.3
304.76,547.2
304.79,529.2
304.81,499.0
304.84,433.5
304.86,382.2
304.89,303.6
304.91,255.3
304.94,194.8
304.96,164.0
304.99,131.7
305.01,117.9
305.04,105.1
305.06,99.62
305.09,92.94
305.11,88.32
305.14,80.4
305.16,74.6
305.19,65.97
305.21,60.91
305.24,55.29
305.26,53.19
305.29,52.63
305.31,53.82
305.34,57.44
305.36,60.74
305.39,66.59
305.41,71.03
305.43,76.05
305.46,85.43
305.48,93.75
305.51,111.2
305.53,127.5
305.56,160.8
305.58,189.6
305.61,242.7
305.63,283.7
305.66,350.5
305.68,396.0
305.71,461.2
305.73,500.3
305.76,548.9
305.78,573.5
305.81,597.3
305.83,603.8
305.86,598.7
305.88,584.7
305.91,547.8
305.93,513.1
305.96,448.8
305.98,400.5
306.01,325.8
306.03,278.1
306.06,214.9
306.08,180.2
306.11,140.8
306.13,122.3
306.16,103.8
306.18,95.79
306.21,87.06
306.23,81.99
306.26,73.98
306.28,68.09
306.3,61.91
306.33,52.84
306.35,47.61
306.38,42.19
306.4,40.84
306.43,43.24
306.45,48.36
306.48,62.24
306.5,76.13
306.53,104.4
306.55,128.1
306.58,169.5
306.6,199.6
306.63,244.3
306.65,270.9
306.68,301.1
306.7,312.2
306.73,312.8
306.75,302.2
306.78,272.2
306.8,245.2
306.83,199.0
306.85,167.6
306.88,123.8
306.9,98.66
306.93,68.53
306.95,53.6
306.98,38.16
307.0,31.69
307.03,26.15
307.05,24.37
307.08,23.34
307.1,23.24
307.13,23.42
307.15,23.6
307.17,23.83
307.2,24.38
307.22,25.09
307.25,27.26
307.27,30.03
307.3,37.96
307.32,47.59
307.35,74.12
307.37,105.4
307.4,188.8
307.42,283.5
307.45,522.7
307.47,778.6
307.5,1376.0
307.52,1964.0
307.55,3205.0
307.57,4305.0
307.6,6366.0
307.62,7976.0
307.65,10590.0
307.67,12320.0
307.7,14620.0
307.72,15780.0
307.75,16700.0
307.77,16690.0
307.8,15750.0
307.82,14590.0
307.85,12310.0
307.87,10620.0
307.9,8148.0
307.92,6713.0
307.95,5092.0
307.97,4444.0
308.0,4186.0
308.02,4489.0
308.04,5147.0
308.07,6699.0
308.09,8011.0
308.12,10170.0
308.14,11570.0
308.17,13330.0
308.19,14120.0
308.22,14550.0
308.24,14290.0
308.27,13140.0
308.29,11970.0
308.32,9817.0
308.34,8282.0
308.37,6065.0
308.39,4746.0
308.42,3107.0
308.44,2258.0
308.47,1325.0
308.49,896.8
308.52,474.9
308.54,301.5
308.57,147.3
308.59,90.77
308.62,46.28
308.64,32.74
308.67,25.4
308.69,25.47
308.72,29.74
308.74,34.65
308.77,45.69
308.79,57.01
308.82,85.36
308.84,117.5
308.87,201.6
308.89,296.5
308.91,440.1
308.94,795.6
308.96,1171.0
308.99,2043.0
309.01,2904.0
309.04,4754.0
309.06,6432.0
309.09,9695.0
309.11,12360.0
309.14,16940.0
309.16,20200.0
309.19,24960.0
309.21,27730.0
309.24,30750.0
309.26,31740.0
309.29,31490.0
309.31,30170.0
309.34,26750.0
309.36,23790.0
309.39,18890.0
309.41,15650.0
309.44,11280.0
309.46,8873.0
309.49,6159.0
309.51,4944.0
309.54,3903.0
309.56,3627.0
309.59,3638.0
309.61,3810.0
309.64,4132.0
309.66,4303.0
309.69,4392.0
309.71,4311.0
309.74,3976.0
309.76,3635.0
309.78,3231.0
309.81,2573.0
309.83,2144.0
309.86,1573.0
309.88,1261.0
309.91,907.8
309.93,744.4
309.96,587.1
309.98,525.6
310.01,472.8
310.03,451.3
310.06,424.1
310.08,403.9
310.11,367.0
310.13,338.2
310.16,291.4
310.18,260.3
310.21,218.3
310.23,195.9
310.26,173.9
310.28,168.3
310.31,174.0
310.33,186.6
310.36,215.6
310.38,238.9
310.41,273.9
310.43,293.7
310.46,312.6
310.48,315.9
310.51,305.4
310.53,288.9
310.56,253.1
310.58,224.5
310.61,179.1
310.63,149.8
310.66,110.3
310.68,87.84
310.7,68.88
310.73,46.69
310.75,35.59
310.78,23.48
310.8,17.83
310.83,12.18
310.85,9.934
310.88,8.482
310.9,8.69
310.93,10.74
310.95,13.28
310.98,18.88
311.0,23.77
311.03,32.53
311.05,39.02
311.08,48.98
311.1,55.2
311.13,62.93
311.15,66.52
311.18,69.01
311.2,68.67
311.23,65.53
311.25,62.11
311.28,55.94
311.3,51.7
311.33,45.94
311.35,42.8
311.38,39.34
311.4,37.84
311.43,36.68
311.45,36.6
311.48,37.65
311.5,39.37
311.53,44.19
311.55,49.48
311.57,57.01
311.6,73.66
311.62,89.08
311.65,119.7
311.67,145.3
