Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.5,0.5,Yb,3.645214052619176
03124_95_random,1.0,0.5,Yb;Pr,1.218083388333159
03130_95_random,0.375,0.25,Nd,0.6515399835123326
03134_95_random,1.0,0.0,,0.1156471879346435
070036_95_random,0.14285714285714285,0.5,Nd,2.2186780970565083
070099_95_random,0.5,0.5,Er,4.121882108466186
070101_95_random,0.3333333333333333,0.25,Pr,0.586688542926324
070159_95_random,0.8,0.0,,0.1332880582143646
070171_95_random,0.3,0.4,Yb;Nd,0.1932519531360414
07103_95_random,0.4,0.0,,0.097200115858808
07105_95_random,1.0,0.0,,4.999999049999985
07106_95_random,0.625,0.2857142857142857,Sm;Nd,0.3195278902117722
07107_95_random,1.0,0.3333333333333333,Nd,1.830600963421504
07111_95_random,0.4,0.2,Nd,0.1258914014234994
07121_95_random,0.7142857142857143,0.0,,0.1051078949908278
07122_95_random,0.6666666666666666,0.6,Er;Yb;Nd,1.33792008135895
07125_95_random,0.8333333333333334,0.16666666666666666,Sm,0.1379579515272033
07141_95_random,0.42857142857142855,0.25,Yb,0.4100403032830145
07145_95_random,1.0,0.25,Nd,0.592817830533358
07405_95_random,1.0,0.6,Lu;Yb;Nd,1.2576488264044914
07407_95_random,0.4444444444444444,0.2,Nd,0.3251914273880423
07840_95_random,0.3,0.25,Nd,0.1845165345340661
