spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0,0,0,0.9657,0,0.7043,0,0,0,0,0.9013,0,0,0,0,10537.497
03124_95_random,0,0,0,0.9554,0.9697,0.6199,0.9655,0,0,0.979,0,0,0,0,0,11580.093
03130_95_random,0,0,0.9887,0,0,0,0,0,0,0.9747,0,0,0,0,0,9623.0853
03134_95_random,0,0,0,0,0,0,0.9753,0,0,0,0,0,0,0,0,11607.5532
070036_95_random,0.9701,0,0.4695,0,0.9544,0.5872,0.9557,0,0,0,0,0,0.0046,0,0,12173.0948
070099_95_random,0.9928,0,0,0.3411,0,0,0.0014,0,0.6186,0,0,0,0,0,0,11154.5135
070101_95_random,0.754,0.3232,0,0,0,0.5342,0,0.6787,0,0,0,0,0,0,0,7893.9785
070159_95_random,0,0,0.9598,0,0,0,0.6232,0,0,0,0.161,0,0,0,0,11008.1251
070171_95_random,0.9244,0.5765,0,0.2605,0,0.1992,0.7991,0.404,0,0,0.3306,0,0.0005,0,0,17948.2112
07103_95_random,0.9761,0.3847,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,9253.7904
07105_95_random,0,0,0,0,0.5052,0,0,0.8318,0,0,0,0,0,0,0,8241.4471
07106_95_random,0,0.9335,0.5407,0,0.9626,0.6769,0.4488,0.5811,0,0,0.0318,0,0.0143,0,0,9897.431
07107_95_random,0.9706,0.8123,0,0,0.9569,0.4893,0,0.9445,0,0,0,0,0,0,0,12779.9423
07111_95_random,0.9751,0.0001,0.625,0.3778,0,0.5597,0.836,0,0,0,0,0,0.0024,0,0,11589.168
07121_95_random,0,0.8864,0,0.8828,0.995,0,0.6101,0,0,0.937,0,0,0,0,0,11416.9761
07122_95_random,0,0.9607,0.8378,0.3398,0,0.5614,0,0,0.864,0,0,0.5245,0.1375,0,0,12412.9889
07125_95_random,0.974,0,0,0.9118,0,0.6109,0.0743,0.7097,0.1579,0,0.8108,0,0,0,0,9494.8623
07141_95_random,0.978,0.0008,0,0,0.9183,0.5607,0,0.7903,0,0,0,0,0.0004,0,0,11807.0092
07145_95_random,0.9638,0,0,0,0,0,0,0,0,0,0,0.5987,0.0216,0,0,11875.6281
07405_95_random,0.9436,0.0712,0,0,0.1953,0,0.7129,0,0,0,0.6875,0,0.002,0,0.7658,10028.8118
07407_95_random,0.9654,0.8795,0,0.0009,0,0.4812,0,0.1327,0,0,0,0,0,0,0,13136.5164
07840_95_random,0.9137,0,0,0,0,0.4482,0.7729,0,0,0,0,0.8236,0,0,0,14033.0096
