spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0,0,0.9702,0.9584,0.9696,0.7397,0,0.8779,0,0,0,0,0,0,0
03124_95_random,0.9399,0.8744,0.8405,0,0.8854,0.5739,0,0.8126,0,0,0,0,0,0,0
03130_95_random,0,0.9441,0.9665,0.8717,0,0.7118,0,0,0,0,0,0,0,0,0
03134_95_random,0.9767,0.8727,0,0.9555,0.9525,0,0.2045,0.8587,0,0,0,0,0,0,0
070036_95_random,0.9856,0,0,0,0.9665,0,0.369,0.9011,0,0,0.0373,0,0,0,0
070099_95_random,0.9906,0,0,0,0,0,0,0.2723,0,0,0,0,0,0,0
070101_95_random,0,0,0,0,0,0,0,0,0,0.9459,0,0,0,0,0
070159_95_random,0.9338,0,0,0,0,0.5939,0,0.7239,0,0,0,0,0,0,0
070171_95_random,0.9662,0,0,0,0.9622,0,0,0,0,0,0,0,0,0,0
07103_95_random,0,0.8904,0,0.6432,0.9427,0.4943,0,0.5855,0,0,0.3043,0,0,0,0
07105_95_random,0,0,0.6344,0,0,0.1096,0.4727,0.4724,0,0,0,0,0,0,0
07106_95_random,0.973,0.8663,0.9078,0,0.9502,0.5201,0.9564,0.6212,0,0,0.2894,0,0,0,0
07107_95_random,0.951,0.8049,0,0,0,0.6115,0.78,0,0,0,0.0942,0,0,0,0
07111_95_random,0.9802,0.9677,0.6212,0.6771,0.5703,0,0,0,0.5331,0,0,0,0,0,0
07121_95_random,0,0.976,0.5635,0.8993,0.9493,0.4898,0,0.4862,0,0,0,0,0,0,0
07122_95_random,0.9412,0,0,0,0.572,0.7039,0,0,0,0,0,0,0,0,0
07125_95_random,0,0.6973,0.9474,0.7526,0,0.4796,0.3373,0,0,0.8908,0.7935,0,0,0,0
07141_95_random,0,0.9281,0,0.1404,0,0.761,0,0,0,0,0,0,0,0,0
07145_95_random,0,0.9331,0,0.8635,0.829,0.5587,0,0.63,0.6712,0,0,0,0,0,0
07405_95_random,0,0,0,0.7957,0,0.4746,0.0871,0.7841,0.6189,0,0,0,0,0,0
07407_95_random,0.9551,0.6025,0,0,0,0,0,0,0.6244,0,0.4261,0,0,0,0
07840_95_random,0,0,0,0,0,0.5671,0,0,0.5857,0,0,0,0,0,0
