wavelength,intensity
199.13,4.567e-39
199.15,8.721e-38
199.17,3.9710000000000002e-28
199.18,1.75e-27
199.2,3.2270000000000004e-26
199.22,5.555e-25
199.23,2.246e-24
199.25,3.489e-23
199.27,5.06e-22
199.28,1.878e-21
199.3,2.457e-20
199.31,8.664000000000001e-20
199.33,1.023e-18
199.35,1.128e-17
199.36,3.649e-17
199.38,3.629e-16
199.4,3.37e-15
199.41,1.001e-14
199.43,8.388e-14
199.45,6.562e-13
199.46,1.789e-12
199.48,1.263e-11
199.5,8.324e-11
199.51,2.083e-10
199.53,1.239e-09
199.55,6.878e-09
199.56,1.58e-08
199.58,7.915e-08
199.6,3.703e-07
199.61,7.805e-07
199.63,3.294e-06
199.65,1.298e-05
199.66,2.512e-05
199.68,8.933e-05
199.7,0.0002966
199.71,0.0005267
199.73,0.001578
199.75,0.004414
199.76,0.007195
199.78,0.01816
199.8,0.04279
199.81,0.06402
199.83,0.1361
199.85,0.2702
199.86,0.3711
199.88,0.6647
199.9,1.112
199.91,1.401
199.93,2.115
199.94,2.532
199.96,3.448
199.98,4.384
199.99,4.818
200.01,5.527
200.03,5.923
200.04,5.975
200.06,5.779
200.08,5.222
200.09,4.839
200.11,3.951
200.13,3.017
200.14,2.573
200.16,1.783
200.18,1.163
200.19,0.9195
200.21,0.557
200.23,0.3317
200.24,0.2589
200.26,0.1718
200.28,0.139
200.29,0.1361
200.31,0.1467
200.33,0.1687
200.34,0.1807
200.36,0.2018
200.38,0.2136
200.39,0.2149
200.41,0.2073
200.43,0.1879
200.44,0.1749
200.46,0.1464
200.48,0.1204
200.49,0.1109
200.51,0.1043
200.52,0.1097
200.54,0.1448
200.56,0.2229
200.57,0.2825
200.59,0.4509
200.61,0.6936
200.62,0.8441
200.64,1.199
200.66,1.607
200.67,1.82
200.69,2.232
200.71,2.579
200.72,2.711
200.74,2.863
200.76,2.846
200.77,2.773
200.79,2.518
200.81,2.157
200.82,1.956
200.84,1.554
200.86,1.208
200.87,1.072
200.89,0.904
200.91,0.8971
200.92,0.9601
200.94,1.222
200.96,1.652
200.97,1.921
200.99,2.53
201.01,3.165
201.02,3.462
201.04,3.954
201.06,4.235
201.07,4.279
201.09,4.161
201.11,3.798
201.12,3.546
201.14,2.961
201.15,2.654
201.17,2.073
201.19,1.598
201.2,1.415
201.22,1.169
201.24,1.073
201.25,1.072
201.27,1.137
201.29,1.251
201.3,1.311
201.32,1.418
201.34,1.489
201.35,1.51
201.37,1.533
201.39,1.558
201.4,1.583
201.42,1.684
201.44,1.875
201.45,2.008
201.47,2.338
201.49,2.719
201.5,2.91
201.52,3.249
201.54,3.481
201.55,3.542
201.57,3.547
201.59,3.409
201.6,3.3
201.62,3.039
201.64,2.768
201.65,2.646
201.67,2.449
201.69,2.335
201.7,2.313
201.72,2.348
201.73,2.407
201.75,2.619
201.77,2.957
201.78,3.171
201.8,3.665
201.82,4.194
201.83,4.444
201.85,4.855
201.87,5.079
201.88,5.104
201.9,4.98
201.92,4.666
201.93,4.467
201.95,4.054
201.97,3.713
201.98,3.594
202.0,3.478
202.02,3.503
202.03,3.548
202.05,3.643
202.07,3.668
202.08,3.63
202.1,3.427
202.12,3.062
