spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.0000,0.0000,0.8685,0.9034,0.8681,0.7198,0.0000,0.7848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
03124_95_random,0.9923,0.9669,0.9486,0.0000,0.8030,0.6150,0.0000,0.9325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
03130_95_random,0.0000,0.9371,0.9480,0.8653,0.0000,0.7097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
03134_95_random,0.9329,0.8131,0.0000,0.9087,0.8499,0.0000,0.2137,0.7730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
070036_95_random,0.9802,0.0000,0.0000,0.0000,0.9594,0.0000,0.3759,0.8526,0.0000,0.0000,0.0361,0.0000,0.0000,0.0000,0.0000,10000.0000
070099_95_random,0.9944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
070101_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9887,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
070159_95_random,0.9701,0.0000,0.0000,0.0000,0.0000,0.7101,0.0000,0.7948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
070171_95_random,0.9809,0.0000,0.0000,0.0000,0.9014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07103_95_random,0.0000,0.9255,0.0000,0.6570,0.9763,0.4293,0.0000,0.6317,0.0000,0.0000,0.3212,0.0000,0.0000,0.0000,0.0000,10000.0000
07105_95_random,0.0000,0.0000,0.6486,0.0000,0.0000,0.1025,0.4777,0.4836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07106_95_random,0.9678,0.8995,0.9766,0.0000,0.9544,0.4619,0.9248,0.6748,0.0000,0.0000,0.3041,0.0000,0.0000,0.0000,0.0000,10000.0000
07107_95_random,0.9815,0.8438,0.0000,0.0000,0.0000,0.6157,0.7847,0.0000,0.0000,0.0000,0.1054,0.0000,0.0000,0.0000,0.0000,10000.0000
07111_95_random,0.9811,0.9695,0.6228,0.6780,0.5694,0.0000,0.0000,0.0000,0.5332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07121_95_random,0.0000,0.9943,0.5875,0.9072,0.9749,0.4746,0.0000,0.5064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07122_95_random,0.9501,0.0000,0.0000,0.0000,0.5924,0.7121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07125_95_random,0.0000,0.7214,0.8648,0.7575,0.0000,0.3870,0.3044,0.0000,0.0000,0.9729,0.8187,0.0000,0.0000,0.0000,0.0000,10000.0000
07141_95_random,0.0000,0.9118,0.0000,0.1390,0.0000,0.7118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07145_95_random,0.0000,0.9875,0.0000,0.8583,0.8582,0.5947,0.0000,0.7170,0.7233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07405_95_random,0.0000,0.0000,0.0000,0.7563,0.0000,0.5245,0.0871,0.6808,0.5669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
07407_95_random,0.9686,0.5823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6489,0.0000,0.4627,0.0000,0.0000,0.0000,0.0000,10000.0000
07840_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.5496,0.0000,0.0000,0.5896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000
