wavelength,intensity
199.1,7.969000000000001e-36
199.12,1.519e-34
199.13,1.7110000000000002e-28
199.15,3.368e-27
199.17,6.207e-26
199.18,2.599e-25
199.2,4.337e-24
199.22,6.772e-23
199.23,2.6099999999999997e-22
199.25,3.6910000000000004e-21
199.27,4.8840000000000004e-20
199.28,1.733e-19
199.3,2.076e-18
199.31,7.011e-18
199.33,7.606e-17
199.35,7.722e-16
199.36,2.4e-15
199.38,2.207e-14
199.4,1.899e-13
199.41,5.433e-13
199.43,4.232e-12
199.45,3.086e-11
199.46,8.129e-11
199.48,5.366e-10
199.5,3.316e-09
199.51,8.04e-09
199.53,4.498e-08
199.55,2.355e-07
199.56,5.257e-07
199.58,2.492e-06
199.6,1.106e-05
199.61,2.273e-05
199.63,9.13e-05
199.65,0.0003433
199.66,0.0006494
199.68,0.002211
199.7,0.007045
199.71,0.01227
199.73,0.03539
199.75,0.09557
199.76,0.1532
199.78,0.3745
199.8,0.857
199.81,1.265
199.83,2.62
199.85,5.081
199.86,6.902
199.88,12.12
199.9,19.91
199.91,24.9
199.93,37.05
199.94,44.08
199.96,59.38
199.98,74.88
199.99,82.01
200.01,93.63
200.03,100.0
200.04,100.9
200.06,97.6
200.08,88.38
200.09,82.04
200.11,67.28
200.13,51.64
200.14,44.15
200.16,30.72
200.18,20.05
200.19,15.83
200.21,9.49
200.23,5.503
200.24,4.205
200.26,2.629
200.28,2.002
200.29,1.919
200.31,2.03
200.33,2.33
200.34,2.498
200.36,2.795
200.38,2.968
200.39,2.991
200.41,2.903
200.43,2.656
200.44,2.491
200.46,2.129
200.48,1.81
200.49,1.704
200.51,1.678
200.52,1.796
200.54,2.395
200.56,3.628
200.57,4.542
200.59,7.07
200.61,10.62
200.62,12.79
200.64,17.8
200.66,23.43
200.67,26.32
200.69,31.83
200.71,36.34
200.72,38.0
200.74,39.79
200.76,39.32
200.77,38.25
200.79,34.69
200.81,29.78
200.82,27.09
200.84,21.8
200.86,17.37
200.87,15.72
200.89,13.97
200.91,14.69
200.92,16.07
200.94,20.93
200.96,28.43
200.97,33.0
200.99,43.21
201.01,53.74
201.02,58.63
201.04,66.69
201.06,71.28
201.07,71.98
201.09,70.06
201.11,64.11
201.12,59.97
201.14,50.32
201.15,45.22
201.17,35.43
201.19,27.2
201.2,23.92
201.22,19.21
201.24,16.82
201.25,16.36
201.27,16.49
201.29,17.41
201.3,17.96
201.32,18.89
201.34,19.39
201.35,19.46
201.37,19.42
201.39,19.51
201.4,19.78
201.42,21.13
201.44,23.86
201.45,25.78
201.47,30.6
201.49,36.22
201.5,39.08
201.52,44.27
201.54,48.06
201.55,49.23
201.57,49.97
201.59,48.72
201.6,47.51
201.62,44.35
201.64,40.88
201.65,39.25
201.67,36.55
201.69,34.94
201.7,34.63
201.72,35.15
201.73,36.04
201.75,39.18
201.77,44.13
201.78,47.23
201.8,54.29
201.82,61.74
201.83,65.22
201.85,70.9
201.87,73.92
201.88,74.22
201.9,72.4
201.92,67.92
201.93,65.06
201.95,59.04
201.97,53.84
201.98,51.88
202.0,49.52
202.02,49.02
202.03,49.22
202.05,49.81
202.07,49.65
202.08,48.98
202.1,46.12
202.12,41.25
202.13,38.21
202.15,31.39
202.17,24.33
202.18,20.98
202.2,15.05
202.22,10.44
202.23,8.684
202.25,6.261
202.27,5.265
202.28,5.33
202.3,6.871
202.32,11.23
202.33,15.09
202.35,28.32
202.36,38.93
202.38,72.31
202.4,129.0
202.41,169.1
202.43,278.6
202.45,432.4
202.46,526.4
202.48,744.5
202.5,988.5
202.51,1112.0
202.53,1342.0
202.55,1520.0
202.56,1579.0
202.58,1624.0
202.6,1566.0
202.61,1501.0
202.63,1315.0
202.65,1081.0
202.66,956.6
202.68,714.2
202.7,500.6
202.71,409.4
202.73,261.6
202.75,157.9
202.76,120.4
202.78,68.06
202.8,38.22
202.81,29.11
202.83,18.39
202.85,13.83
202.86,12.82
202.88,12.06
202.9,11.92
202.91,11.84
202.93,11.41
202.94,11.03
202.96,9.935
202.98,8.569
202.99,7.87
203.01,6.658
203.03,6.013
203.04,6.029
203.06,6.981
203.08,9.466
203.09,11.38
203.11,16.63
203.13,23.72
203.14,27.84
203.16,36.79
203.18,45.8
203.19,49.92
203.21,56.61
203.23,60.29
203.24,60.78
203.26,58.97
203.28,53.81
203.29,50.27
203.31,42.02
203.33,33.29
203.34,29.11
203.36,21.66
203.38,15.79
203.39,13.5
203.41,10.15
203.43,8.274
203.44,7.81
203.46,7.723
203.48,8.684
203.49,9.548
203.51,12.04
203.53,15.48
203.54,17.51
203.56,21.92
203.57,24.19
203.59,28.45
203.61,31.79
203.62,32.92
203.64,33.87
203.66,32.92
203.67,31.77
203.69,28.37
203.71,23.97
203.72,21.59
203.74,16.85
203.76,12.54
203.77,10.65
203.79,7.553
203.81,5.444
203.82,4.785
203.84,4.327
203.86,5.185
203.87,6.204
203.89,9.7
203.91,15.57
203.92,19.54
203.94,29.75
203.96,42.92
203.97,50.43
203.99,66.56
204.01,82.62
204.02,89.94
204.04,101.7
204.06,108.1
204.07,108.8
204.09,105.2
204.11,95.48
204.12,88.85
204.14,73.41
204.15,65.2
204.17,49.16
204.19,35.05
204.2,29.08
204.22,19.6
204.24,13.35
204.25,11.32
204.27,9.043
204.29,8.562
204.3,8.775
204.32,9.7
204.34,10.82
204.35,11.3
204.37,11.9
204.39,11.85
204.4,11.56
204.42,10.5
204.44,8.961
204.45,8.084
204.47,6.277
204.49,4.579
204.5,3.823
204.52,2.552
204.54,1.624
204.55,1.283
204.57,0.8183
204.59,0.5965
204.6,0.5611
204.62,0.6181
204.64,0.8261
204.65,0.9825
204.67,1.395
204.69,1.932
204.7,2.242
204.72,2.928
204.74,3.666
204.75,4.036
204.77,4.739
204.78,5.054
204.8,5.571
204.82,5.906
204.83,6.006
204.85,6.112
204.87,6.224
204.88,6.36
204.9,7.009
204.92,8.527
204.93,9.76
204.95,13.45
204.97,19.04
204.98,22.58
205.0,30.96
205.02,40.54
205.03,45.46
205.05,54.7
205.07,61.95
205.08,64.43
205.1,66.52
205.12,64.54
205.13,62.11
205.15,54.91
205.17,45.65
205.18,40.69
205.2,30.89
205.22,22.12
205.23,18.33
205.25,12.11
205.27,7.708
205.28,6.126
205.3,4.047
205.32,3.231
205.33,3.254
205.35,4.151
205.36,5.046
205.38,7.818
205.4,12.02
205.41,14.68
205.43,21.06
205.45,28.64
205.46,32.73
205.48,41.27
205.5,50.19
205.51,55.01
205.53,66.94
205.55,86.5
205.56,102.1
205.58,154.3
205.6,253.7
205.61,330.3
205.63,559.9
205.65,923.8
205.66,1167.0
205.68,1791.0
205.7,2595.0
205.71,3054.0
205.73,4040.0
205.75,5024.0
205.76,5474.0
205.78,6200.0
205.8,6599.0
205.81,6650.0
205.83,6444.0
205.85,5866.0
205.86,5467.0
205.88,4531.0
205.9,3528.0
205.91,3041.0
205.93,2156.0
205.94,1773.0
205.96,1145.0
205.98,695.8
205.99,530.5
206.01,296.3
206.03,159.2
206.04,116.5
206.06,65.61
206.08,44.15
206.09,40.0
206.11,39.08
206.13,43.13
206.14,45.79
206.16,50.89
206.18,54.52
206.19,55.55
206.21,56.0
206.23,54.68
206.24,53.6
206.26,51.12
206.28,48.9
206.29,48.03
206.31,46.85
206.33,46.16
206.34,45.83
206.36,44.83
206.38,42.99
206.39,41.69
206.41,38.43
206.43,34.68
206.44,32.81
206.46,29.48
206.48,27.09
206.49,26.32
206.51,25.6
206.53,25.68
206.54,25.87
206.56,26.25
206.57,26.33
206.59,26.1
206.61,25.34
206.62,24.81
206.64,23.72
206.66,22.95
206.67,22.81
206.69,23.18
206.71,24.4
206.72,25.26
206.74,27.15
206.76,28.78
206.77,29.32
206.79,29.53
206.81,28.42
206.82,27.38
206.84,24.54
206.86,21.09
206.87,19.32
206.89,16.03
206.91,13.41
206.92,12.43
206.94,11.17
206.96,10.79
206.97,10.87
206.99,11.54
207.01,12.85
207.02,13.78
207.04,16.42
207.06,20.53
207.07,23.35
207.09,30.95
207.11,41.66
207.12,48.29
207.14,64.11
207.15,73.16
207.17,92.88
207.19,113.4
207.2,123.2
207.22,140.7
207.24,153.1
207.25,156.7
207.27,158.2
207.29,151.8
207.3,145.9
207.32,129.7
207.34,109.6
207.35,98.97
207.37,78.02
207.39,59.12
207.4,50.86
207.42,37.06
207.44,26.91
207.45,23.06
207.47,17.42
207.49,13.89
207.5,12.69
207.52,11.03
207.54,9.947
207.55,9.507
207.57,8.678
207.59,7.81
207.6,7.352
207.62,6.417
207.64,5.544
207.65,5.17
207.67,4.622
207.69,4.416
207.7,4.455
207.72,4.809
207.74,5.468
207.75,5.875
207.77,6.759
207.78,7.204
207.8,8.043
207.82,8.805
207.83,9.181
207.85,10.03
207.87,11.25
207.88,12.08
207.9,14.44
207.92,18.01
207.93,20.38
207.95,26.64
207.97,35.73
207.98,41.78
208.0,58.22
208.02,82.87
208.03,99.33
208.05,142.6
208.07,201.8
208.08,237.5
208.1,319.9
208.12,411.7
208.13,458.3
208.15,545.3
208.17,613.4
208.18,636.8
208.2,657.8
208.22,643.2
208.23,623.9
208.25,568.2
208.27,502.0
208.28,470.3
208.3,419.3
208.32,394.8
208.33,394.7
208.35,418.5
208.36,441.0
208.38,500.2
208.4,565.7
208.41,595.5
208.43,639.6
208.45,653.4
208.46,646.9
208.48,607.2
208.5,537.4
