Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.75,0.0,,0.0107211657855113
03124_95_random,0.7777777777777778,0.0,,0.0416998075209468
03130_95_random,1.0,0.0,,0.2958260727124208
03134_95_random,0.6363636363636364,0.0,,0.2406118098748358
070036_95_random,1.0,0.16666666666666666,Pr,0.2913760079532487
070099_95_random,0.3333333333333333,0.6666666666666666,Yb;Tm,3.0034160384998825
070101_95_random,1.0,0.0,,0.0643630948998914
070159_95_random,0.5,0.0,,0.2243769511477279
070171_95_random,0.4,0.0,,0.2548703078259083
07103_95_random,0.875,0.0,,0.1649201251753144
07105_95_random,0.6666666666666666,0.0,,0.0373835131567835
07106_95_random,0.7272727272727273,0.0,,0.2973871684222799
07107_95_random,0.75,0.0,,0.1134035634512822
07111_95_random,0.8571428571428571,0.14285714285714285,Yb,0.1657343495263901
07121_95_random,0.6363636363636364,0.0,,0.0147912424255495
07122_95_random,0.5,0.0,,0.8097711169465575
07125_95_random,0.8333333333333334,0.375,Lu;La;Tm,0.178790196353011
07141_95_random,0.36363636363636365,0.0,,0.2915293267890523
07145_95_random,0.7777777777777778,0.125,Tb,0.0211543670906667
07405_95_random,0.8333333333333334,0.16666666666666666,Tb,0.5044404207590362
07407_95_random,0.5714285714285714,0.0,,0.2307537147398392
07840_95_random,0.3333333333333333,0.3333333333333333,Yb,0.9793861050406454
