idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[340.7792, 353.1703]","[0.488, 1.56]","[3.63708881014, 3.5094823951399996]","[18.0, 20.0]","[0.009873753258870355, -0.00987375325887041]",0.00987375325887041
"[0, 2]",2,"[340.7792, 363.0239]","[0.488, 0.305]","[3.63708881014, 3.9524396268999995]","[18.0, 18.0]","[-0.031136092669259763, 0.03113609266925993]",0.03113609266925993
"[0, 3]",2,"[340.7792, 364.53960000000006]","[0.488, 0.62]","[3.63708881014, 3.5027272208599998]","[18.0, 18.0]","[0.01579463966539124, -0.015794639665391297]",0.015794639665391297
"[0, 4]",2,"[340.7792, 369.4811]","[0.488, 0.237]","[3.63708881014, 3.45725582014]","[18.0, 16.0]","[0.019253774100946974, -0.019253774100946808]",0.019253774100946974
"[0, 5]",2,"[340.7792, 375.73670000000004]","[0.488, 0.201]","[3.63708881014, 3.40140766536]","[18.0, 16.0]","[0.024209254998630247, -0.024209254998630414]",0.024209254998630414
"[0, 6]",2,"[340.7792, 387.2103]","[0.488, 0.254]","[3.63708881014, 3.2009695713]","[18.0, 18.0]","[0.05183439643673782, -0.05183439643673787]",0.05183439643673787
"[0, 7]",2,"[340.7792, 394.46790000000004]","[0.488, 0.307]","[3.63708881014, 3.1420780794599996]","[18.0, 18.0]","[0.05976386619351637, -0.05976386619351631]",0.05976386619351637
"[0, 8]",2,"[340.7792, 396.83840000000004]","[0.488, 0.455]","[3.63708881014, 3.12330899522]","[18.0, 16.0]","[0.060822588349616624, -0.060822588349616624]",0.060822588349616624
"[0, 9]",2,"[340.7792, 407.79650000000004]","[0.488, 0.202]","[3.63708881014, 3.1420780794599996]","[18.0, 18.0]","[0.056681647879528896, -0.05668164787952884]",0.056681647879528896
"[1, 2]",2,"[353.1703, 363.0239]","[1.56, 0.305]","[3.5094823951399996, 3.9524396268999995]","[20.0, 18.0]","[-0.017748668752336605, 0.017748668752336577]",0.017748668752336605
"[1, 3]",2,"[353.1703, 364.53960000000006]","[1.56, 0.62]","[3.5094823951399996, 3.5027272208599998]","[20.0, 18.0]","[0.0006267304012513852, -0.0006267304012514963]",0.0006267304012514963
"[1, 4]",2,"[353.1703, 369.4811]","[1.56, 0.237]","[3.5094823951399996, 3.45725582014]","[20.0, 16.0]","[0.0024745779444942384, -0.0024745779444943494]",0.0024745779444943494
"[1, 5]",2,"[353.1703, 375.73670000000004]","[1.56, 0.201]","[3.5094823951399996, 3.40140766536]","[20.0, 16.0]","[0.00467947345568831, -0.004679473455688352]",0.004679473455688352
"[1, 6]",2,"[353.1703, 387.2103]","[1.56, 0.254]","[3.5094823951399996, 3.2009695713]","[20.0, 18.0]","[0.020307517238011386, -0.02030751723801133]",0.020307517238011386
"[1, 7]",2,"[353.1703, 394.46790000000004]","[1.56, 0.307]","[3.5094823951399996, 3.1420780794599996]","[20.0, 18.0]","[0.028235701286543846, -0.02823570128654382]",0.028235701286543846
"[1, 8]",2,"[353.1703, 396.83840000000004]","[1.56, 0.455]","[3.5094823951399996, 3.12330899522]","[20.0, 16.0]","[0.034891522572792044, -0.034891522572792044]",0.034891522572792044
"[1, 9]",2,"[353.1703, 407.79650000000004]","[1.56, 0.202]","[3.5094823951399996, 3.1420780794599996]","[20.0, 18.0]","[0.020877666711403342, -0.020877666711403287]",0.020877666711403342
