idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[323.0582, 326.4782]","[1.5, 0.58]","[3.8911949946599997, 3.7964042259599995]","[12.0, 14.0]","[0.010188832465578557, -0.010188832465578501]",0.010188832465578557
"[0, 2]",2,"[323.0582, 337.271]","[1.5, 1.3]","[3.8911949946599997, 3.6748741947399997]","[12.0, 16.0]","[0.025300834501481462, -0.02530083450148135]",0.025300834501481462
"[0, 3]",2,"[323.0582, 339.19980000000004]","[1.5, 0.235]","[3.8911949946599997, 3.6540363802199995]","[12.0, 16.0]","[0.018989773086906414, -0.018989773086906497]",0.018989773086906497
"[0, 4]",2,"[323.0582, 349.9104]","[1.5, 0.75]","[3.8911949946599997, 3.5967856396999998]","[12.0, 10.0]","[0.03256334916501591, -0.03256334916501591]",0.03256334916501591
"[0, 5]",2,"[323.0582, 361.65650000000005]","[1.5, 0.2]","[3.8911949946599997, 3.42713673884]","[12.0, 12.0]","[0.032063959536611786, -0.032063959536611814]",0.032063959536611814
"[0, 6]",2,"[323.0582, 389.6234]","[1.5, 0.18]","[3.8911949946599997, 3.23575054856]","[12.0, 14.0]","[0.05147812890729275, -0.0514781289072927]",0.05147812890729275
"[0, 7]",2,"[323.0582, 390.63110000000006]","[1.5, 0.323]","[3.8911949946599997, 3.1729386851399997]","[12.0, 12.0]","[0.07254656437282092, -0.07254656437282092]",0.07254656437282092
"[1, 2]",2,"[326.4782, 337.271]","[0.58, 1.3]","[3.7964042259599995, 3.6748741947399997]","[14.0, 16.0]","[0.011256535254023536, -0.011256535254023592]",0.011256535254023592
"[1, 3]",2,"[326.4782, 339.19980000000004]","[0.58, 0.235]","[3.7964042259599995, 3.6540363802199995]","[14.0, 16.0]","[0.015578828451008664, -0.015578828451008664]",0.015578828451008664
"[1, 4]",2,"[326.4782, 349.9104]","[0.58, 0.75]","[3.7964042259599995, 3.5967856396999998]","[14.0, 10.0]","[0.02407373250981293, -0.02407373250981304]",0.02407373250981304
"[1, 5]",2,"[326.4782, 361.65650000000005]","[0.58, 0.2]","[3.7964042259599995, 3.42713673884]","[14.0, 12.0]","[0.037066736107547515, -0.03706673610754757]",0.03706673610754757
"[1, 6]",2,"[326.4782, 389.6234]","[0.58, 0.18]","[3.7964042259599995, 3.23575054856]","[14.0, 14.0]","[0.06065361897952626, -0.0606536189795262]",0.06065361897952626
"[1, 7]",2,"[326.4782, 390.63110000000006]","[0.58, 0.323]","[3.7964042259599995, 3.1729386851399997]","[14.0, 12.0]","[0.0747139122705075, -0.0747139122705075]",0.0747139122705075
"[2, 3]",2,"[337.271, 339.19980000000004]","[1.3, 0.235]","[3.6748741947399997, 3.6540363802199995]","[16.0, 16.0]","[0.001324076645626282, -0.001324076645626282]",0.001324076645626282
"[2, 4]",2,"[337.271, 349.9104]","[1.3, 0.75]","[3.6748741947399997, 3.5967856396999998]","[16.0, 10.0]","[0.007551335977350027, -0.007551335977350082]",0.007551335977350082
"[2, 5]",2,"[337.271, 361.65650000000005]","[1.3, 0.2]","[3.6748741947399997, 3.42713673884]","[16.0, 12.0]","[0.01326292850011812, -0.013262928500117982]",0.01326292850011812
"[2, 6]",2,"[337.271, 389.6234]","[1.3, 0.18]","[3.6748741947399997, 3.23575054856]","[16.0, 14.0]","[0.02728121924637328, -0.027281219246373334]",0.027281219246373334
"[2, 7]",2,"[337.271, 390.63110000000006]","[1.3, 0.323]","[3.6748741947399997, 3.1729386851399997]","[16.0, 12.0]","[0.04269762623742113, -0.042697626237421266]",0.042697626237421266
"[3, 4]",2,"[339.19980000000004, 349.9104]","[0.235, 0.75]","[3.6540363802199995, 3.5967856396999998]","[16.0, 10.0]","[0.006077526848432713, -0.006077526848432768]",0.006077526848432768
"[3, 5]",2,"[339.19980000000004, 361.65650000000005]","[0.235, 0.2]","[3.6540363802199995, 3.42713673884]","[16.0, 12.0]","[0.0270339724842249, -0.02703397248422501]",0.02703397248422501
"[3, 6]",2,"[339.19980000000004, 389.6234]","[0.235, 0.18]","[3.6540363802199995, 3.23575054856]","[16.0, 14.0]","[0.050505708578697295, -0.05050570857869724]",0.050505708578697295
"[3, 7]",2,"[339.19980000000004, 390.63110000000006]","[0.235, 0.323]","[3.6540363802199995, 3.1729386851399997]","[16.0, 12.0]","[0.05499655080981747, -0.05499655080981758]",0.05499655080981758
"[4, 5]",2,"[349.9104, 361.65650000000005]","[0.75, 0.2]","[3.5967856396999998, 3.42713673884]","[10.0, 12.0]","[0.016368478970622435, -0.016368478970622435]",0.016368478970622435
"[4, 6]",2,"[349.9104, 389.6234]","[0.75, 0.18]","[3.5967856396999998, 3.23575054856]","[10.0, 14.0]","[0.03786240140615704, -0.03786240140615693]",0.03786240140615704
"[4, 7]",2,"[349.9104, 390.63110000000006]","[0.75, 0.323]","[3.5967856396999998, 3.1729386851399997]","[10.0, 12.0]","[0.050350747135108564, -0.050350747135108564]",0.050350747135108564
"[5, 6]",2,"[361.65650000000005, 389.6234]","[0.2, 0.18]","[3.42713673884, 3.23575054856]","[12.0, 14.0]","[0.022887994714683002, -0.022887994714682947]",0.022887994714683002
"[5, 7]",2,"[361.65650000000005, 390.63110000000006]","[0.2, 0.323]","[3.42713673884, 3.1729386851399997]","[12.0, 12.0]","[0.027157346796737314, -0.027157346796737203]",0.027157346796737314
"[6, 7]",2,"[389.6234, 390.63110000000006]","[0.18, 0.323]","[3.23575054856, 3.1729386851399997]","[14.0, 12.0]","[0.007130342426121705, -0.007130342426121761]",0.007130342426121761
