idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[272.778, 281.394]","[0.65, 0.55]","[4.5437368209999995, 4.404639939599999]","[11.0, 9.0]","[0.01659087344255017, -0.016590873442550114]",0.01659087344255017
"[0, 2]",2,"[272.778, 290.668]","[0.65, 0.41]","[4.5437368209999995, 4.2641148086]","[11.0, 7.0]","[0.030570502486816142, -0.030570502486816142]",0.030570502486816142
"[0, 3]",2,"[272.778, 368.84200000000004]","[0.65, 0.13]","[4.5437368209999995, 3.3603625985999996]","[11.0, 7.0]","[0.11560757847900549, -0.11560757847900563]",0.11560757847900563
"[0, 4]",2,"[272.778, 372.494]","[0.65, 0.45]","[4.5437368209999995, 3.3274372299999997]","[11.0, 9.0]","[0.13419855997415442, -0.13419855997415442]",0.13419855997415442
"[0, 5]",2,"[272.778, 381.96700000000004]","[0.65, 1.27]","[4.5437368209999995, 3.2449074634]","[11.0, 11.0]","[0.07128373925545874, -0.07128373925545883]",0.07128373925545883
"[0, 6]",2,"[272.778, 393.048]","[0.65, 1.07]","[4.5437368209999995, 3.3603625985999996]","[11.0, 7.0]","[0.10641099990952751, -0.10641099990952751]",0.10641099990952751
"[0, 7]",2,"[272.778, 397.196]","[0.65, 0.89]","[4.5437368209999995, 3.3274372299999997]","[11.0, 9.0]","[0.10406938865376378, -0.1040693886537637]",0.10406938865376378
"[0, 8]",2,"[272.778, 412.97]","[0.65, 0.68]","[4.5437368209999995, 3.0012904828]","[11.0, 9.0]","[0.1258795193504045, -0.12587951935040442]",0.1258795193504045
"[0, 9]",2,"[272.778, 420.50500000000005]","[0.65, 0.71]","[4.5437368209999995, 2.9475352343999996]","[11.0, 7.0]","[0.14182929215947598, -0.14182929215947593]",0.14182929215947598
"[0, 10]",2,"[272.778, 443.55600000000004]","[0.65, 0.31]","[4.5437368209999995, 3.0012904828]","[11.0, 9.0]","[0.17605991157529605, -0.176059911575296]",0.17605991157529605
"[1, 2]",2,"[281.394, 290.668]","[0.55, 0.41]","[4.404639939599999, 4.2641148086]","[9.0, 7.0]","[0.0162988014487202, -0.016298801448720368]",0.016298801448720368
