idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[364.54200000000003, 375.908]","[0.43, 0.49]","[3.4000163617999997, 3.541538292]","[3.0, 9.0]","[-0.013281924370298626, 0.013281924370298626]",0.013281924370298626
"[0, 2]",2,"[364.54200000000003, 387.164]","[0.43, 0.467]","[3.4000163617999997, 3.3273330867999995]","[3.0, 7.0]","[0.007044190318022725, -0.007044190318022614]",0.007044190318022725
"[0, 3]",2,"[364.54200000000003, 394.91]","[0.43, 1.47]","[3.4000163617999997, 3.541538292]","[3.0, 9.0]","[-0.00677307458563281, 0.006773074585632921]",0.006773074585632921
"[0, 4]",2,"[364.54200000000003, 398.85200000000003]","[0.43, 0.97]","[3.4000163617999997, 3.5105246949999995]","[3.0, 7.0]","[-0.008288404062543636, 0.00828840406254372]",0.00828840406254372
"[0, 5]",2,"[364.54200000000003, 399.57500000000005]","[0.43, 0.72]","[3.4000163617999997, 3.2748089597999996]","[3.0, 5.0]","[0.011423242518261378, -0.011423242518261434]",0.011423242518261434
"[0, 6]",2,"[364.54200000000003, 403.16900000000004]","[0.43, 0.68]","[3.4000163617999997, 3.3955778777999996]","[3.0, 5.0]","[0.00044586667003010394, -0.0004458666700299929]",0.00044586667003010394
"[0, 7]",2,"[364.54200000000003, 407.735]","[0.43, 0.7]","[3.4000163617999997, 3.2748089597999996]","[3.0, 5.0]","[0.01169501175681198, -0.011695011756811868]",0.01169501175681198
"[0, 8]",2,"[364.54200000000003, 412.323]","[0.43, 0.75]","[3.4000163617999997, 3.3273330867999995]","[3.0, 7.0]","[0.005683848834337035, -0.005683848834337146]",0.005683848834337146
"[0, 9]",2,"[364.54200000000003, 442.99]","[0.43, 0.303]","[3.4000163617999997, 3.0328805867999997]","[3.0, 5.0]","[0.042543906440864365, -0.042543906440864365]",0.042543906440864365
"[0, 10]",2,"[364.54200000000003, 461.33900000000006]","[0.43, 0.11]","[3.4000163617999997, 3.3955778777999996]","[3.0, 5.0]","[0.0004056083480741268, -0.00040560834807423785]",0.00040560834807423785
"[0, 11]",2,"[364.54200000000003, 472.84200000000004]","[0.43, 0.0177]","[3.4000163617999997, 2.7941744539999998]","[3.0, 7.0]","[0.033914969186704336, -0.03391496918670446]",0.03391496918670446
"[0, 12]",2,"[364.54200000000003, 499.94700000000006]","[0.43, 0.09]","[3.4000163617999997, 2.8821543814]","[3.0, 5.0]","[0.05465213444097039, -0.05465213444097056]",0.05465213444097056
"[0, 13]",2,"[364.54200000000003, 518.342]","[0.43, 0.089]","[3.4000163617999997, 2.7941744539999998]","[3.0, 7.0]","[0.07095174282962191, -0.07095174282962197]",0.07095174282962197
"[1, 2]",2,"[375.908, 387.164]","[0.49, 0.467]","[3.541538292, 3.3273330867999995]","[9.0, 7.0]","[0.025855802828535945, -0.025855802828535834]",0.025855802828535945
"[1, 3]",2,"[375.908, 394.91]","[0.49, 1.47]","[3.541538292, 3.541538292]","[9.0, 9.0]","[5.551115123125783e-17, 0.0]",5.551115123125783e-17
"[1, 4]",2,"[375.908, 398.85200000000003]","[0.49, 0.97]","[3.541538292, 3.5105246949999995]","[9.0, 7.0]","[0.0035958155520883217, -0.0035958155520883217]",0.0035958155520883217
"[1, 5]",2,"[375.908, 399.57500000000005]","[0.49, 0.72]","[3.541538292, 3.2748089597999996]","[9.0, 5.0]","[0.032203728796441344, -0.03220372879644129]",0.032203728796441344
"[1, 6]",2,"[375.908, 403.16900000000004]","[0.49, 0.68]","[3.541538292, 3.3955778777999996]","[9.0, 5.0]","[0.017538213503325295, -0.017538213503325295]",0.017538213503325295
"[1, 7]",2,"[375.908, 407.735]","[0.49, 0.7]","[3.541538292, 3.2748089597999996]","[9.0, 5.0]","[0.03223037921378896, -0.03223037921378896]",0.03223037921378896
"[1, 8]",2,"[375.908, 412.323]","[0.49, 0.75]","[3.541538292, 3.3273330867999995]","[9.0, 7.0]","[0.025150459287391458, -0.02515045928739157]",0.02515045928739157
"[1, 9]",2,"[375.908, 442.99]","[0.49, 0.303]","[3.541538292, 3.0328805867999997]","[9.0, 5.0]","[0.05592231368445355, -0.055922313684453606]",0.055922313684453606
"[1, 10]",2,"[375.908, 461.33900000000006]","[0.49, 0.11]","[3.541538292, 3.3955778777999996]","[9.0, 5.0]","[0.006806294810784652, -0.006806294810784638]",0.006806294810784652
"[1, 11]",2,"[375.908, 472.84200000000004]","[0.49, 0.0177]","[3.541538292, 2.7941744539999998]","[9.0, 7.0]","[0.01796158378994872, -0.017961583789948686]",0.01796158378994872
"[1, 12]",2,"[375.908, 499.94700000000006]","[0.49, 0.09]","[3.541538292, 2.8821543814]","[9.0, 5.0]","[0.039678332728520505, -0.03967833272852064]",0.03967833272852064
"[1, 13]",2,"[375.908, 518.342]","[0.49, 0.089]","[3.541538292, 2.7941744539999998]","[9.0, 7.0]","[0.05822232464545818, -0.05822232464545826]",0.05822232464545826
"[2, 3]",2,"[387.164, 394.91]","[0.467, 1.47]","[3.3273330867999995, 3.541538292]","[7.0, 9.0]","[-0.019217940721858423, 0.019217940721858673]",0.019217940721858673
"[2, 4]",2,"[387.164, 398.85200000000003]","[0.467, 0.97]","[3.3273330867999995, 3.5105246949999995]","[7.0, 7.0]","[-0.020914422279881772, 0.020914422279881717]",0.020914422279881772
"[2, 5]",2,"[387.164, 399.57500000000005]","[0.467, 0.72]","[3.3273330867999995, 3.2748089597999996]","[7.0, 5.0]","[0.006322963292386852, -0.006322963292387018]",0.006322963292387018
"[2, 6]",2,"[387.164, 403.16900000000004]","[0.467, 0.68]","[3.3273330867999995, 3.3955778777999996]","[7.0, 5.0]","[-0.008234839261536786, 0.008234839261536564]",0.008234839261536786
"[2, 7]",2,"[387.164, 407.735]","[0.467, 0.7]","[3.3273330867999995, 3.2748089597999996]","[7.0, 5.0]","[0.006338906615719786, -0.006338906615719786]",0.006338906615719786
"[2, 8]",2,"[387.164, 412.323]","[0.467, 0.75]","[3.3273330867999995, 3.3273330867999995]","[7.0, 7.0]","[5.551115123125783e-17, 0.0]",5.551115123125783e-17
"[2, 9]",2,"[387.164, 442.99]","[0.467, 0.303]","[3.3273330867999995, 3.0328805867999997]","[7.0, 5.0]","[0.033040117956676274, -0.03304011795667622]",0.033040117956676274
"[2, 10]",2,"[387.164, 461.33900000000006]","[0.467, 0.11]","[3.3273330867999995, 3.3955778777999996]","[7.0, 5.0]","[-0.0033598500394678155, 0.003359850039467732]",0.0033598500394678155
"[2, 11]",2,"[387.164, 472.84200000000004]","[0.467, 0.0177]","[3.3273330867999995, 2.7941744539999998]","[7.0, 7.0]","[0.013612412798938989, -0.013612412798938982]",0.013612412798938989
"[2, 12]",2,"[387.164, 499.94700000000006]","[0.467, 0.09]","[3.3273330867999995, 2.8821543814]","[7.0, 5.0]","[0.028115144230884237, -0.028115144230884292]",0.028115144230884292
"[2, 13]",2,"[387.164, 518.342]","[0.467, 0.089]","[3.3273330867999995, 2.7941744539999998]","[7.0, 7.0]","[0.04326148051966394, -0.04326148051966405]",0.04326148051966405
"[3, 4]",2,"[394.91, 398.85200000000003]","[1.47, 0.97]","[3.541538292, 3.5105246949999995]","[9.0, 7.0]","[0.003390344419513247, -0.003390344419513247]",0.003390344419513247
"[3, 5]",2,"[394.91, 399.57500000000005]","[1.47, 0.72]","[3.541538292, 3.2748089597999996]","[9.0, 5.0]","[0.02546042605248877, -0.02546042605248877]",0.02546042605248877
"[3, 6]",2,"[394.91, 403.16900000000004]","[1.47, 0.68]","[3.541538292, 3.3955778777999996]","[9.0, 5.0]","[0.012534693467619706, -0.012534693467619623]",0.012534693467619706
"[3, 7]",2,"[394.91, 407.735]","[1.47, 0.7]","[3.541538292, 3.2748089597999996]","[9.0, 5.0]","[0.02489080608865979, -0.024890806088659706]",0.02489080608865979
"[3, 8]",2,"[394.91, 412.323]","[1.47, 0.75]","[3.541538292, 3.3273330867999995]","[9.0, 7.0]","[0.022894357557873835, -0.02289435755787378]",0.022894357557873835
"[3, 9]",2,"[394.91, 442.99]","[1.47, 0.303]","[3.541538292, 3.0328805867999997]","[9.0, 5.0]","[0.03287265245026694, -0.03287265245026699]",0.03287265245026699
"[3, 10]",2,"[394.91, 461.33900000000006]","[1.47, 0.11]","[3.541538292, 3.3955778777999996]","[9.0, 5.0]","[0.00275749003982384, -0.0027574900398237706]",0.00275749003982384
"[3, 11]",2,"[394.91, 472.84200000000004]","[1.47, 0.0177]","[3.541538292, 2.7941744539999998]","[9.0, 7.0]","[0.006746517540249575, -0.006746517540249748]",0.006746517540249748
"[3, 12]",2,"[394.91, 499.94700000000006]","[1.47, 0.09]","[3.541538292, 2.8821543814]","[9.0, 5.0]","[0.016978282056295257, -0.016978282056295237]",0.016978282056295257
"[3, 13]",2,"[394.91, 518.342]","[1.47, 0.089]","[3.541538292, 2.7941744539999998]","[9.0, 7.0]","[0.027084099090193825, -0.02708409909019381]",0.027084099090193825
"[4, 5]",2,"[398.85200000000003, 399.57500000000005]","[0.97, 0.72]","[3.5105246949999995, 3.2748089597999996]","[7.0, 5.0]","[0.02762483802693705, -0.027624838026937104]",0.027624838026937104
"[4, 6]",2,"[398.85200000000003, 403.16900000000004]","[0.97, 0.68]","[3.5105246949999995, 3.3955778777999996]","[7.0, 5.0]","[0.012847046343539836, -0.012847046343539836]",0.012847046343539836
"[4, 7]",2,"[398.85200000000003, 407.735]","[0.97, 0.7]","[3.5105246949999995, 3.2748089597999996]","[7.0, 5.0]","[0.027378043064123392, -0.027378043064123447]",0.027378043064123447
"[4, 8]",2,"[398.85200000000003, 412.323]","[0.97, 0.75]","[3.5105246949999995, 3.3273330867999995]","[7.0, 7.0]","[0.022114346333371615, -0.022114346333371726]",0.022114346333371726
