idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[219.554, 289.48400000000004]","[0.714, 1.66]","[5.6450982733999995, 6.0419408962]","[3.0, 7.0]","[-0.038835006652808535, 0.03883500665280859]",0.03883500665280859
"[0, 2]",2,"[219.554, 291.139]","[0.714, 2.42]","[5.6450982733999995, 6.017596183399999]","[3.0, 9.0]","[-0.02539970994569693, 0.025399709945696958]",0.025399709945696958
"[0, 3]",2,"[219.554, 307.76]","[0.714, 1.24]","[5.6450982733999995, 5.5690179464]","[3.0, 7.0]","[0.006706867948759854, -0.006706867948759965]",0.006706867948759965
"[0, 4]",2,"[219.554, 325.43100000000004]","[0.714, 0.6]","[5.6450982733999995, 5.5690179464]","[3.0, 7.0]","[0.00888582301955182, -0.008885823019551764]",0.00888582301955182
"[0, 5]",2,"[219.554, 622.187]","[0.714, 0.099]","[5.6450982733999995, 3.5338217767999995]","[3.0, 3.0]","[0.23753880202791927, -0.23753880202791927]",0.23753880202791927
"[1, 2]",2,"[289.48400000000004, 291.139]","[1.66, 2.42]","[6.0419408962, 6.017596183399999]","[7.0, 9.0]","[0.002650946449895053, -0.002650946449895053]",0.002650946449895053
"[1, 3]",2,"[289.48400000000004, 307.76]","[1.66, 1.24]","[6.0419408962, 5.5690179464]","[7.0, 7.0]","[0.05642942564382919, -0.056429425643829245]",0.056429425643829245
"[1, 4]",2,"[289.48400000000004, 325.43100000000004]","[1.66, 0.6]","[6.0419408962, 5.5690179464]","[7.0, 7.0]","[0.052821198087201204, -0.052821198087201204]",0.052821198087201204
"[1, 5]",2,"[289.48400000000004, 622.187]","[1.66, 0.099]","[6.0419408962, 3.5338217767999995]","[7.0, 3.0]","[0.19284519014926083, -0.19284519014926083]",0.19284519014926083
"[2, 3]",2,"[291.139, 307.76]","[2.42, 1.24]","[6.017596183399999, 5.5690179464]","[9.0, 7.0]","[0.05171359296100064, -0.051713592961000754]",0.051713592961000754
"[2, 4]",2,"[291.139, 325.43100000000004]","[2.42, 0.6]","[6.017596183399999, 5.5690179464]","[9.0, 7.0]","[0.03826900055412019, -0.03826900055412019]",0.03826900055412019
"[2, 5]",2,"[291.139, 622.187]","[2.42, 0.099]","[6.017596183399999, 3.5338217767999995]","[9.0, 3.0]","[0.12392598578324088, -0.12392598578324074]",0.12392598578324088
"[3, 4]",2,"[307.76, 325.43100000000004]","[1.24, 0.6]","[5.5690179464, 5.5690179464]","[7.0, 7.0]","[0.0, -5.551115123125783e-17]",5.551115123125783e-17
"[3, 5]",2,"[307.76, 622.187]","[1.24, 0.099]","[5.5690179464, 3.5338217767999995]","[7.0, 3.0]","[0.13670827723865753, -0.13670827723865753]",0.13670827723865753
"[4, 5]",2,"[325.43100000000004, 622.187]","[0.6, 0.099]","[5.5690179464, 3.5338217767999995]","[7.0, 3.0]","[0.20527979649115047, -0.20527979649115066]",0.20527979649115066
"[0, 1, 2]",3,"[219.554, 289.48400000000004, 291.139]","[0.714, 1.66, 2.42]","[5.6450982733999995, 6.0419408962, 6.017596183399999]","[3.0, 7.0, 9.0]","[-0.01925355498988951, 0.008930911076108827, 0.010322643913780682]",0.01925355498988951
"[0, 1, 3]",3,"[219.554, 289.48400000000004, 307.76]","[0.714, 1.66, 1.24]","[5.6450982733999995, 6.0419408962, 5.5690179464]","[3.0, 7.0, 7.0]","[-0.008241691071921936, 0.05170944072154976, -0.04346774964962785]",0.05170944072154976
"[0, 1, 4]",3,"[219.554, 289.48400000000004, 325.43100000000004]","[0.714, 1.66, 0.6]","[5.6450982733999995, 6.0419408962, 5.5690179464]","[3.0, 7.0, 7.0]","[-0.017413117159819552, 0.05334332972601047, -0.03593021256619083]",0.05334332972601047
"[0, 1, 5]",3,"[219.554, 289.48400000000004, 622.187]","[0.714, 1.66, 0.099]","[5.6450982733999995, 6.0419408962, 3.5338217767999995]","[3.0, 7.0, 3.0]","[0.009868208656419908, 0.13991462629990192, -0.14978283495632178]",0.14978283495632178
"[0, 2, 3]",3,"[219.554, 291.139, 307.76]","[0.714, 2.42, 1.24]","[5.6450982733999995, 6.017596183399999, 5.5690179464]","[3.0, 9.0, 7.0]","[-0.00929963917392182, 0.051645502141663524, -0.04234586296774179]",0.051645502141663524
"[0, 2, 4]",3,"[219.554, 291.139, 325.43100000000004]","[0.714, 2.42, 0.6]","[5.6450982733999995, 6.017596183399999, 5.5690179464]","[3.0, 9.0, 7.0]","[-0.015344808235308177, 0.04487674731748592, -0.029531939082177716]",0.04487674731748592
"[0, 2, 5]",3,"[219.554, 291.139, 622.187]","[0.714, 2.42, 0.099]","[5.6450982733999995, 6.017596183399999, 3.5338217767999995]","[3.0, 9.0, 3.0]","[-0.004846894324636364, 0.10942681926161646, -0.1045799249369801]",0.10942681926161646
"[0, 3, 4]",3,"[219.554, 307.76, 325.43100000000004]","[0.714, 1.24, 0.6]","[5.6450982733999995, 5.5690179464, 5.5690179464]","[3.0, 7.0, 7.0]","[0.005381249283957612, -0.0036918645197672184, -0.0016893847641904491]",0.005381249283957612
"[0, 3, 5]",3,"[219.554, 307.76, 622.187]","[0.714, 1.24, 0.099]","[5.6450982733999995, 5.5690179464, 3.5338217767999995]","[3.0, 7.0, 3.0]","[0.0331943896969166, 0.0811810260159388, -0.11437541571285532]",0.11437541571285532
"[0, 4, 5]",3,"[219.554, 325.43100000000004, 622.187]","[0.714, 0.6, 0.099]","[5.6450982733999995, 5.5690179464, 3.5338217767999995]","[3.0, 7.0, 3.0]","[0.0732253576382283, 0.0891192070618455, -0.16234456470007386]",0.16234456470007386
"[1, 2, 3]",3,"[289.48400000000004, 291.139, 307.76]","[1.66, 2.42, 1.24]","[6.0419408962, 6.017596183399999, 5.5690179464]","[7.0, 9.0, 7.0]","[0.017707356877780966, 0.02856460096367247, -0.04627195784145344]",0.04627195784145344
"[1, 2, 4]",3,"[289.48400000000004, 291.139, 325.43100000000004]","[1.66, 2.42, 0.6]","[6.0419408962, 6.017596183399999, 5.5690179464]","[7.0, 9.0, 7.0]","[0.01255702263510966, 0.01762985459383626, -0.030186877228945724]",0.030186877228945724
"[1, 2, 5]",3,"[289.48400000000004, 291.139, 622.187]","[1.66, 2.42, 0.099]","[6.0419408962, 6.017596183399999, 3.5338217767999995]","[7.0, 9.0, 3.0]","[0.033062110088173835, 0.05640692611053, -0.08946903619870372]",0.08946903619870372
"[1, 3, 4]",3,"[289.48400000000004, 307.76, 325.43100000000004]","[1.66, 1.24, 0.6]","[6.0419408962, 5.5690179464, 5.5690179464]","[7.0, 7.0, 7.0]","[0.05234091937557106, -0.035909056239176895, -0.016431863136394054]",0.05234091937557106
"[1, 3, 5]",3,"[289.48400000000004, 307.76, 622.187]","[1.66, 1.24, 0.099]","[6.0419408962, 5.5690179464, 3.5338217767999995]","[7.0, 7.0, 3.0]","[0.09433439948515537, 0.004555294407322608, -0.0988896938924781]",0.0988896938924781
"[1, 4, 5]",3,"[289.48400000000004, 325.43100000000004, 622.187]","[1.66, 0.6, 0.099]","[6.0419408962, 5.5690179464, 3.5338217767999995]","[7.0, 7.0, 3.0]","[0.13053162643696348, 0.0038798266235794965, -0.13441145306054303]",0.13441145306054303
"[2, 3, 4]",3,"[291.139, 307.76, 325.43100000000004]","[2.42, 1.24, 0.6]","[6.017596183399999, 5.5690179464, 5.5690179464]","[9.0, 7.0, 7.0]","[0.05412823330161881, -0.03713526237107506, -0.016992970930543666]",0.05412823330161881
"[2, 3, 5]",3,"[291.139, 307.76, 622.187]","[2.42, 1.24, 0.099]","[6.017596183399999, 5.5690179464, 3.5338217767999995]","[9.0, 7.0, 3.0]","[0.09422220883540777, -0.017194010351289868, -0.07702819848411774]",0.09422220883540777
"[2, 4, 5]",3,"[291.139, 325.43100000000004, 622.187]","[2.42, 0.6, 0.099]","[6.017596183399999, 5.5690179464, 3.5338217767999995]","[9.0, 7.0, 3.0]","[0.10909868068798156, -0.012161318546135447, -0.09693736214184605]",0.10909868068798156
"[3, 4, 5]",3,"[307.76, 325.43100000000004, 622.187]","[1.24, 0.6, 0.099]","[5.5690179464, 5.5690179464, 3.5338217767999995]","[7.0, 7.0, 3.0]","[0.07214885435203389, 0.03301507263972103, -0.10516392699175486]",0.10516392699175486
"[0, 1, 2, 3]",4,"[219.554, 289.48400000000004, 291.139, 307.76]","[0.714, 1.66, 2.42, 1.24]","[5.6450982733999995, 6.0419408962, 6.017596183399999, 5.5690179464]","[3.0, 7.0, 9.0, 7.0]","[-0.009291366945357607, 0.018411241201949813, 0.030382092151915063, -0.03950196640850734]",0.03950196640850734
"[0, 1, 2, 4]",4,"[219.554, 289.48400000000004, 291.139, 325.43100000000004]","[0.714, 1.66, 2.42, 0.6]","[5.6450982733999995, 6.0419408962, 6.017596183399999, 5.5690179464]","[3.0, 7.0, 9.0, 7.0]","[-0.013457863923183405, 0.015140256330752389, 0.023242670744265115, -0.02492506315183421]",0.02492506315183421
"[0, 1, 2, 5]",4,"[219.554, 289.48400000000004, 291.139, 622.187]","[0.714, 1.66, 2.42, 0.099]","[5.6450982733999995, 6.0419408962, 6.017596183399999, 3.5338217767999995]","[3.0, 7.0, 9.0, 3.0]","[-0.008343171508292488, 0.03205863392879915, 0.055248838065556694, -0.07896430048606316]",0.07896430048606316
"[0, 1, 3, 4]",4,"[219.554, 289.48400000000004, 307.76, 325.43100000000004]","[0.714, 1.66, 1.24, 0.6]","[5.6450982733999995, 6.0419408962, 5.5690179464, 5.5690179464]","[3.0, 7.0, 7.0, 7.0]","[-0.004777496810352527, 0.04763871674141701, -0.029405405471396084, -0.013455814459668203]",0.04763871674141701
"[0, 1, 3, 5]",4,"[219.554, 289.48400000000004, 307.76, 622.187]","[0.714, 1.66, 1.24, 0.099]","[5.6450982733999995, 6.0419408962, 5.5690179464, 3.5338217767999995]","[3.0, 7.0, 7.0, 3.0]","[0.005357712956068961, 0.07951539215444897, 0.001305247382711261, -0.08617835249322922]",0.08617835249322922
"[0, 1, 4, 5]",4,"[219.554, 289.48400000000004, 325.43100000000004, 622.187]","[0.714, 1.66, 0.6, 0.099]","[5.6450982733999995, 6.0419408962, 5.5690179464, 3.5338217767999995]","[3.0, 7.0, 7.0, 3.0]","[0.007129131146817597, 0.10382844844323297, 0.001010290047488649, -0.11196786963753913]",0.11196786963753913
"[0, 2, 3, 4]",4,"[219.554, 291.139, 307.76, 325.43100000000004]","[0.714, 2.42, 1.24, 0.6]","[5.6450982733999995, 6.017596183399999, 5.5690179464, 5.5690179464]","[3.0, 9.0, 7.0, 7.0]","[-0.006427359761619303, 0.05228519769157258, -0.03146126779733871, -0.014396570132614667]",0.05228519769157258
"[0, 2, 3, 5]",4,"[219.554, 291.139, 307.76, 622.187]","[0.714, 2.42, 1.24, 0.099]","[5.6450982733999995, 6.017596183399999, 5.5690179464, 3.5338217767999995]","[3.0, 9.0, 7.0, 3.0]","[-0.0009988777689381306, 0.08515437799355963, -0.015077246225051077, -0.06907825399957024]",0.08515437799355963
"[0, 2, 4, 5]",4,"[219.554, 291.139, 325.43100000000004, 622.187]","[0.714, 2.42, 0.6, 0.099]","[5.6450982733999995, 6.017596183399999, 5.5690179464, 3.5338217767999995]","[3.0, 9.0, 7.0, 3.0]","[-0.0024411832270214984, 0.09727122115418008, -0.010153140873752797, -0.08467689705340568]",0.09727122115418008
