idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[380.53600000000006, 410.946]","[0.45, 0.55]","[3.5776778420999995, 3.3366446046999996]","[16.0, 16.0]","[0.027909086037282038, -0.027909086037281816]",0.027909086037282038
"[0, 2]",2,"[380.53600000000006, 415.608]","[0.45, 0.42]","[3.5776778420999995, 3.1645237905999997]","[16.0, 14.0]","[0.04936245854944776, -0.04936245854944776]",0.04936245854944776
"[0, 3]",2,"[380.53600000000006, 430.358]","[0.45, 0.437]","[3.5776778420999995, 2.8800529204]","[16.0, 10.0]","[0.08311862438356804, -0.08311862438356798]",0.08311862438356804
"[0, 4]",2,"[380.53600000000006, 470.654]","[0.45, 0.098]","[3.5776778420999995, 2.6334684784999998]","[16.0, 6.0]","[0.06489831374499211, -0.06489831374499208]",0.06489831374499211
"[0, 5]",2,"[380.53600000000006, 495.913]","[0.45, 0.0413]","[3.5776778420999995, 2.5629852285999997]","[16.0, 10.0]","[0.05584394812610116, -0.05584394812610119]",0.05584394812610119
"[0, 6]",2,"[380.53600000000006, 524.9590000000001]","[0.45, 0.242]","[3.5776778420999995, 3.3366439847999994]","[16.0, 16.0]","[0.026252284387889402, -0.026252284387889346]",0.026252284387889402
"[0, 7]",2,"[380.53600000000006, 537.1930000000001]","[0.45, 0.115]","[3.5776778420999995, 3.7196863938]","[16.0, 20.0]","[-0.009232706659022094, 0.009232706659022066]",0.009232706659022094
"[0, 8]",2,"[380.53600000000006, 543.152]","[0.45, 0.054]","[3.5776778420999995, 3.4030910657999995]","[16.0, 14.0]","[0.0064459373503577, -0.006445937350357686]",0.0064459373503577
"[0, 9]",2,"[380.53600000000006, 562.054]","[0.45, 0.13]","[3.5776778420999995, 3.7499945446]","[16.0, 18.0]","[-0.010715939805784114, 0.010715939805784058]",0.010715939805784114
"[0, 10]",2,"[380.53600000000006, 568.8520000000001]","[0.45, 0.073]","[3.5776778420999995, 3.1645237905999997]","[16.0, 14.0]","[0.02338249208384524, -0.023382492083845324]",0.023382492083845324
"[1, 2]",2,"[410.946, 415.608]","[0.55, 0.42]","[3.3366446046999996, 3.1645237905999997]","[16.0, 14.0]","[0.020583105887219677, -0.020583105887219788]",0.020583105887219788
"[1, 3]",2,"[410.946, 430.358]","[0.55, 0.437]","[3.3366446046999996, 2.8800529204]","[16.0, 10.0]","[0.05462190302930903, -0.05462190302930903]",0.05462190302930903
"[1, 4]",2,"[410.946, 470.654]","[0.55, 0.098]","[3.3366446046999996, 2.6334684784999998]","[16.0, 6.0]","[0.03599427361462426, -0.035994273614624275]",0.035994273614624275
"[1, 5]",2,"[410.946, 495.913]","[0.55, 0.0413]","[3.3366446046999996, 2.5629852285999997]","[16.0, 10.0]","[0.03077414303705661, -0.03077414303705664]",0.03077414303705664
"[1, 6]",2,"[410.946, 524.9590000000001]","[0.55, 0.242]","[3.3366446046999996, 3.3366439847999994]","[16.0, 16.0]","[5.711731621005356e-08, -5.711731632107586e-08]",5.711731632107586e-08
"[1, 7]",2,"[410.946, 537.1930000000001]","[0.55, 0.115]","[3.3366446046999996, 3.7196863938]","[16.0, 20.0]","[-0.018398082480507005, 0.018398082480507005]",0.018398082480507005
"[1, 8]",2,"[410.946, 543.152]","[0.55, 0.054]","[3.3366446046999996, 3.4030910657999995]","[16.0, 14.0]","[-0.001715233950635664, 0.0017152339506357195]",0.0017152339506357195
"[1, 9]",2,"[410.946, 562.054]","[0.55, 0.13]","[3.3366446046999996, 3.7499945446]","[16.0, 18.0]","[-0.018877039923227534, 0.018877039923227576]",0.018877039923227576
"[1, 10]",2,"[410.946, 568.8520000000001]","[0.55, 0.073]","[3.3366446046999996, 3.1645237905999997]","[16.0, 14.0]","[0.007063735717634967, -0.007063735717634953]",0.007063735717634967
"[2, 3]",2,"[415.608, 430.358]","[0.42, 0.437]","[3.1645237905999997, 2.8800529204]","[14.0, 10.0]","[0.034372138313082556, -0.034372138313082556]",0.034372138313082556
"[2, 4]",2,"[415.608, 470.654]","[0.42, 0.098]","[3.1645237905999997, 2.6334684784999998]","[14.0, 6.0]","[0.031616176386885964, -0.03161617638688591]",0.031616176386885964
"[2, 5]",2,"[415.608, 495.913]","[0.42, 0.0413]","[3.1645237905999997, 2.5629852285999997]","[14.0, 10.0]","[0.028192546305191746, -0.02819254630519162]",0.028192546305191746
"[2, 6]",2,"[415.608, 524.9590000000001]","[0.42, 0.242]","[3.1645237905999997, 3.3366439847999994]","[14.0, 16.0]","[-0.01739064134395929, 0.017390641343959345]",0.017390641343959345
"[2, 7]",2,"[415.608, 537.1930000000001]","[0.42, 0.115]","[3.1645237905999997, 3.7196863938]","[14.0, 20.0]","[-0.03117155305252406, 0.031171553052524045]",0.03117155305252406
"[2, 8]",2,"[415.608, 543.152]","[0.42, 0.054]","[3.1645237905999997, 3.4030910657999995]","[14.0, 14.0]","[-0.007379839061538052, 0.007379839061538079]",0.007379839061538079
"[2, 9]",2,"[415.608, 562.054]","[0.42, 0.13]","[3.1645237905999997, 3.7499945446]","[14.0, 18.0]","[-0.03134568269315752, 0.03134568269315756]",0.03134568269315756
"[2, 10]",2,"[415.608, 568.8520000000001]","[0.42, 0.073]","[3.1645237905999997, 3.1645237905999997]","[14.0, 14.0]","[0.0, 0.0]",0.0
"[3, 4]",2,"[430.358, 470.654]","[0.437, 0.098]","[2.8800529204, 2.6334684784999998]","[10.0, 6.0]","[0.014544835484881391, -0.014544835484881363]",0.014544835484881391
"[3, 5]",2,"[430.358, 495.913]","[0.437, 0.0413]","[2.8800529204, 2.5629852285999997]","[10.0, 10.0]","[0.014703097194581183, -0.0147030971945811]",0.014703097194581183
"[3, 6]",2,"[430.358, 524.9590000000001]","[0.437, 0.242]","[2.8800529204, 3.3366439847999994]","[10.0, 16.0]","[-0.04588434819822673, 0.04588434819822662]",0.04588434819822673
"[3, 7]",2,"[430.358, 537.1930000000001]","[0.437, 0.115]","[2.8800529204, 3.7196863938]","[10.0, 20.0]","[-0.046780508886413386, 0.04678050888641341]",0.04678050888641341
"[3, 8]",2,"[430.358, 543.152]","[0.437, 0.054]","[2.8800529204, 3.4030910657999995]","[10.0, 14.0]","[-0.01603107975502749, 0.0160310797550276]",0.0160310797550276
"[3, 9]",2,"[430.358, 562.054]","[0.437, 0.13]","[2.8800529204, 3.7499945446]","[10.0, 18.0]","[-0.046216967593185054, 0.046216967593184985]",0.046216967593185054
"[3, 10]",2,"[430.358, 568.8520000000001]","[0.437, 0.073]","[2.8800529204, 3.1645237905999997]","[10.0, 14.0]","[-0.013627058503282163, 0.013627058503282219]",0.013627058503282219
"[4, 5]",2,"[470.654, 495.913]","[0.098, 0.0413]","[2.6334684784999998, 2.5629852285999997]","[6.0, 10.0]","[0.008304946784995715, -0.008304946784995604]",0.008304946784995715
"[4, 6]",2,"[470.654, 524.9590000000001]","[0.098, 0.242]","[2.6334684784999998, 3.3366439847999994]","[6.0, 16.0]","[-0.06903719071121339, 0.06903719071121339]",0.06903719071121339
"[4, 7]",2,"[470.654, 537.1930000000001]","[0.098, 0.115]","[2.6334684784999998, 3.7196863938]","[6.0, 20.0]","[-0.13034116032052806, 0.13034116032052817]",0.13034116032052817
"[4, 8]",2,"[470.654, 543.152]","[0.098, 0.054]","[2.6334684784999998, 3.4030910657999995]","[6.0, 14.0]","[-0.07879878755137615, 0.07879878755137615]",0.07879878755137615
"[4, 9]",2,"[470.654, 562.054]","[0.098, 0.13]","[2.6334684784999998, 3.7499945446]","[6.0, 18.0]","[-0.13345337568148874, 0.1334533756814888]",0.1334533756814888
"[4, 10]",2,"[470.654, 568.8520000000001]","[0.098, 0.073]","[2.6334684784999998, 3.1645237905999997]","[6.0, 14.0]","[-0.06288265767518442, 0.0628826576751843]",0.06288265767518442
"[5, 6]",2,"[495.913, 524.9590000000001]","[0.0413, 0.242]","[2.5629852285999997, 3.3366439847999994]","[10.0, 16.0]","[-0.06488446673268208, 0.06488446673268189]",0.06488446673268208
"[5, 7]",2,"[495.913, 537.1930000000001]","[0.0413, 0.115]","[2.5629852285999997, 3.7196863938]","[10.0, 20.0]","[-0.13699021019070828, 0.1369902101907084]",0.1369902101907084
"[5, 8]",2,"[495.913, 543.152]","[0.0413, 0.054]","[2.5629852285999997, 3.4030910657999995]","[10.0, 14.0]","[-0.09514803305468744, 0.09514803305468739]",0.09514803305468744
