idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[359.26030000000003, 360.94910000000004]","[0.66, 0.58]","[3.8284701651999997, 3.7113165039999996]","[14.0, 12.0]","[0.014085011076668708, -0.014085011076668763]",0.014085011076668763
"[0, 2]",2,"[359.26030000000003, 363.42900000000003]","[0.66, 0.56]","[3.8284701651999997, 3.5950654171999994]","[14.0, 10.0]","[0.027836560826691836, -0.027836560826691892]",0.027836560826691892
"[0, 3]",2,"[359.26030000000003, 369.3989]","[0.66, 0.091]","[3.8284701651999997, 3.3553079339999994]","[14.0, 4.0]","[0.013637404283833754, -0.013637404283833705]",0.013637404283833754
"[1, 2]",2,"[360.94910000000004, 363.42900000000003]","[0.58, 0.56]","[3.7113165039999996, 3.5950654171999994]","[12.0, 10.0]","[0.014026960136002908, -0.014026960136002964]",0.014026960136002964
"[1, 3]",2,"[360.94910000000004, 369.3989]","[0.58, 0.091]","[3.7113165039999996, 3.3553079339999994]","[12.0, 4.0]","[0.011636579572103845, -0.0116365795721039]",0.0116365795721039
"[2, 3]",2,"[363.42900000000003, 369.3989]","[0.56, 0.091]","[3.5950654171999994, 3.3553079339999994]","[10.0, 4.0]","[0.008410301642113316, -0.00841030164211326]",0.008410301642113316
"[0, 1, 2]",3,"[359.26030000000003, 360.94910000000004, 363.42900000000003]","[0.66, 0.58, 0.56]","[3.8284701651999997, 3.7113165039999996, 3.5950654171999994]","[14.0, 12.0, 10.0]","[0.019610074663749533, -0.0014655638045269481, -0.018144510859222585]",0.019610074663749533
"[0, 1, 3]",3,"[359.26030000000003, 360.94910000000004, 369.3989]","[0.66, 0.58, 0.091]","[3.8284701651999997, 3.7113165039999996, 3.3553079339999994]","[14.0, 12.0, 4.0]","[0.017276892492796625, -0.010401182047632962, -0.006875710445163739]",0.017276892492796625
"[0, 2, 3]",3,"[359.26030000000003, 363.42900000000003, 369.3989]","[0.66, 0.56, 0.091]","[3.8284701651999997, 3.5950654171999994, 3.3553079339999994]","[14.0, 10.0, 4.0]","[0.03032081286886601, -0.024036083678311115, -0.006284729190555047]",0.03032081286886601
"[1, 2, 3]",3,"[360.94910000000004, 363.42900000000003, 369.3989]","[0.58, 0.56, 0.091]","[3.7113165039999996, 3.5950654171999994, 3.3553079339999994]","[12.0, 10.0, 4.0]","[0.016333526375087448, -0.01084429850065921, -0.005489227874428099]",0.016333526375087448
"[0, 1, 2, 3]",4,"[359.26030000000003, 360.94910000000004, 363.42900000000003, 369.3989]","[0.66, 0.58, 0.56, 0.091]","[3.8284701651999997, 3.7113165039999996, 3.5950654171999994, 3.3553079339999994]","[14.0, 12.0, 10.0, 4.0]","[0.020735193725438417, -3.4363223365085904e-05, -0.01640803581257161, -0.004292794689501729]",0.020735193725438417
