idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[313.12600000000003, 336.261]","[1.06, 0.934]","[3.9582871436, 3.7153297365999993]","[11.0, 5.0]","[0.026105358315121396, -0.026105358315121396]",0.026105358315121396
"[0, 2]",2,"[313.12600000000003, 342.50800000000004]","[1.06, 0.652]","[3.9582871436, 3.6481090203999997]","[11.0, 7.0]","[0.033757267723780515, -0.033757267723780404]",0.033757267723780515
"[0, 3]",2,"[313.12600000000003, 344.15000000000003]","[1.06, 0.56]","[3.9582871436, 3.6308435655999998]","[11.0, 5.0]","[0.029286853972666727, -0.02928685397266681]",0.02928685397266681
"[0, 4]",2,"[313.12600000000003, 345.366]","[1.06, 0.266]","[3.9582871436, 3.6181566921999995]","[11.0, 9.0]","[0.0281513207985139, -0.028151320798513818]",0.0281513207985139
"[0, 5]",2,"[313.12600000000003, 346.22]","[1.06, 0.54]","[3.9582871436, 3.5799373775999994]","[11.0, 11.0]","[0.04457230660596334, -0.04457230660596323]",0.04457230660596334
"[0, 6]",2,"[313.12600000000003, 384.802]","[1.06, 0.466]","[3.9582871436, 3.2210028796]","[11.0, 7.0]","[0.08166303515231343, -0.08166303515231355]",0.08166303515231355
"[1, 2]",2,"[336.261, 342.50800000000004]","[0.934, 0.652]","[3.7153297365999993, 3.6481090203999997]","[5.0, 7.0]","[0.008122259558183353, -0.008122259558183353]",0.008122259558183353
"[1, 3]",2,"[336.261, 344.15000000000003]","[0.934, 0.56]","[3.7153297365999993, 3.6308435655999998]","[5.0, 5.0]","[0.009749135619878113, -0.009749135619877891]",0.009749135619878113
"[1, 4]",2,"[336.261, 345.366]","[0.934, 0.266]","[3.7153297365999993, 3.6181566921999995]","[5.0, 9.0]","[0.010818705534960893, -0.010818705534960948]",0.010818705534960948
"[1, 5]",2,"[336.261, 346.22]","[0.934, 0.54]","[3.7153297365999993, 3.5799373775999994]","[5.0, 11.0]","[0.01580278974964, -0.01580278974964]",0.01580278974964
"[1, 6]",2,"[336.261, 384.802]","[0.934, 0.466]","[3.7153297365999993, 3.2210028796]","[5.0, 7.0]","[0.05952326285392917, -0.05952326285392934]",0.05952326285392934
"[2, 3]",2,"[342.50800000000004, 344.15000000000003]","[0.652, 0.56]","[3.6481090203999997, 3.6308435655999998]","[7.0, 5.0]","[0.001974771115901719, -0.001974771115901719]",0.001974771115901719
