idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[354.90020000000004, 371.0287]","[0.397, 1.54]","[3.6219465128399997, 3.52031006446]","[7.0, 9.0]","[0.006483761448849684, -0.0064837614488497675]",0.0064837614488497675
"[0, 2]",2,"[354.90020000000004, 377.433]","[0.397, 1.1]","[3.6219465128399997, 3.4134571575799995]","[7.0, 7.0]","[0.017840447255087793, -0.01784044725508782]",0.01784044725508782
"[0, 3]",2,"[354.90020000000004, 437.49330000000003]","[0.397, 0.997]","[3.6219465128399997, 3.2417363029599997]","[7.0, 5.0]","[0.03878530430930316, -0.03878530430930305]",0.03878530430930316
"[0, 4]",2,"[354.90020000000004, 488.3682]","[0.397, 0.47]","[3.6219465128399997, 3.6219465128399997]","[7.0, 7.0]","[0.0, -1.1102230246251565e-16]",1.1102230246251565e-16
"[0, 5]",2,"[354.90020000000004, 508.7418]","[0.397, 0.195]","[3.6219465128399997, 3.52031006446]","[7.0, 9.0]","[0.010906830185046568, -0.010906830185046623]",0.010906830185046623
"[1, 2]",2,"[371.0287, 377.433]","[1.54, 1.1]","[3.52031006446, 3.4134571575799995]","[9.0, 7.0]","[0.012211740094595136, -0.012211740094595136]",0.012211740094595136
"[1, 3]",2,"[371.0287, 437.49330000000003]","[1.54, 0.997]","[3.52031006446, 3.2417363029599997]","[9.0, 5.0]","[0.028243177609312387, -0.02824317760931233]",0.028243177609312387
"[1, 4]",2,"[371.0287, 488.3682]","[1.54, 0.47]","[3.52031006446, 3.6219465128399997]","[9.0, 7.0]","[-0.005830145177634027, 0.005830145177634111]",0.005830145177634111
"[1, 5]",2,"[371.0287, 508.7418]","[1.54, 0.195]","[3.52031006446, 3.52031006446]","[9.0, 9.0]","[0.0, 1.3877787807814457e-17]",1.3877787807814457e-17
"[2, 3]",2,"[377.433, 437.49330000000003]","[1.1, 0.997]","[3.4134571575799995, 3.2417363029599997]","[7.0, 5.0]","[0.02004256847395125, -0.02004256847395136]",0.02004256847395136
"[2, 4]",2,"[377.433, 488.3682]","[1.1, 0.47]","[3.4134571575799995, 3.6219465128399997]","[7.0, 7.0]","[-0.01638398637162808, 0.01638398637162819]",0.01638398637162819
"[2, 5]",2,"[377.433, 508.7418]","[1.1, 0.195]","[3.4134571575799995, 3.52031006446]","[7.0, 9.0]","[-0.005819827346549955, 0.005819827346550038]",0.005819827346550038
