idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[211.66700000000003, 265.375]","[0.341, 3.9]","[5.8554464608, 7.325994317399999]","[2.0, 8.0]","[-0.08584886475984471, 0.08584886475984477]",0.08584886475984477
"[0, 2]",2,"[211.66700000000003, 275.0477]","[0.341, 3.2]","[5.8554464608, 7.1617443735999995]","[2.0, 10.0]","[-0.06634470779586554, 0.06634470779586554]",0.06634470779586554
"[0, 3]",2,"[211.66700000000003, 289.1384]","[0.341, 0.342]","[5.8554464608, 4.2866543726]","[2.0, 4.0]","[0.0645779393086484, -0.06457793930864852]",0.06457793930864852
"[0, 4]",2,"[211.66700000000003, 328.937]","[0.341, 1.62]","[5.8554464608, 3.7680286753999996]","[2.0, 4.0]","[0.013408118384570372, -0.013408118384570455]",0.013408118384570455
"[0, 5]",2,"[211.66700000000003, 369.41900000000004]","[0.341, 1.23]","[5.8554464608, 3.3551244436]","[2.0, 2.0]","[0.028626162384745767, -0.02862616238474569]",0.028626162384745767
"[1, 2]",2,"[265.375, 275.0477]","[3.9, 3.2]","[7.325994317399999, 7.1617443735999995]","[8.0, 10.0]","[0.01967756403553178, -0.01967756403553178]",0.01967756403553178
"[1, 3]",2,"[265.375, 289.1384]","[3.9, 0.342]","[7.325994317399999, 4.2866543726]","[8.0, 4.0]","[0.3357903537015855, -0.33579035370158555]",0.33579035370158555
"[1, 4]",2,"[265.375, 328.937]","[3.9, 1.62]","[7.325994317399999, 3.7680286753999996]","[8.0, 4.0]","[0.1274328514235717, -0.12743285142357175]",0.12743285142357175
"[1, 5]",2,"[265.375, 369.41900000000004]","[3.9, 1.23]","[7.325994317399999, 3.3551244436]","[8.0, 2.0]","[0.22238598817637087, -0.22238598817637067]",0.22238598817637087
"[2, 3]",2,"[275.0477, 289.1384]","[3.2, 0.342]","[7.1617443735999995, 4.2866543726]","[10.0, 4.0]","[0.32871642765194664, -0.3287164276519467]",0.3287164276519467
"[2, 4]",2,"[275.0477, 328.937]","[3.2, 1.62]","[7.1617443735999995, 3.7680286753999996]","[10.0, 4.0]","[0.14032738588762111, -0.14032738588762117]",0.14032738588762117
"[2, 5]",2,"[275.0477, 369.41900000000004]","[3.2, 1.23]","[7.1617443735999995, 3.3551244436]","[10.0, 2.0]","[0.24033241639926017, -0.24033241639926006]",0.24033241639926017
"[3, 4]",2,"[289.1384, 328.937]","[0.342, 1.62]","[4.2866543726, 3.7680286753999996]","[4.0, 4.0]","[0.025299709603842216, -0.025299709603842202]",0.025299709603842216
"[3, 5]",2,"[289.1384, 369.41900000000004]","[0.342, 1.23]","[4.2866543726, 3.3551244436]","[4.0, 2.0]","[0.06860333214141245, -0.06860333214141234]",0.06860333214141245
"[4, 5]",2,"[328.937, 369.41900000000004]","[1.62, 1.23]","[3.7680286753999996, 3.3551244436]","[4.0, 2.0]","[0.045838629488040405, -0.045838629488040517]",0.045838629488040517
"[0, 1, 2]",3,"[211.66700000000003, 265.375, 275.0477]","[0.341, 3.9, 3.2]","[5.8554464608, 7.325994317399999, 7.1617443735999995]","[2.0, 8.0, 10.0]","[-0.043039445953922686, 0.037773676933211764, 0.005265769020711075]",0.043039445953922686
"[0, 1, 3]",3,"[211.66700000000003, 265.375, 289.1384]","[0.341, 3.9, 0.342]","[5.8554464608, 7.325994317399999, 4.2866543726]","[2.0, 8.0, 4.0]","[0.009643147953785645, 0.31319534191776177, -0.32283848987154756]",0.32283848987154756
"[0, 1, 4]",3,"[211.66700000000003, 265.375, 328.937]","[0.341, 3.9, 1.62]","[5.8554464608, 7.325994317399999, 3.7680286753999996]","[2.0, 8.0, 4.0]","[0.010313705434381, 0.12480890078209728, -0.1351226062164783]",0.1351226062164783
"[0, 1, 5]",3,"[211.66700000000003, 265.375, 369.41900000000004]","[0.341, 3.9, 1.23]","[5.8554464608, 7.325994317399999, 3.3551244436]","[2.0, 8.0, 2.0]","[0.01826222336489436, 0.21468364231494208, -0.23294586567983644]",0.23294586567983644
"[0, 2, 3]",3,"[211.66700000000003, 275.0477, 289.1384]","[0.341, 3.2, 0.342]","[5.8554464608, 7.1617443735999995, 4.2866543726]","[2.0, 10.0, 4.0]","[0.007597353611643362, 0.30826488993198775, -0.315862243543631]",0.315862243543631
"[0, 2, 4]",3,"[211.66700000000003, 275.0477, 328.937]","[0.341, 3.2, 1.62]","[5.8554464608, 7.1617443735999995, 3.7680286753999996]","[2.0, 10.0, 4.0]","[0.009936508376693498, 0.13746610780121227, -0.14740261617790573]",0.14740261617790573
"[0, 2, 5]",3,"[211.66700000000003, 275.0477, 369.41900000000004]","[0.341, 3.2, 1.23]","[5.8554464608, 7.1617443735999995, 3.3551244436]","[2.0, 10.0, 2.0]","[0.017180541056222742, 0.23222469515733374, -0.2494052362135566]",0.2494052362135566
"[0, 3, 4]",3,"[211.66700000000003, 289.1384, 328.937]","[0.341, 0.342, 1.62]","[5.8554464608, 4.2866543726, 3.7680286753999996]","[2.0, 4.0, 4.0]","[0.011551430773512573, 0.02365422874339776, -0.03520565951691024]",0.03520565951691024
"[0, 3, 5]",3,"[211.66700000000003, 289.1384, 369.41900000000004]","[0.341, 0.342, 1.23]","[5.8554464608, 4.2866543726, 3.3551244436]","[2.0, 4.0, 2.0]","[0.021621218712638543, 0.06302286539034885, -0.08464408410298718]",0.08464408410298718
"[0, 4, 5]",3,"[211.66700000000003, 328.937, 369.41900000000004]","[0.341, 1.62, 1.23]","[5.8554464608, 3.7680286753999996, 3.3551244436]","[2.0, 4.0, 2.0]","[0.00936241718651033, 0.03938968569327894, -0.048752102879789316]",0.048752102879789316
"[1, 2, 3]",3,"[265.375, 275.0477, 289.1384]","[3.9, 3.2, 0.342]","[7.325994317399999, 7.1617443735999995, 4.2866543726]","[8.0, 10.0, 4.0]","[0.16262770854863684, 0.17139934767694498, -0.3340270562255819]",0.3340270562255819
"[1, 2, 4]",3,"[265.375, 275.0477, 328.937]","[3.9, 3.2, 1.62]","[7.325994317399999, 7.1617443735999995, 3.7680286753999996]","[8.0, 10.0, 4.0]","[0.10355454588799115, 0.11706872434619708, -0.22062327023418826]",0.22062327023418826
"[1, 2, 5]",3,"[265.375, 275.0477, 369.41900000000004]","[3.9, 3.2, 1.23]","[7.325994317399999, 7.1617443735999995, 3.3551244436]","[8.0, 10.0, 2.0]","[0.15911466729030596, 0.17982163787966626, -0.3389363051699723]",0.3389363051699723
"[1, 3, 4]",3,"[265.375, 289.1384, 328.937]","[3.9, 0.342, 1.62]","[7.325994317399999, 4.2866543726, 3.7680286753999996]","[8.0, 4.0, 4.0]","[0.1132300538334785, 0.010167186655236318, -0.12339724048871481]",0.12339724048871481
"[1, 3, 5]",3,"[265.375, 289.1384, 369.41900000000004]","[3.9, 0.342, 1.23]","[7.325994317399999, 4.2866543726, 3.3551244436]","[8.0, 4.0, 2.0]","[0.18260938302907798, 0.024623321134206566, -0.20723270416328454]",0.20723270416328454
"[1, 4, 5]",3,"[265.375, 328.937, 369.41900000000004]","[3.9, 1.62, 1.23]","[7.325994317399999, 3.7680286753999996, 3.3551244436]","[8.0, 4.0, 2.0]","[0.09205695890605703, -0.016323749100279894, -0.07573320980577714]",0.09205695890605703
"[2, 3, 4]",3,"[275.0477, 289.1384, 328.937]","[3.2, 0.342, 1.62]","[7.1617443735999995, 4.2866543726, 3.7680286753999996]","[10.0, 4.0, 4.0]","[0.12505002560521988, 0.008480418131909168, -0.13353044373712897]",0.13353044373712897
