idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[340.7792, 353.1703]","[0.488, 1.56]","[3.63708881014, 3.5094823951399996]","[18.0, 20.0]","[0.034892300975492785, -0.034892300975492896]",0.034892300975492896
"[0, 2]",2,"[340.7792, 363.0239]","[0.488, 0.305]","[3.63708881014, 3.9524396268999995]","[18.0, 18.0]","[-0.10813668596781056, 0.10813668596781054]",0.10813668596781056
"[0, 3]",2,"[340.7792, 364.53960000000006]","[0.488, 0.62]","[3.63708881014, 3.5027272208599998]","[18.0, 18.0]","[0.056487601813745014, -0.056487601813745014]",0.056487601813745014
"[0, 4]",2,"[340.7792, 369.4811]","[0.488, 0.237]","[3.63708881014, 3.45725582014]","[18.0, 16.0]","[0.07021744096325122, -0.07021744096325105]",0.07021744096325122
"[0, 5]",2,"[340.7792, 375.73670000000004]","[0.488, 0.201]","[3.63708881014, 3.40140766536]","[18.0, 16.0]","[0.08886136645687215, -0.08886136645687209]",0.08886136645687215
"[0, 6]",2,"[340.7792, 387.2103]","[0.488, 0.254]","[3.63708881014, 3.2009695713]","[18.0, 18.0]","[0.18655087829280742, -0.18655087829280742]",0.18655087829280742
"[0, 7]",2,"[340.7792, 394.46790000000004]","[0.488, 0.307]","[3.63708881014, 3.1420780794599996]","[18.0, 18.0]","[0.21154967136458291, -0.21154967136458291]",0.21154967136458291
"[0, 8]",2,"[340.7792, 396.83840000000004]","[0.488, 0.455]","[3.63708881014, 3.12330899522]","[18.0, 16.0]","[0.21155264658237355, -0.21155264658237344]",0.21155264658237355
"[0, 9]",2,"[340.7792, 407.79650000000004]","[0.488, 0.202]","[3.63708881014, 3.1420780794599996]","[18.0, 18.0]","[0.20627295257460115, -0.2062729525746012]",0.2062729525746012
"[1, 2]",2,"[353.1703, 363.0239]","[1.56, 0.305]","[3.5094823951399996, 3.9524396268999995]","[20.0, 18.0]","[-0.05921008388017013, 0.05921008388017016]",0.05921008388017016
"[1, 3]",2,"[353.1703, 364.53960000000006]","[1.56, 0.62]","[3.5094823951399996, 3.5027272208599998]","[20.0, 18.0]","[0.0022580038073209963, -0.002258003807321163]",0.002258003807321163
"[1, 4]",2,"[353.1703, 369.4811]","[1.56, 0.237]","[3.5094823951399996, 3.45725582014]","[20.0, 16.0]","[0.008997641733031969, -0.00899764173303183]",0.008997641733031969
"[1, 5]",2,"[353.1703, 375.73670000000004]","[1.56, 0.201]","[3.5094823951399996, 3.40140766536]","[20.0, 16.0]","[0.017211926930525645, -0.01721192693052566]",0.01721192693052566
"[1, 6]",2,"[353.1703, 387.2103]","[1.56, 0.254]","[3.5094823951399996, 3.2009695713]","[20.0, 18.0]","[0.0769375473800038, -0.0769375473800038]",0.0769375473800038
"[1, 7]",2,"[353.1703, 394.46790000000004]","[1.56, 0.307]","[3.5094823951399996, 3.1420780794599996]","[20.0, 18.0]","[0.10708840284688603, -0.10708840284688612]",0.10708840284688612
"[1, 8]",2,"[353.1703, 396.83840000000004]","[1.56, 0.455]","[3.5094823951399996, 3.12330899522]","[20.0, 16.0]","[0.131014696615397, -0.13101469661539694]",0.131014696615397
"[1, 9]",2,"[353.1703, 407.79650000000004]","[1.56, 0.202]","[3.5094823951399996, 3.1420780794599996]","[20.0, 18.0]","[0.080407258847637, -0.08040725884763712]",0.08040725884763712
"[2, 3]",2,"[363.0239, 364.53960000000006]","[0.305, 0.62]","[3.9524396268999995, 3.5027272208599998]","[18.0, 18.0]","[0.12746754110878533, -0.12746754110878533]",0.12746754110878533
"[2, 4]",2,"[363.0239, 369.4811]","[0.305, 0.237]","[3.9524396268999995, 3.45725582014]","[18.0, 16.0]","[0.20676862101544496, -0.20676862101544496]",0.20676862101544496
"[2, 5]",2,"[363.0239, 375.73670000000004]","[0.305, 0.201]","[3.9524396268999995, 3.40140766536]","[18.0, 16.0]","[0.23238119741539215, -0.23238119741539232]",0.23238119741539232
"[2, 6]",2,"[363.0239, 387.2103]","[0.305, 0.254]","[3.9524396268999995, 3.2009695713]","[18.0, 18.0]","[0.2700715373869029, -0.2700715373869028]",0.2700715373869029
"[2, 7]",2,"[363.0239, 394.46790000000004]","[0.305, 0.307]","[3.9524396268999995, 3.1420780794599996]","[18.0, 18.0]","[0.26150070014317217, -0.2615007001431723]",0.2615007001431723
"[2, 8]",2,"[363.0239, 396.83840000000004]","[0.305, 0.455]","[3.9524396268999995, 3.12330899522]","[18.0, 16.0]","[0.23014145362090527, -0.23014145362090532]",0.23014145362090532
"[2, 9]",2,"[363.0239, 407.79650000000004]","[0.305, 0.202]","[3.9524396268999995, 3.1420780794599996]","[18.0, 18.0]","[0.30905988879921326, -0.30905988879921326]",0.30905988879921326
"[3, 4]",2,"[364.53960000000006, 369.4811]","[0.62, 0.237]","[3.5027272208599998, 3.45725582014]","[18.0, 16.0]","[0.015366609057488434, -0.015366609057488434]",0.015366609057488434
"[3, 5]",2,"[364.53960000000006, 375.73670000000004]","[0.62, 0.201]","[3.5027272208599998, 3.40140766536]","[18.0, 16.0]","[0.03258484107228399, -0.03258484107228399]",0.03258484107228399
"[3, 6]",2,"[364.53960000000006, 387.2103]","[0.62, 0.254]","[3.5027272208599998, 3.2009695713]","[18.0, 18.0]","[0.12241007484306121, -0.12241007484306116]",0.12241007484306121
"[3, 7]",2,"[364.53960000000006, 394.46790000000004]","[0.62, 0.307]","[3.5027272208599998, 3.1420780794599996]","[18.0, 18.0]","[0.1531545410555451, -0.15315454105554516]",0.15315454105554516
"[3, 8]",2,"[364.53960000000006, 396.83840000000004]","[0.62, 0.455]","[3.5027272208599998, 3.12330899522]","[18.0, 16.0]","[0.16356874554172313, -0.16356874554172307]",0.16356874554172313
"[3, 9]",2,"[364.53960000000006, 407.79650000000004]","[0.62, 0.202]","[3.5027272208599998, 3.1420780794599996]","[18.0, 18.0]","[0.13795542991487697, -0.13795542991487714]",0.13795542991487714
"[4, 5]",2,"[369.4811, 375.73670000000004]","[0.237, 0.201]","[3.45725582014, 3.40140766536]","[16.0, 16.0]","[0.024237377655418224, -0.024237377655418224]",0.024237377655418224
"[4, 6]",2,"[369.4811, 387.2103]","[0.237, 0.254]","[3.45725582014, 3.2009695713]","[16.0, 18.0]","[0.10417751071693265, -0.10417751071693271]",0.10417751071693271
"[4, 7]",2,"[369.4811, 394.46790000000004]","[0.237, 0.307]","[3.45725582014, 3.1420780794599996]","[16.0, 18.0]","[0.11830724234840062, -0.11830724234840062]",0.11830724234840062
"[4, 8]",2,"[369.4811, 396.83840000000004]","[0.237, 0.455]","[3.45725582014, 3.12330899522]","[16.0, 16.0]","[0.11057789305610524, -0.11057789305610533]",0.11057789305610533
"[4, 9]",2,"[369.4811, 407.79650000000004]","[0.237, 0.202]","[3.45725582014, 3.1420780794599996]","[16.0, 18.0]","[0.13300561273000772, -0.13300561273000788]",0.13300561273000788
"[5, 6]",2,"[375.73670000000004, 387.2103]","[0.201, 0.254]","[3.40140766536, 3.2009695713]","[16.0, 18.0]","[0.07938180697542546, -0.0793818069754254]",0.07938180697542546
"[5, 7]",2,"[375.73670000000004, 394.46790000000004]","[0.201, 0.307]","[3.40140766536, 3.1420780794599996]","[16.0, 18.0]","[0.09377426740002887, -0.09377426740002903]",0.09377426740002903
"[5, 8]",2,"[375.73670000000004, 396.83840000000004]","[0.201, 0.455]","[3.40140766536, 3.12330899522]","[16.0, 16.0]","[0.08761964939801575, -0.08761964939801581]",0.08761964939801581
"[5, 9]",2,"[375.73670000000004, 407.79650000000004]","[0.201, 0.202]","[3.40140766536, 3.1420780794599996]","[16.0, 18.0]","[0.10768519422685074, -0.10768519422685074]",0.10768519422685074
"[6, 7]",2,"[387.2103, 394.46790000000004]","[0.254, 0.307]","[3.2009695713, 3.1420780794599996]","[18.0, 18.0]","[0.0252060077526417, -0.025206007752641812]",0.025206007752641812
"[6, 8]",2,"[387.2103, 396.83840000000004]","[0.254, 0.455]","[3.2009695713, 3.12330899522]","[18.0, 16.0]","[0.0313263690053337, -0.0313263690053337]",0.0313263690053337
