idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[323.0582, 326.4782]","[1.5, 0.58]","[3.8911949946599997, 3.7964042259599995]","[12.0, 14.0]","[0.03694296764314031, -0.03694296764314031]",0.03694296764314031
"[0, 2]",2,"[323.0582, 337.271]","[1.5, 1.3]","[3.8911949946599997, 3.6748741947399997]","[12.0, 16.0]","[0.08995858379587324, -0.08995858379587318]",0.08995858379587324
"[0, 3]",2,"[323.0582, 339.19980000000004]","[1.5, 0.235]","[3.8911949946599997, 3.6540363802199995]","[12.0, 16.0]","[0.0706257868950636, -0.07062578689506366]",0.07062578689506366
"[0, 4]",2,"[323.0582, 349.9104]","[1.5, 0.75]","[3.8911949946599997, 3.5967856396999998]","[12.0, 10.0]","[0.11905876363253931, -0.11905876363253931]",0.11905876363253931
"[0, 5]",2,"[323.0582, 361.65650000000005]","[1.5, 0.2]","[3.8911949946599997, 3.42713673884]","[12.0, 12.0]","[0.1242076359325085, -0.1242076359325085]",0.1242076359325085
"[0, 6]",2,"[323.0582, 389.6234]","[1.5, 0.18]","[3.8911949946599997, 3.23575054856]","[12.0, 14.0]","[0.20185304735121434, -0.20185304735121426]",0.20185304735121434
"[0, 7]",2,"[323.0582, 390.63110000000006]","[1.5, 0.323]","[3.8911949946599997, 3.1729386851399997]","[12.0, 12.0]","[0.2726840257717008, -0.2726840257717009]",0.2726840257717009
"[1, 2]",2,"[326.4782, 337.271]","[0.58, 1.3]","[3.7964042259599995, 3.6748741947399997]","[14.0, 16.0]","[0.03993632445997611, -0.03993632445997608]",0.03993632445997611
"[1, 3]",2,"[326.4782, 339.19980000000004]","[0.58, 0.235]","[3.7964042259599995, 3.6540363802199995]","[14.0, 16.0]","[0.0566157894535021, -0.05661578945350193]",0.0566157894535021
"[1, 4]",2,"[326.4782, 349.9104]","[0.58, 0.75]","[3.7964042259599995, 3.5967856396999998]","[14.0, 10.0]","[0.08622513904832163, -0.08622513904832174]",0.08622513904832174
"[1, 5]",2,"[326.4782, 361.65650000000005]","[0.58, 0.2]","[3.7964042259599995, 3.42713673884]","[14.0, 12.0]","[0.13755692152439158, -0.1375569215243916]",0.1375569215243916
