idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[272.778, 281.394]","[0.65, 0.55]","[4.5437368209999995, 4.404639939599999]","[11.0, 9.0]","[0.05987591467653919, -0.05987591467653941]",0.05987591467653941
"[0, 2]",2,"[272.778, 290.668]","[0.65, 0.41]","[4.5437368209999995, 4.2641148086]","[11.0, 7.0]","[0.11186428025605188, -0.11186428025605194]",0.11186428025605194
"[0, 3]",2,"[272.778, 368.84200000000004]","[0.65, 0.13]","[4.5437368209999995, 3.3603625985999996]","[11.0, 7.0]","[0.4371261679879965, -0.43712616798799653]",0.43712616798799653
"[0, 4]",2,"[272.778, 372.494]","[0.65, 0.45]","[4.5437368209999995, 3.3274372299999997]","[11.0, 9.0]","[0.41812412426383605, -0.418124124263836]",0.41812412426383605
"[0, 5]",2,"[272.778, 381.96700000000004]","[0.65, 1.27]","[4.5437368209999995, 3.2449074634]","[11.0, 11.0]","[0.2182585115294281, -0.2182585115294281]",0.2182585115294281
"[0, 6]",2,"[272.778, 393.048]","[0.65, 1.07]","[4.5437368209999995, 3.3603625985999996]","[11.0, 7.0]","[0.3279848323929785, -0.3279848323929785]",0.3279848323929785
"[0, 7]",2,"[272.778, 397.196]","[0.65, 0.89]","[4.5437368209999995, 3.3274372299999997]","[11.0, 9.0]","[0.3191893595887322, -0.31918935958873207]",0.3191893595887322
"[0, 8]",2,"[272.778, 412.97]","[0.65, 0.68]","[4.5437368209999995, 3.0012904828]","[11.0, 9.0]","[0.3725366854179126, -0.3725366854179126]",0.3725366854179126
"[0, 9]",2,"[272.778, 420.50500000000005]","[0.65, 0.71]","[4.5437368209999995, 2.9475352343999996]","[11.0, 7.0]","[0.4158759363045212, -0.41587593630452113]",0.4158759363045212
"[0, 10]",2,"[272.778, 443.55600000000004]","[0.65, 0.31]","[4.5437368209999995, 3.0012904828]","[11.0, 9.0]","[0.525926799796003, -0.5259267997960029]",0.525926799796003
"[1, 2]",2,"[281.394, 290.668]","[0.55, 0.41]","[4.404639939599999, 4.2641148086]","[9.0, 7.0]","[0.059000403735274376, -0.05900040373527449]",0.05900040373527449
"[1, 3]",2,"[281.394, 368.84200000000004]","[0.55, 0.13]","[4.404639939599999, 3.3603625985999996]","[9.0, 7.0]","[0.40836017634198285, -0.4083601763419828]",0.40836017634198285
