idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[364.54200000000003, 375.908]","[0.43, 0.49]","[3.4000163617999997, 3.541538292]","[3.0, 9.0]","[-0.04856268897692326, 0.048562688976923285]",0.048562688976923285
"[0, 2]",2,"[364.54200000000003, 387.164]","[0.43, 0.467]","[3.4000163617999997, 3.3273330867999995]","[3.0, 7.0]","[0.025156922777496205, -0.02515692277749615]",0.025156922777496205
"[0, 3]",2,"[364.54200000000003, 394.91]","[0.43, 1.47]","[3.4000163617999997, 3.541538292]","[3.0, 9.0]","[-0.025059942048340805, 0.025059942048340944]",0.025059942048340944
"[0, 4]",2,"[364.54200000000003, 398.85200000000003]","[0.43, 0.97]","[3.4000163617999997, 3.5105246949999995]","[3.0, 7.0]","[-0.030332311932711437, 0.030332311932711353]",0.030332311932711437
"[0, 5]",2,"[364.54200000000003, 399.57500000000005]","[0.43, 0.72]","[3.4000163617999997, 3.2748089597999996]","[3.0, 5.0]","[0.040496419546163426, -0.04049641954616323]",0.040496419546163426
"[0, 6]",2,"[364.54200000000003, 403.16900000000004]","[0.43, 0.68]","[3.4000163617999997, 3.3955778777999996]","[3.0, 5.0]","[0.0016044108698044512, -0.0016044108698044512]",0.0016044108698044512
"[0, 7]",2,"[364.54200000000003, 407.735]","[0.43, 0.7]","[3.4000163617999997, 3.2748089597999996]","[3.0, 5.0]","[0.04148083418129092, -0.04148083418129078]",0.04148083418129092
"[0, 8]",2,"[364.54200000000003, 412.323]","[0.43, 0.75]","[3.4000163617999997, 3.3273330867999995]","[3.0, 7.0]","[0.02024881432989739, -0.020248814329897336]",0.02024881432989739
"[0, 9]",2,"[364.54200000000003, 442.99]","[0.43, 0.303]","[3.4000163617999997, 3.0328805867999997]","[3.0, 5.0]","[0.1491985317815473, -0.1491985317815473]",0.1491985317815473
"[0, 10]",2,"[364.54200000000003, 461.33900000000006]","[0.43, 0.11]","[3.4000163617999997, 3.3955778777999996]","[3.0, 5.0]","[0.001460963475705901, -0.001460963475705901]",0.001460963475705901
"[0, 11]",2,"[364.54200000000003, 472.84200000000004]","[0.43, 0.0177]","[3.4000163617999997, 2.7941744539999998]","[3.0, 7.0]","[0.13680113196976607, -0.13680113196976607]",0.13680113196976607
"[0, 12]",2,"[364.54200000000003, 499.94700000000006]","[0.43, 0.09]","[3.4000163617999997, 2.8821543814]","[3.0, 5.0]","[0.2026392876984442, -0.2026392876984442]",0.2026392876984442
"[0, 13]",2,"[364.54200000000003, 518.342]","[0.43, 0.089]","[3.4000163617999997, 2.7941744539999998]","[3.0, 7.0]","[0.2552846131334251, -0.2552846131334252]",0.2552846131334252
"[1, 2]",2,"[375.908, 387.164]","[0.49, 0.467]","[3.541538292, 3.3273330867999995]","[9.0, 7.0]","[0.09293892582231583, -0.09293892582231589]",0.09293892582231589
"[1, 3]",2,"[375.908, 394.91]","[0.49, 1.47]","[3.541538292, 3.541538292]","[9.0, 9.0]","[5.551115123125783e-17, 0.0]",5.551115123125783e-17
"[1, 4]",2,"[375.908, 398.85200000000003]","[0.49, 0.97]","[3.541538292, 3.5105246949999995]","[9.0, 7.0]","[0.01292453001619448, -0.012924530016194313]",0.01292453001619448
"[1, 5]",2,"[375.908, 399.57500000000005]","[0.49, 0.72]","[3.541538292, 3.2748089597999996]","[9.0, 5.0]","[0.11512447973860679, -0.11512447973860679]",0.11512447973860679
"[1, 6]",2,"[375.908, 403.16900000000004]","[0.49, 0.68]","[3.541538292, 3.3955778777999996]","[9.0, 5.0]","[0.0632114035381326, -0.06321140353813254]",0.0632114035381326
"[1, 7]",2,"[375.908, 407.735]","[0.49, 0.7]","[3.541538292, 3.2748089597999996]","[9.0, 5.0]","[0.11539585578821038, -0.11539585578821038]",0.11539585578821038
"[1, 8]",2,"[375.908, 412.323]","[0.49, 0.75]","[3.541538292, 3.3273330867999995]","[9.0, 7.0]","[0.089483878418956, -0.089483878418956]",0.089483878418956
"[1, 9]",2,"[375.908, 442.99]","[0.49, 0.303]","[3.541538292, 3.0328805867999997]","[9.0, 5.0]","[0.2055734787228638, -0.2055734787228639]",0.2055734787228639
"[1, 10]",2,"[375.908, 461.33900000000006]","[0.49, 0.11]","[3.541538292, 3.3955778777999996]","[9.0, 5.0]","[0.02521193617540407, -0.025211936175404112]",0.025211936175404112
"[1, 11]",2,"[375.908, 472.84200000000004]","[0.49, 0.0177]","[3.541538292, 2.7941744539999998]","[9.0, 7.0]","[0.07903182593173497, -0.07903182593173505]",0.07903182593173505
"[1, 12]",2,"[375.908, 499.94700000000006]","[0.49, 0.09]","[3.541538292, 2.8821543814]","[9.0, 5.0]","[0.16058552554372651, -0.16058552554372663]",0.16058552554372663
"[1, 13]",2,"[375.908, 518.342]","[0.49, 0.089]","[3.541538292, 2.7941744539999998]","[9.0, 7.0]","[0.23080839751387217, -0.23080839751387203]",0.23080839751387217
