idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[219.554, 289.48400000000004]","[0.714, 1.66]","[5.6450982733999995, 6.0419408962]","[3.0, 7.0]","[-0.14478773279497598, 0.14478773279497614]",0.14478773279497614
"[0, 2]",2,"[219.554, 291.139]","[0.714, 2.42]","[5.6450982733999995, 6.017596183399999]","[3.0, 9.0]","[-0.09707630276330986, 0.09707630276330992]",0.09707630276330992
"[0, 3]",2,"[219.554, 307.76]","[0.714, 1.24]","[5.6450982733999995, 5.5690179464]","[3.0, 7.0]","[0.02391195419924802, -0.023911954199248076]",0.023911954199248076
"[0, 4]",2,"[219.554, 325.43100000000004]","[0.714, 0.6]","[5.6450982733999995, 5.5690179464]","[3.0, 7.0]","[0.03186887797069271, -0.03186887797069282]",0.03186887797069282
"[0, 5]",2,"[219.554, 622.187]","[0.714, 0.099]","[5.6450982733999995, 3.5338217767999995]","[3.0, 3.0]","[0.7251367583026282, -0.7251367583026282]",0.7251367583026282
"[1, 2]",2,"[289.48400000000004, 291.139]","[1.66, 2.42]","[6.0419408962, 6.017596183399999]","[7.0, 9.0]","[0.009525431567877773, -0.009525431567877773]",0.009525431567877773
"[1, 3]",2,"[289.48400000000004, 307.76]","[1.66, 1.24]","[6.0419408962, 5.5690179464]","[7.0, 7.0]","[0.19763991397834102, -0.19763991397834108]",0.19763991397834108
"[1, 4]",2,"[289.48400000000004, 325.43100000000004]","[1.66, 0.6]","[6.0419408962, 5.5690179464]","[7.0, 7.0]","[0.19345142412186922, -0.19345142412186933]",0.19345142412186933
"[1, 5]",2,"[289.48400000000004, 622.187]","[1.66, 0.099]","[6.0419408962, 3.5338217767999995]","[7.0, 3.0]","[0.7519730365835283, -0.7519730365835282]",0.7519730365835283
"[2, 3]",2,"[291.139, 307.76]","[2.42, 1.24]","[6.017596183399999, 5.5690179464]","[9.0, 7.0]","[0.18795047872314602, -0.18795047872314602]",0.18795047872314602
"[2, 4]",2,"[291.139, 325.43100000000004]","[2.42, 0.6]","[6.017596183399999, 5.5690179464]","[9.0, 7.0]","[0.1453650225824361, -0.1453650225824361]",0.1453650225824361
"[2, 5]",2,"[291.139, 622.187]","[2.42, 0.099]","[6.017596183399999, 3.5338217767999995]","[9.0, 3.0]","[0.6441791166460245, -0.6441791166460245]",0.6441791166460245
"[3, 4]",2,"[307.76, 325.43100000000004]","[1.24, 0.6]","[5.5690179464, 5.5690179464]","[7.0, 7.0]","[0.0, 5.551115123125783e-17]",5.551115123125783e-17
"[3, 5]",2,"[307.76, 622.187]","[1.24, 0.099]","[5.5690179464, 3.5338217767999995]","[7.0, 3.0]","[0.6035288989506747, -0.6035288989506747]",0.6035288989506747
"[4, 5]",2,"[325.43100000000004, 622.187]","[0.6, 0.099]","[5.5690179464, 3.5338217767999995]","[7.0, 3.0]","[0.6988035108461093, -0.6988035108461091]",0.6988035108461093
