idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[380.53600000000006, 410.946]","[0.45, 0.55]","[3.5776778420999995, 3.3366446046999996]","[16.0, 16.0]","[0.09892187441591022, -0.09892187441591016]",0.09892187441591022
"[0, 2]",2,"[380.53600000000006, 415.608]","[0.45, 0.42]","[3.5776778420999995, 3.1645237905999997]","[16.0, 14.0]","[0.17383917714941255, -0.1738391771494125]",0.17383917714941255
"[0, 3]",2,"[380.53600000000006, 430.358]","[0.45, 0.437]","[3.5776778420999995, 2.8800529204]","[16.0, 10.0]","[0.2846023312457749, -0.28460233124577483]",0.2846023312457749
"[0, 4]",2,"[380.53600000000006, 470.654]","[0.45, 0.098]","[3.5776778420999995, 2.6334684784999998]","[16.0, 6.0]","[0.268900397586315, -0.26890039758631507]",0.26890039758631507
"[0, 5]",2,"[380.53600000000006, 495.913]","[0.45, 0.0413]","[3.5776778420999995, 2.5629852285999997]","[16.0, 10.0]","[0.24339014976287476, -0.24339014976287474]",0.24339014976287476
"[0, 6]",2,"[380.53600000000006, 524.9590000000001]","[0.45, 0.242]","[3.5776778420999995, 3.3366439847999994]","[16.0, 16.0]","[0.0959359190471466, -0.09593591904714671]",0.09593591904714671
"[0, 7]",2,"[380.53600000000006, 537.1930000000001]","[0.45, 0.115]","[3.5776778420999995, 3.7196863938]","[16.0, 20.0]","[-0.032482083722640165, 0.03248208372264022]",0.03248208372264022
"[0, 8]",2,"[380.53600000000006, 543.152]","[0.45, 0.054]","[3.5776778420999995, 3.4030910657999995]","[16.0, 14.0]","[0.0240775763580795, -0.024077576358079444]",0.0240775763580795
"[0, 9]",2,"[380.53600000000006, 562.054]","[0.45, 0.13]","[3.5776778420999995, 3.7499945446]","[16.0, 18.0]","[-0.03749789075916299, 0.037497890759163044]",0.037497890759163044
"[0, 10]",2,"[380.53600000000006, 568.8520000000001]","[0.45, 0.073]","[3.5776778420999995, 3.1645237905999997]","[16.0, 14.0]","[0.09085388867134292, -0.0908538886713429]",0.09085388867134292
"[1, 2]",2,"[410.946, 415.608]","[0.55, 0.42]","[3.3366446046999996, 3.1645237905999997]","[16.0, 14.0]","[0.07425944158722653, -0.07425944158722653]",0.07425944158722653
"[1, 3]",2,"[410.946, 430.358]","[0.55, 0.437]","[3.3366446046999996, 2.8800529204]","[16.0, 10.0]","[0.19578972774257536, -0.1957897277425752]",0.19578972774257536
"[1, 4]",2,"[410.946, 470.654]","[0.55, 0.098]","[3.3366446046999996, 2.6334684784999998]","[16.0, 6.0]","[0.14914271163065274, -0.14914271163065265]",0.14914271163065274
"[1, 5]",2,"[410.946, 495.913]","[0.55, 0.0413]","[3.3366446046999996, 2.5629852285999997]","[16.0, 10.0]","[0.13235797456843257, -0.1323579745684326]",0.1323579745684326
"[1, 6]",2,"[410.946, 524.9590000000001]","[0.55, 0.242]","[3.3366446046999996, 3.3366439847999994]","[16.0, 16.0]","[2.0562235414356422e-07, -2.0562235414356422e-07]",2.0562235414356422e-07
"[1, 7]",2,"[410.946, 537.1930000000001]","[0.55, 0.115]","[3.3366446046999996, 3.7196863938]","[16.0, 20.0]","[-0.06205504395107586, 0.062055043951075986]",0.062055043951075986
"[1, 8]",2,"[410.946, 543.152]","[0.55, 0.054]","[3.3366446046999996, 3.4030910657999995]","[16.0, 14.0]","[-0.0060895585331147695, 0.006089558533114797]",0.006089558533114797
"[1, 9]",2,"[410.946, 562.054]","[0.55, 0.13]","[3.3366446046999996, 3.7499945446]","[16.0, 18.0]","[-0.06334143947497572, 0.06334143947497574]",0.06334143947497574
"[1, 10]",2,"[410.946, 568.8520000000001]","[0.55, 0.073]","[3.3366446046999996, 3.1645237905999997]","[16.0, 14.0]","[0.026343021230637365, -0.026343021230637365]",0.026343021230637365
"[2, 3]",2,"[415.608, 430.358]","[0.42, 0.437]","[3.1645237905999997, 2.8800529204]","[14.0, 10.0]","[0.12296593507184284, -0.122965935071843]",0.122965935071843
"[2, 4]",2,"[415.608, 470.654]","[0.42, 0.098]","[3.1645237905999997, 2.6334684784999998]","[14.0, 6.0]","[0.12518656616860246, -0.1251865661686024]",0.12518656616860246
"[2, 5]",2,"[415.608, 495.913]","[0.42, 0.0413]","[3.1645237905999997, 2.5629852285999997]","[14.0, 10.0]","[0.11507862148839698, -0.11507862148839708]",0.11507862148839708
"[2, 6]",2,"[415.608, 524.9590000000001]","[0.42, 0.242]","[3.1645237905999997, 3.3366439847999994]","[14.0, 16.0]","[-0.061488680871938595, 0.06148868087193865]",0.06148868087193865
