idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[359.26030000000003, 360.94910000000004]","[0.66, 0.58]","[3.8284701651999997, 3.7113165039999996]","[14.0, 12.0]","[0.050760802197566846, -0.050760802197566846]",0.050760802197566846
"[0, 2]",2,"[359.26030000000003, 363.42900000000003]","[0.66, 0.56]","[3.8284701651999997, 3.5950654171999994]","[14.0, 10.0]","[0.10047045392358905, -0.100470453923589]",0.10047045392358905
"[0, 3]",2,"[359.26030000000003, 369.3989]","[0.66, 0.091]","[3.8284701651999997, 3.3553079339999994]","[14.0, 4.0]","[0.0550509788887128, -0.05505097888871287]",0.05505097888871287
"[1, 2]",2,"[360.94910000000004, 363.42900000000003]","[0.58, 0.56]","[3.7113165039999996, 3.5950654171999994]","[12.0, 10.0]","[0.05050683775303455, -0.05050683775303455]",0.05050683775303455
"[1, 3]",2,"[360.94910000000004, 369.3989]","[0.58, 0.091]","[3.7113165039999996, 3.3553079339999994]","[12.0, 4.0]","[0.04543624353127962, -0.045436243531279744]",0.045436243531279744
"[2, 3]",2,"[363.42900000000003, 369.3989]","[0.56, 0.091]","[3.5950654171999994, 3.3553079339999994]","[10.0, 4.0]","[0.03189949613868326, -0.03189949613868319]",0.03189949613868326
"[0, 1, 2]",3,"[359.26030000000003, 360.94910000000004, 363.42900000000003]","[0.66, 0.58, 0.56]","[3.8284701651999997, 3.7113165039999996, 3.5950654171999994]","[14.0, 12.0, 10.0]","[0.07005071786613021, -0.004017478713373213, -0.06603323915275694]",0.07005071786613021
"[0, 1, 3]",3,"[359.26030000000003, 360.94910000000004, 369.3989]","[0.66, 0.58, 0.091]","[3.8284701651999997, 3.7113165039999996, 3.3553079339999994]","[14.0, 12.0, 4.0]","[0.0632544749999554, -0.03572700049931177, -0.02752747450064372]",0.0632544749999554
"[0, 2, 3]",3,"[359.26030000000003, 363.42900000000003, 369.3989]","[0.66, 0.56, 0.091]","[3.8284701651999997, 3.5950654171999994, 3.3553079339999994]","[14.0, 10.0, 4.0]","[0.10963910111395248, -0.08510691266691744, -0.02453218844703491]",0.10963910111395248
"[1, 2, 3]",3,"[360.94910000000004, 363.42900000000003, 369.3989]","[0.58, 0.56, 0.091]","[3.7113165039999996, 3.5950654171999994, 3.3553079339999994]","[12.0, 10.0, 4.0]","[0.059214736203312246, -0.038006601584297195, -0.02120813461901512]",0.059214736203312246
"[0, 1, 2, 3]",4,"[359.26030000000003, 360.94910000000004, 363.42900000000003, 369.3989]","[0.66, 0.58, 0.56, 0.091]","[3.8284701651999997, 3.7113165039999996, 3.5950654171999994, 3.3553079339999994]","[14.0, 12.0, 10.0, 4.0]","[0.07425465885787813, 0.0015676726070558145, -0.05896002620115093, -0.016862305263782927]",0.07425465885787813
